"probleme","secteur","district","date-realisee","coordonnee-x","coordonnee-y","emplacement-pour-tri"
"AQENTRÃESERVICE","04","16","2018-04-20","282619","5042678","DO;Lamarche;Rue;138"
"AQENTRÃESERVICE","04","16","2018-04-20","282608","5042695","DO;Lamarche;Rue;134"
"AQENTRÃESERVICE","04","","2018-11-07","0","0","DO;JettÃ©;Rue"
"AQBFHORSUSAGE","05","20","2018-09-25","284357,20000000001","5047874,5","CH;Laval Ouest (A-440);Desserte nord;3233"
"AQVANNE","04","17","2018-11-07","279776,40000000002","5042159,4000000004","DO;Pesant;Terrasse;755"
"AQVANNE","04","","2018-11-07","276469,5","5046658","FA;7e;Avenue"
"AQVANNE","04","18","2018-11-07","276272,09999999998","5045683,2999999998","LO;47e;Avenue;5461"
"AQVANNE","04","","2018-11-07","276415,29999999999","5046582","FA;6e;Avenue"
"AQCONDUITEMAITR","02","04","2018-10-11","290688,79999999999","5046804,5","PV;Laurentides;Boulevard;55"
"AQVANNE","02","","2018-10-15","0","0","PV;Laurentides;Boulevard;36"
"AQENTRÃESERVICE","04","17","2018-11-07","276797,29999999999","5042187,0999999996","IL;Fourche;Chemin;706"
"AQENTRÃESERVICE","04","17","2018-11-07","275205,5","5042762,2999999998","LL;CÃ¨dres;Rue;18"
"AQVANNE","04","17","2018-11-07","275578,09999999998","5042735,9000000004","LL;Peupliers;Rue;79"
"AQENTRÃESERVICE","04","18","2018-11-07","278836,71750000003","5047342,2649999997","FA;StÃ©phanie;Rue;4120"
"AQENTRÃESERVICE","04","18","2018-11-07","278813,79810000001","5047114,3574999999","FA;Sandrine;Rue;697"
"AQBORNEFONTAINE","04","18","2018-11-07","277498,79700000002","5046190,3717999998","FA;Dagenais Ouest;Boulevard;4543"
"AQENTRÃESERVICE","04","18","2018-11-07","277823,09999999998","5047326,7000000002","FA;Roseline;Rue;961"
"AQCONDUITEMAITR","04","16","2018-11-07","281256,79999999999","5042346,7000000002","DO;Poirier;Rue;555"
"AQCONDUITEMAITR","04","17","2018-11-07","280298,04519999999","5042360,8787000002","DO;Gravel;MontÃ©e;706"
"AQCONDUITEMAITR","04","16","2018-11-07","280172,59999999998","5043249,5999999996","DO;Boileau;Rue;914"
"AQCONDUITEMAITR","04","","2018-11-07","277101,40000000002","5044692","DO;Saint-Antoine;Chemin"
"AQCONDUITEMAITR","04","16","2018-11-07","278932,77529999998","5043100,7040999997","DO;Principale;Rue;841"
"AQENTRÃESERVICE","04","18","2018-11-07","277796,15879999998","5046345,6188000003","FA;Dagenais Ouest;Boulevard;4463"
"AQENTRÃESERVICE","04","","2018-11-07","0","0","DO;Principale;Rue"
"AQENTRÃESERVICE","04","17","2018-11-07","275442","5042788,5999999996","LL;ChÃªnes;Rue;83"
"AQENTRÃESERVICE","04","17","2018-11-07","276313,90000000002","5042849,2999999998","DO;Bruant;Rue;1429"
"AQCONDUITEMAITR","04","18","2018-11-07","275537","5046309","LO;10e;Rue;4273"
"AQBORNEFONTAINE","04","18","2018-11-07","278135","5047473,0999999996","FA;Rosaire;Rue;920"
"AQENTRÃESERVICE","04","18","2018-11-07","278131","5047538,2000000002","FA;Rosaire;Rue;949"
"AQENTRÃESERVICE","04","17","2018-11-07","276250,29999999999","5044230,4000000004","LO;Marie-Lefranc;Rue;8700"
"AQVANNE","04","17","2018-11-07","275885","5042637,4000000004","LL;Plaines;Rue;112"
"AQCONDUITEMAITR","04","17","2018-11-07","275401,90000000002","5046117,2000000002","LO;12e;Rue;3535"
"AQCONDUITEMAITR","04","17","2018-11-07","275280,5","5045144,9000000004","LO;17e;Avenue;2911"
"AQAUTRES","04","18","2018-11-07","278381,27289999998","5047297,1103999997","FA;Sylvio;Rue;4228"
"AQENTRÃESERVICE","04","17","2018-04-05","276864,70000000001","5045433,5999999996","LO;57e;Avenue;6695"
"AQENTRÃESERVICE","04","17","2018-11-07","276678","5043685,7999999998","DO;Mingan;Rue;1630"
"AQENTRÃESERVICE","04","16","2018-11-07","279379,79999999999","5043130,5999999996","DO;Principale;Rue;737"
"AQBORNEFONTAINE","04","18","2018-11-07","277526,66769999999","5046203,5999999996","FA;Dagenais Ouest;Boulevard;4523"
"AQENTRÃESERVICE","04","16","2018-11-07","280819,79999999999","5043322,2000000002","DO;Castelnau;Rue;836"
