ï»¿annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2020-2021,4,99,Total provincial,Total provincial,Total provincial,,756224,119027,51275,7.4380261929,653375,1.6363697902,477095,38958,19547,3.4406244435,376504,1.9325445731,279129,47712,9635,14.270495724,276871,1.2336154734,80069,31728
2021-2022,4,99,Total provincial,Total provincial,Total provincial,,979856,147145,61003,8.2427559438,806499,2.4322318923,656615,53464,25133,4.4767445742,485998,2.8996078745,323241,66091,15477,15.892836087,320501,1.723517122,93681,35870
2022-2023,4,99,Total provincial,Total provincial,Total provincial,,1085838,160682,61787,8.7517545967,857958,2.7927444898,751926,59965,25323,4.8353004207,527850,3.311543594,333912,77376,23462,17.571095389,330108,1.9631732367,100717,36464
2023-2024,4,99,Total provincial,Total provincial,Total provincial,,1037164,166416,61290,8.6737049214,840233,2.713044225,697532,63745,24172,4.7758771047,504191,3.2083854344,339632,73789,18723,16.679015471,336042,1.9698437332,102671,37118
2024-2025,4,99,Total provincial,Total provincial,Total provincial,,1205058,197983,70333,8.6074009123,972167,2.9263580997,809898,75924,27545,4.9339140968,581550,3.4736246138,395160,82427,18640,16.136375568,390617,2.1115885396,122059,42788
2020-2021,4,08,Abitibi-TÃ©miscamingue,Total rÃ©gional,Total rÃ©gional,,23566,2979,1467,4.4096645473,20532,1.6063206485,18837,1630,1084,3.0774266957,15816,1.7496196538,4729,330,25,9.7163603416,4716,1.1257402695,1349,383
2020-2021,4,01,Bas-Saint-Laurent,Total rÃ©gional,Total rÃ©gional,,27720,5035,1282,3.7025689935,24064,1.1970534362,19602,2223,737,2.374988394,16021,1.3191725444,8118,59,0,6.908190441,8043,0.953802133,2812,545
2020-2021,4,03,Capitale-Nationale,Total rÃ©gional,Total rÃ©gional,,83721,13674,5483,6.8566745832,72418,1.3501633955,52448,4660,1742,3.0496653405,41241,1.6538244102,31273,4364,806,13.241416078,31177,0.9484799781,9014,3741
2020-2021,4,12,ChaudiÃ¨re-Appalaches,Total rÃ©gional,Total rÃ©gional,,42018,7345,2123,5.264515459,36147,0.8440456792,28797,2677,945,2.2962168609,22942,1.003549676,13221,1283,33,11.729842948,13205,0.5669278682,4668,1178
2020-2021,4,09,CÃ´te-Nord,Total rÃ©gional,Total rÃ©gional,,20369,2434,1125,5.4095947,16841,1.6621599239,15509,1257,644,2.779881807,12196,1.7071555109,4860,701,299,13.801408951,4645,1.5440186581,1177,481
2020-2021,4,05,Estrie,Total rÃ©gional,Total rÃ©gional,,52561,8088,3241,6.5299079271,45567,1.8592790409,31829,2433,1034,3.493257145,24931,2.2925393196,20732,2115,297,11.191954895,20636,1.3358436847,5655,2207
2020-2021,4,11,GaspÃ©sie-Ãles-de-la-Madeleine,Total rÃ©gional,Total rÃ©gional,,19664,3168,826,4.2683773789,17767,1.0533127271,15037,1686,554,2.3244909778,13218,1.1232080202,4627,430,124,10.585693094,4549,0.8502184241,1482,272
2020-2021,4,14,LanaudiÃ¨re,Total rÃ©gional,Total rÃ©gional,,32082,4993,2194,8.2308632826,26437,1.8882578919,19405,1345,995,3.9376659652,13865,2.3750161077,12677,2398,243,14.802567467,12572,1.3514377629,3648,1199
2020-2021,4,15,Laurentides,Total rÃ©gional,Total rÃ©gional,,44775,6711,3180,9.3565711521,37009,2.5006747458,27314,2214,1091,4.6488517285,19678,3.1090299517,17461,3603,919,16.720791319,17331,1.8099348149,4497,2089
2020-2021,4,13,Laval,Total rÃ©gional,Total rÃ©gional,,20050,3639,1446,8.1864555556,16219,1.8921542978,12519,964,416,3.885914277,8705,2.4475194971,7531,1382,110,15.335370211,7514,1.2487614231,2675,1030
