IDE_STRCT,No structure,Nom route,Nom obstacle,Groupe,Centre de services,Année de construction,Type structure,Charg. conception,Affichage sur place,Statut,Responsablilté de gestion,Role VM Inspection,ICG,Catégorie ICG,Date Insp. Générale Fermee,Superficie du tablier,Superficie du mur,latitude,longitude,X,Y
6027781,81-01102,Canadien National,boulevard Lacordaire ,,14 - Arrondissement Saint-Léonard,1969,Pont à dalle pleine en béton armé,98-Autre,Aucun affichage,Actif Ville de Montréal,Ville Montréal - Canadien National,Inspection annuelle par la Ville de Montréal,"69,15",3,2015/06/18,451,,45.6016501553456,-73.614609366196,295859,5051312
6005961,81-01103A,boulevard Métropolitain Est ,boulevard Langelier ,P.I. Langelier / Aut. 40,14 - Arrondissement Saint-Léonard,1964,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,78",4,2016/09/14,691,,45.5933613457607,-73.5780812405499,298708,5050387
6006400,81-01103B,boulevard Métropolitain Est ,boulevard Langelier ,P.I. Langelier / Aut. 40,14 - Arrondissement Saint-Léonard,1964,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"99,19",4,2016/09/14,663,,45.5935745265662,-73.5785758762894,298669,5050411
202204,81-01201A,Avenue Bourget,Autoroute 40 Est,,09 - Arrondissement Anjou,1974,"Pont à pout. béton préc., coul. place",14-H25-S20,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,"99,7",4,2016/05/26,1202,,45.6254095783663,-73.5483945701644,301026,5053947
6041601,81-01201B,"Avenue Bourget, côté Est",,,09 - Arrondissement Anjou,1974,Mur,,,Actif Ville de Montréal,Ville de Montréal,Inspections annuelle et générale par la Ville Montréal,"98,42",4,2016/05/26,,177,45.6258610735016,-73.5492167607784,300962,5053997
202135,81-01202,Boulevard Roi-René,Autoroute 40,,09 - Arrondissement Anjou,1974,"Pont à pout. béton précont., préfabr.",99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2015/09/23,2225,,45.6137734938018,-73.5585193058141,300236,5052654
202009,81-01203A,Boulevard Les Galeries d'Anjou direction Sud,Autoroute 40,P.S. Des Galeries d'Anjou / Aut. 40,09 - Arrondissement Anjou,1975,"Pont à pout. béton précont., préfabr.",13-H20-S16,Tonnage réduit,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,1659,,45.5999114577145,-73.5706582424892,299288,5051114
6068365,81-01203B,Boulevard Les Galeries d'Anjou direction Nord,Autoroute 40,P.S. Des Galeries d'Anjou / Aut. 40,09 - Arrondissement Anjou,1975,"Pont à pout. béton précont., préfabr.",13-H20-S16,Tonnage réduit,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,829,,45.5998992509682,-73.5704021029398,299308,5051113
202114,81-01204,rue du Champ-d'Eau ,autoroute 40 ,,14 - Arrondissement Saint-Léonard,1964,Pont à dalle évidée en béton armé,99-Inconnu,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,100,4,2017/10/12,1766,,45.597482683905,-73.5729381134944,299110,5050845
5073170,81-01205,Boulevard Yves-Prévost,Autoroute 25,,09 - Arrondissement Anjou,1966,Pont à poutres en acier,18-CL625,Aucun affichage,Actif Ville de Montréal,Ville de Montréal - MTQ,Inspections annuelle et générale par la Ville Montréal,,,,931,,45.5973301911338,-73.5494009837107,300946,5050826
