TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",16.5,-10.9,-15.3,-12.9,-27,-23.2,-46.7,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",17.4,-9.3,-14.2,-11.3,-26.8,-24.3,-44.9,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0004",275,"Aucune influence","Mod̩r̩e",15.8,-9.8,-11.2,-10.9,-24.6,-24.5,-44,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",17.5,-9.4,-14.2,-11.3,-26.9,-24.1,-44.9,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",17.3,-10.6,-15.4,-13.4,-28.8,-25.4,-46.6,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",17.4,-10.7,-15.2,-13.9,-29.2,-24.9,-46.3,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",14.9,-12.9,-16.6,-17.8,-33.9,-28.9,-51.5,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",14.9,-13.2,-16.7,-18.2,-34.2,-28.9,-51.6,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",14.9,-13.5,-17.1,-18.6,-34.5,-29.1,-51.8,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",14.6,-14.9,-19.1,-20.8,-36.3,-29.9,-54.3,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",14.4,-15.3,-19.5,-21.5,-39,-31.1,-55.3,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",14.3,-15.5,-19.7,-21.6,-39.3,-31.5,-56.2,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",14.4,-16.5,-21.1,-23.8,-40.7,-32.2,-60.8,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",14.3,-16.8,-21.4,-24.9,-41.2,-33,-62.7,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0033",420,"Aucune influence","Limit̩e",14.2,-17.3,-22.4,-24.9,-42.1,-33.6,-64.5,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0041",6048,"Aucune influence","Mod̩r̩e",18,-10.8,-14.7,-13.5,-28.5,-24,-45.5,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0042",5066,"Aucune influence","Mod̩r̩e",18.2,-11.3,-15,-14,-28.5,-24.4,-45.2,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0043",263,"Aucune influence","Limit̩e",13.2,-19.4,-24.1,-26.9,-43.7,-36.7,-67.8,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0046",4749,"Aucune influence","Mod̩r̩e",18.5,-11,-14.6,-13.3,-27.3,-23.6,-44.1,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0054",4523,"Aucune influence","Mod̩r̩e",18.6,-10.8,-14.4,-12.8,-26.7,-23.2,-43.6,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0055",2122,"Aucune influence","Mod̩r̩e",16.3,-17.3,-22.3,-23.9,-41.2,-33.3,-63.1,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
