TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",16,-0.6,-0.7,-1.5,-4.1,-2.9,-7.8,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",17,0,-0.5,-0.5,-3,-2.1,-6.3,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0004",275,"Aucune influence","Mod̩r̩e",14.7,0.5,0.5,0.4,-1.5,-0.8,-3.1,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",17,0,-0.6,-0.5,-3.1,-2.1,-6.4,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",17,0.1,-1.1,-0.8,-3.6,-2.4,-7.2,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",17.1,0.2,-1.2,-0.8,-3.6,-2.5,-7.5,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",15.3,-0.5,-2.1,-1.4,-4.3,-3.1,-10.9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",15.3,-0.5,-2.1,-1.4,-4.4,-3.1,-11.2,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",15.3,-0.6,-2.1,-1.5,-4.5,-3.2,-11.5,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",15.3,-0.8,-2.3,-1.8,-5.1,-3.8,-13,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",15.3,-1,-2.4,-2,-5.3,-4,-13.6,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",15.3,-1,-2.5,-2,-5.5,-4.1,-13.9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",15.1,-1.4,-2.9,-2.6,-6.3,-4.6,-15.5,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",15.1,-1.6,-3,-2.7,-6.6,-4.8,-16.3,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0033",420,"Aucune influence","Limit̩e",14.8,-1.8,-3.2,-3,-7.1,-5.2,-17,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0041",6048,"Aucune influence","Mod̩r̩e",17.2,-0.1,-1.1,-0.9,-3.6,-2.3,-7,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0042",5066,"Aucune influence","Mod̩r̩e",17.4,-0.3,-1.2,-1.1,-3.7,-2.3,-7.5,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0043",263,"Aucune influence","Limit̩e",14.1,-2.3,-3.9,-3.9,-8.8,-6.2,-18.6,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0046",4749,"Aucune influence","Mod̩r̩e",17.5,-0.3,-1.1,-0.9,-3.4,-2,-6.8,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0054",4523,"Aucune influence","Mod̩r̩e",17.5,-0.3,-1,-0.9,-3.3,-1.8,-6.4,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0055",2122,"Aucune influence","Mod̩r̩e",16,-0.7,-2.7,-2.6,-6.4,-4.5,-12,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0056",767,"Aucune influence","Mod̩r̩e",16,-0.8,-1.9,-2,-5.7,-3.7,-14.9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0057",376,"Aucune influence","Mod̩r̩e",16.2,-0,-1.5,-1.4,-5.2,-3.5,-13.9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0058",366,"Aucune influence","Mod̩r̩e",16.2,0.1,-1.4,-1.3,-5.1,-3.4,-13.8,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0064",291,"Aucune influence","Limit̩e",16.2,0.3,-1.4,-1.3,-5.3,-3.4,-13.8,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0077",1100,"Aucune influence","Mod̩r̩e",15.9,-1.3,-3.1,-3.5,-6.7,-4.8,-10.6,"Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable"
"ABI0081",894,"Aucune influence","Mod̩r̩e",16,-2.2,-3.4,-4,-7.6,-5.1,-11.4,"Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable"
"ABI0082",681,"Aucune influence","Mod̩r̩e",16,-2.1,-3.4,-4,-7.6,-5.2,-11.7,"Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable"
"ABI0084",472,"Aucune influence","Mod̩r̩e",16.1,-2.4,-3.6,-4.4,-8.1,-5.5,-12.6,"Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable"
"ABI0092",2380,"Aucune influence","Mod̩r̩e",18,0.4,0.8,0.1,-1,-0.4,-2.7,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0093",773,"Aucune influence","Mod̩r̩e",15.3,-2.6,-3.3,-3.9,-7.9,-4.9,-12.3,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0094",339,"Aucune influence","Mod̩r̩e",15.4,-2.5,-3.6,-4.1,-7.5,-5,-11.6,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0102",1606,"Aucune influence","Mod̩r̩e",18.9,1.6,2.5,2.4,1.5,2,0.7,"Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Absence de consensus"
"ABI0104",1380,"Aucune influence","Mod̩r̩e",19.5,2.2,3.1,3.7,2.8,3,2.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0106",1190,"Aucune influence","Mod̩r̩e",19.4,2.2,3.1,3.8,2.9,3.1,2.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0108",959,"Aucune influence","Mod̩r̩e",20.3,3.2,4.1,4.7,4.6,5,5,"Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0110",668,"Aucune influence","Mod̩r̩e",20,3.4,4.2,4.7,4.8,5.1,5.2,"Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0112",551,"Aucune influence","Limit̩e",19.8,3.4,4.2,4.8,4.7,5,5.2,"Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0117",2949,"Aucune influence","Mod̩r̩e",16,0,0.6,-0.2,-1.8,-1.5,-4.5,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0118",2067,"Aucune influence","Mod̩r̩e",16.6,-0.2,0.6,-0.2,-2.1,-1.5,-5.1,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0119",1790,"Aucune influence","Mod̩r̩e",17,-0,0.5,-0.3,-2.2,-1.2,-5.3,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0120",1118,"Aucune influence","Mod̩r̩e",17.6,0.7,1.6,0.9,-0.3,0.1,-2.3,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0121",546,"Aucune influence","Limit̩e",15.3,-1.8,-1.3,-2.7,-6.4,-3.9,-12,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0126",500,"Aucune influence","Limit̩e",19.9,3,4.1,4.4,4.4,4.7,4.7,"Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable"
"ABI0129",425,"Aucune influence","Mod̩r̩e",16.3,-0.3,-0,-0.7,-2.9,-1.8,-6.2,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0131",267,"Aucune influence","Mod̩r̩e",17.5,1,1.8,1.3,0.1,0.4,-1.8,"Absence de consensus","Absence de consensus","Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0135",361,"Aucune influence","Limit̩e",14.6,0.5,0.8,-0.2,-1.4,-0.9,-2.8,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0140",9929,"Aucune influence","Mod̩r̩e",14.8,-0.9,-1.4,-2.7,-5.4,-4,-10.2,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0141",9218,"Aucune influence","Mod̩r̩e",14.8,-0.9,-1.1,-2.8,-5.2,-3.9,-9.9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0142",873,"Aucune influence","Mod̩r̩e",14,-1.6,-1.8,-2,-6.1,-4.4,-10.9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0144",817,"Aucune influence","Limit̩e",14,-1.7,-1.9,-2.2,-6.4,-4.5,-11.4,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0146",628,"Aucune influence","Limit̩e",13.9,-1.8,-2,-2.7,-6.7,-4.6,-11.6,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable"
"ABI0149",8246,"Aucune influence","Mod̩r̩e",14.9,-0.8,-1.2,-2.9,-5.1,-3.8,-9.9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0151",7950,"Aucune influence","Mod̩r̩e",14.9,-0.7,-1.2,-2.9,-5.1,-3.7,-9.7,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0153",7800,"Aucune influence","Mod̩r̩e",14.9,-0.7,-1.2,-2.8,-5,-3.7,-9.6,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0155",7653,"Aucune influence","Mod̩r̩e",14.9,-0.6,-1.2,-2.8,-4.9,-3.6,-9.4,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0156",7211,"Aucune influence","Mod̩r̩e",15,-0.4,-1.1,-2.8,-4.7,-3.5,-9.1,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
"ABI0160",7038,"Aucune influence","Mod̩r̩e",15,-0.4,-1,-2.7,-4.6,-3.5,-9,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable"
