Date_reception_demande,Mode_recep_demande,TypePlainte,GroupeAge,sexe,Minorite_visible,Origine_ethnique,Autochtone,Source,Acheminement_Demandeur,NbrePers,Ev_arrondissement,Ev_arrond2,Ev_arrond3,Ev_arrond4,Vc,Ev_service,Ev_service2,Ev_paramunicipal,Autre_entite,Categorie,Categorie2,Categorie3,Charte_vieD,Charte_vieD2,Charte_vieD3,Charte_vieES,Charte_vieES2,Charte_vieES3,Charte_Cult,Charte_Cult2,Charte_Cult3,Charte_ActP,Charte_ActP2,Charte_ActP3,Charte_Env,Charte_Env2,Charte_Env3,Charte_Sec,Charte_Sec2,Charte_Sec3,Charte_ServMun,Charte_ServMun2,Charte_ServMun3,DelaiReponse,resultat_enquete,mode_reponse,Date_fermeture,DelaiTraitement,,,
2015-01-05,Poste,individu,41 à 50 ans,HOMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Lettre,2015-01-05,1,,,
2015-01-06,Téléphone,individu,41 à 50 ans,HOMME,Noir,Jamaiquain,False,Connaissances générales,Demandeur / Mandataire,1,Le Plateau-Mont-Royal,,,,,,,,,Comportement d'un employé / élu,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-06,1,,,
2015-01-06,Téléphone,individu,41 à 50 ans,HOMME,Noir,Jamaiquain,False,Connaissances générales,Demandeur / Mandataire,1,Le Plateau-Mont-Royal,,,,,,,,,Déneigement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-06,1,,,
2015-01-06,Téléphone,individu,41 à 50 ans,HOMME,Noir,Jamaiquain,False,Connaissances générales,Demandeur / Mandataire,1,X-Tous les arrondissements,X-Tous les arrondissements,,,,,,,,Droits de la personne,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-06,1,,,
2015-01-07,Téléphone,individu,51 à 64 ans,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,Logement social / HLM / Subvention au logement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-07,1,,,
2015-01-06,En personne,individu,65 ans et +,HOMME,NON,Canadien,False,Fonctionnaire,Demandeur / Mandataire,1,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,Fourrière (entreposage de meubles),,,,,,,,,,,,,,,,,,,,,,,,,Réglé par médiation,Lettre,2015-01-15,8,,,
2015-01-05,Téléphone,individu,Inconnu,HOMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-05,1,,,
2015-12-15,Téléphone,individu,Inconnu,FEMME,NON,Italien,False,Connaissances générales,Demandeur / Mandataire,1,Ahuntsic-Cartierville,,,,,,,,,Accès à l'information,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-12-15,1,,,
2015-01-06,Téléphone,individu,Inconnu,FEMME,NON,Italien,False,Connaissances générales,Demandeur / Mandataire,1,Ahuntsic-Cartierville,,,,,,,,,Comportement d'un employé / élu,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-06,1,,,
2015-01-05,Téléphone,individu,Inconnu,FEMME,NON,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,,,Qualité des services,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-05,1,,,
2015-01-05,Téléphone,individu,Inconnu,FEMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-05,1,,,
2015-01-07,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Verdun,,,,,,,,,Salubrité et entretien (moisissure),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-07,1,,,
2015-01-05,Téléphone,personne morale,PM,PM,PM,PM,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-05,1,,,
2015-01-06,Téléphone,individu,Inconnu,FEMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,Montréal-Nord,,,,,,,,,Salubrité et entretien (moisissure),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-06,1,,,
2015-01-06,Téléphone,individu,Inconnu,FEMME,NON,Italien,False,Connaissances générales,Demandeur / Mandataire,1,Rosemont--La Petite-Patrie,,,,,,,,,Permis,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-06,1,,,
2015-01-06,Courriel,individu,41 à 50 ans,HOMME,NON,Canadien,False,Internet,Demandeur / Mandataire,1,,,,,,Gestion et planification immobilière - Toutes directions confondues,,,,Zonage / Urbanisme / Dérogation,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-07,2,,,
2015-01-06,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-06,1,,,
2015-01-07,Téléphone,individu,51 à 64 ans,HOMME,NON,Canadien,False,Connaissances générales,Demandeur / Mandataire,1,Ville-Marie,,,,,,,,,Déneigement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-07,1,,,
2015-01-08,Téléphone,individu,Inconnu,FEMME,Inconnu,Ne sait pas,False,Internet,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-08,1,,,
2015-01-09,En personne,individu,51 à 64 ans,FEMME,NON,Canadien,False,Fonctionnaire,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-13,3,,,
2015-01-09,En personne,individu,51 à 64 ans,HOMME,NON,Américain (É-U),False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Directions des affaires civiles,,,,Réclamation monétaire (aqueduc / égout),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,En personne,2015-01-09,1,,,
2015-01-09,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-09,1,,,
2015-01-08,Courriel,personne morale,PM,PM,PM,PM,False,Inconnu,Demandeur / Mandataire,1,,,,,,Finances - Toutes directions confondues,,,,Divers,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-09,2,,,
2015-01-08,En personne,individu,51 à 64 ans,HOMME,NON,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,Ville-Marie,,,,,,,,,Voirie / Travaux publics,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,En personne,2015-01-08,1,,,
2015-01-08,En personne,individu,51 à 64 ans,HOMME,NON,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,Mise en valeur du territoire - Direction de l'habitation,,,,Subvention autre que logement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-08,1,,,
2015-01-12,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-12,1,,,
2015-01-13,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Le Sud-Ouest,,,,,,,,,Bruit,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-13,1,,,
2015-01-14,Téléphone,individu,Inconnu,HOMME,NON,Italien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-14,1,,,
2015-01-15,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Internet,Demandeur / Mandataire,1,Mercier--Hochelaga-Maisonneuve,,,,,,,,,Fourrière (entreposage de meubles),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-15,1,,,
2015-01-08,En personne,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,Logement social / HLM / Subvention au logement,,,,,,,,,,,,,,,,,,,,,,,,,Référé pendant l'enquête,Téléphone,2015-02-23,33,,,
2015-01-13,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,,,Arbre,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-14,2,,,
2015-01-12,Courriel,individu,51 à 64 ans,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Saint-Léonard,,,,,,,,,Déneigement,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-14,3,,,
2015-01-12,Courriel,individu,41 à 50 ans,FEMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,Ahuntsic-Cartierville,,,,,,,,,Salubrité et entretien (moisissure),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-12,1,,,
2015-01-13,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Le Plateau-Mont-Royal,,,,,,,,,Circulation,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-30,14,,,
2015-01-13,Téléphone,individu,Inconnu,FEMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,Le Plateau-Mont-Royal,,,,,,,,,Circulation,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-13,1,,,
2015-01-15,Courriel,individu,26 à 40 ans,FEMME,NON,Roumain,False,Internet,Demandeur / Mandataire,1,,,,,,,,,Entité mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-15,1,,,
2015-01-13,Courriel,individu,Inconnu,HOMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Cour municipale,,,,Cour municipale (fonctionnement),,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-15,3,,,
2015-01-13,Courriel,individu,Inconnu,HOMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,,,,,,Police - Direction des opérations,,,,Infraction à une loi,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-15,3,,,
2015-01-13,Téléphone,individu,Inconnu,HOMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,Salubrité et entretien (autre),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-13,1,,,
2015-01-13,Téléphone,individu,Inconnu,HOMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Relations locataire/locateur,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-13,1,,,
2015-01-16,Téléphone,individu,Inconnu,FEMME,Noir,Haitien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Organisme gouvernemental,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-16,1,,,
2015-01-12,Courriel,individu,Inconnu,FEMME,NON,Juif,False,Inconnu,Demandeur / Mandataire,1,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,Demande de retrait,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Courriel,2015-01-14,3,,,
2015-01-12,Courriel,individu,Inconnu,FEMME,NON,Juif,False,Inconnu,Demandeur / Mandataire,1,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,Déneigement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2015-01-14,3,,,
2015-01-19,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Connaissances générales,Demandeur / Mandataire,1,,,,,,Ressources humaines  - Toutes directions confondues,,,,Relations de travail,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-19,1,,,
2015-01-19,Téléphone,individu,Inconnu,HOMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,,,,,,Mise en valeur du territoire - Direction de l'habitation,,,,Subvention autre que logement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-19,1,,,
2015-01-19,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,Police - Direction des opérations,,,,Comportement d'un employé / élu,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-19,1,,,
2015-01-19,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,Application de la réglementation,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-19,1,,,
2015-01-20,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,Police - Fourrières mandataires,,,,Fourrière (autre),,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-20,1,,,
2015-01-20,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-20,1,,,
2015-01-20,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Fonctionnaire,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Cour municipale,,,,Cour municipale (fonctionnement),,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-20,1,,,
2015-01-20,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Cour municipale,,,,Cour municipale (fonctionnement),,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-21,2,,,
2015-01-21,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Le Plateau-Mont-Royal,,,,,,,,,Bruit,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2015-01-21,1,,,
2015-01-20,Téléphone,individu,Inconnu,HOMME,NON,Canadien,False,Fonctionnaire,Demandeur / Mandataire,1,,,,,,Affaires juridiques - Cour municipale,,,,Cour municipale (fonctionnement),,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2015-01-27,6,,,
