Date_reception_demande,type_intervention,Ev_arrondissement,Ev_arrond2,Ev_arrond3,Ev_arrond4,Ev_service,Ev_service1,Ev_service2,Ev_service3,Ev_service4,societe_controle_concernee,Autre_entite,Categorie,Engagement_Charte_mtl_droits_respons,Engagement_Charte_mtl_droits_respons2,GroupeAge,Sexe,Origine_ethnique,Minorite_visible,Autochtone
2020-01-02,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2020-01-05,Refusée sans enquête,,,,,Finances - Toutes directions confondues,,,,,,,Relations de travail,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-05,Refusée sans enquête,,,,,,,,,Agence de mobilité durable (anciennement Stationnement de Montréal),,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-06,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-06,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-06,Refusée sans enquête,Ahuntsic-Cartierville,,,,Habitation - Toutes directions confondues,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,Inconnu,HOMME,Pays inconnu,Noir,Non
2020-01-06,Refusée sans enquête,Mercier--Hochelaga-Maisonneuve,,,,,,,,,,,Services aux citoyens - Autre ou combinaison,,,26 à 40 ans,FEMME,Pays inconnu,Noir,Non
2020-01-06,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-06,Enquête approfondie,,,,,Finances - Toutes directions confondues,,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Ne sait pas,Inconnu,Non
2020-01-06,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-06,Refusée sans enquête,Ville-Marie,,,,,,,,,,,Nuisance - Circulation,,,51 à 64 ans,HOMME,Pays inconnu,NON,Non
2020-01-06,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-07,Analyse/enquête sommaire,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Constat - Stationnement,,,OdM,OdM,OdM,OdM,Non
2020-01-07,Enquête approfondie,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,65 ans et +,HOMME,Canadien,NON,Non
2020-01-07,Refusée sans enquête,Outremont,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-07,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Services aux citoyens - Délai/Procédure,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-01-07,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-07,Refusée sans enquête,Saint-Laurent,,,,,,,,,,,TP - Compostage/Déchets/Recyclage,,,65 ans et +,HOMME,Pays inconnu,NON,Non
2020-01-07,Analyse/enquête sommaire,Le Sud-Ouest,,,,Finances - Toutes directions confondues,,,,,,,Services aux citoyens - Délai/Procédure,Charte - services municipaux,,26 à 40 ans,FEMME,Canadien,NON,Non
2020-01-08,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2020-01-08,Refusée sans enquête,,,,,Affaires juridiques - Direction des affaires civiles,,,,,,,Dommage matériel - Réclamation monétaire,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-08,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-08,Refusée sans enquête,Villeray--Saint-Michel--Parc-Extension,,,,,,,,,,,Immeuble - Entretien,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-08,Analyse/enquête sommaire,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,Immeuble - Salubrité - Insectes,,,Inconnu,HOMME,Pays inconnu,Inconnu,Non
2020-01-08,Enquête approfondie,Villeray--Saint-Michel--Parc-Extension,,,,Concertation des arrondissements  - Toutes directions confondues,,,,,,,Animal,Charte - sécurité,,Inconnu,HOMME,Canadien,NON,Non
2020-01-09,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Constat - Stationnement,,,26 à 40 ans,HOMME,Ne sait pas,Inconnu,Non
2020-01-09,Refusée sans enquête,,,,,,,,,Société de transport de Montréal (STM),,,Divers,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-09,Refusée sans enquête,,,,,,,,,,,,Subvention - Autre que logement social,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-09,Analyse/enquête sommaire,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,41 à 50 ans,FEMME,Pays inconnu,Noir,Non
2020-01-09,Analyse/enquête sommaire,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Logement social/abordable - Accès,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-09,Suivi engagement antérieur,,,,,Finances - Toutes directions confondues,,,,,,,Services aux citoyens - Délai/Procédure,,,OdM,OdM,OdM,OdM,Non
2020-01-10,Enquête approfondie,,,,,Concertation des arrondissements  - Toutes directions confondues,,,,,,,Animal,,,OdM,OdM,OdM,OdM,Non
2020-01-10,Refusée sans enquête,,,,,,,,,,,,Animal,,,Inconnu,FEMME,Canadien,NON,Non
2020-01-10,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Cour municipale - Jugement ,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-10,Refusée sans enquête,Outremont,,,,,,,,,,,Stationnement municipal et sur rue/Vignette/Débarcadère,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-10,Refusée sans enquête,,,,,Police - Toutes direstions confondues,,,,,,,Agent de la paix - DAO (excluant comportement),,,Inconnu,HOMME,Canadien,NON,Non
2020-01-10,Entité visée sans lien Vdm,,,,,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,18 à 25 ans,FEMME,Pays inconnu,"Asie du Sud (tamouls, pakis, hindous)",Non
2020-01-10,Suivi engagement antérieur,Rosemont--La Petite-Patrie,,,,,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,Charte - vie économique et sociale,,51 à 64 ans,FEMME,Pays inconnu,Inconnu,Non
2020-01-10,Refusée sans enquête,,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,,Relations locataire/propriétaire (VdM et entités liées),,,Inconnu,HOMME,Canadien,NON,Non
2020-01-11,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,,,,,Bibliothèque/Culture,,,Inconnu,HOMME,Canadien,NON,Non
2020-01-12,Analyse/enquête sommaire,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,Services aux citoyens - Délai/Procédure,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-12,Analyse/enquête sommaire,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,65 ans et +,FEMME,Canadien,NON,Non
2020-01-13,Refusée sans enquête,,,,,Affaires juridiques - Direction des serv. juridiciaires (Cour municipale),,,,,,,Constat - Stationnement,,,Inconnu,HOMME,Canadien,NON,Non
