Date_reception_demande,type_intervention,Ev_arrondissement,Ev_arrond2,Ev_service,Ev_service1,Ev_paramunicipal,societe_controle_concernee,Autre_entite,Categorie,Engagement_Charte_mtl_droits_respons,Engagement_Charte_mtl_droits_respons2,GroupeAge,Sexe,Origine_ethnique,Minorite_visible,Autochtone
2019-01-03,Enquête approfondie,Ahuntsic-Cartierville,,,,,,,Arbre,"Charte - environnement, developpement durable",,65 ans et +,HOMME,Canadien,NON,Non
2019-01-03,Refusée sans enquête,Ville-Marie,,,,,,,Immeuble - Salubrité - Moisissures,,,26 à 40 ans,HOMME,Canadien,NON,Non
2019-01-03,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-03,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Arbre,,,26 à 40 ans,FEMME,Pays inconnu,Inconnu,Non
2019-01-03,Refusée sans enquête,Côte-des-Neiges--Notre-Dame-de-Grâce,,,,,,,Services aux citoyens - Communication/Informations,,,26 à 40 ans,FEMME,Canadien,NON,Non
2019-01-03,Refusée sans enquête,,,Ressources humaines  - Toutes directions confondues,,,,,Relations de travail,,,41 à 50 ans,HOMME,Canadien,NON,Non
2019-01-03,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-03,Refusée sans enquête,Le Sud-Ouest,,,,,,,Divers,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-03,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-03,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,Noir,Non
2019-01-04,Refusée sans enquête,Mercier--Hochelaga-Maisonneuve,,,,,,,ZU - Permis Transformation/Construction/Démolition/PIIA,,,26 à 40 ans,FEMME,Canadien,NON,Non
2019-01-04,Refusée sans enquête,Rivière-des-Prairies--Pointe-aux-Trembles,,,,,,,TP - Chaussée/Trottoir,,,Inconnu,HOMME,Canadien,NON,Non
2019-01-04,Refusée sans enquête,Rosemont--La Petite-Patrie,,,,,,,Immeuble - Salubrité - Autre ou Combinaison,,,51 à 64 ans,FEMME,Canadien,NON,Non
2019-01-04,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,HOMME,Philippin,"Asie du Sud (tamouls, pakis, hindous)",Non
2019-01-04,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,HOMME,Pays inconnu,Arabe,Non
2019-01-04,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-05,Enquête approfondie,Ville-Marie,,,,,,,TP - Autre ou combinaison,,,PM,PM,PM,PM,Non
2019-01-05,Refusée sans enquête,,,,Affaires juridiques - Direction des affaires civiles,,,,Services aux citoyens - Délai/Procédure,,,PM,PM,PM,PM,Non
2019-01-05,Refusée sans enquête,,,,,Office municipal d'habitation de Montréal (OMHM),,,Immeuble - Entretien,,,Inconnu,FEMME,Pays inconnu,Inconnu,Non
2019-01-05,Refusée sans enquête,Ahuntsic-Cartierville,,,,,,,TP - Déneigement,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-07,Analyse/enquête sommaire,,,Ressources humaines  - Toutes directions confondues,,,,,Relations de travail,,,51 à 64 ans,FEMME,Canadien,NON,Non
2019-01-07,Refusée sans enquête,,,,,Office municipal d'habitation de Montréal (OMHM),,,Services aux citoyens - Délai/Procédure,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-07,Analyse/enquête sommaire,,,,,Office municipal d'habitation de Montréal (OMHM),,,Dommage matériel - Réclamation monétaire,,,65 ans et +,FEMME,Canadien,NON,Non
2019-01-07,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,41 à 50 ans,FEMME,Canadien,NON,Non
2019-01-07,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,51 à 64 ans,FEMME,Canadien,NON,Non
2019-01-07,Enquête approfondie,Ville-Marie,,,,,,,Domaine public - Occupation,,,OdM,OdM,OdM,OdM,Non
2019-01-07,Enquête approfondie,,,,,Société d'habitation et de développement de Montréal (SHDM),,,Relations locataire/propriétaire (VdM et entités liées),,,65 ans et +,HOMME,Canadien,NON,Non
2019-01-08,Refusée sans enquête,,,Ressources humaines  - Toutes directions confondues,,,,,Relations de travail,,,Inconnu,HOMME,Français,NON,Non
2019-01-08,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,Inconnu,FEMME,Canadien,NON,Non
2019-01-08,Analyse/enquête sommaire,Ville-Marie,,,,Corporation de gestion des marchés publics de Montréal,,,Relations locataire/propriétaire (VdM et entités liées),,,PM,PM,PM,PM,Non
2019-01-08,Analyse/enquête sommaire,,,Affaires juridiques - Direction des affaires civiles,,,,,Dommage corporel - Réclamation monétaire,,,65 ans et +,HOMME,Canadien,NON,Non
2019-01-08,Refusée sans enquête,,,Ressources humaines  - Toutes directions confondues,,,,,Relations de travail,,,Inconnu,HOMME,Français,NON,Non
2019-01-08,Entité visée sans lien Vdm,,,,,,,Sans lien avec la Ville,Sans lien avec la Ville,,,65 ans et +,FEMME,Canadien,NON,Non
