Date_reception_demande,Mode_recep_demande,TypePlainte,GroupeAge,sexe,Minorite_visible,Origine_ethnique,Autochtone,Source,Acheminement_Demandeur,NbrePers,Ev_arrondissement,Ev_arrond2,Ev_arrond3,Ev_arrond4,Vc,Ev_service,Ev_service2,Ev_paramunicipal,Autre_entite,Categorie,Categorie2,Categorie3,Charte_vieD,Charte_vieD2,Charte_vieD3,Charte_vieES,Charte_vieES2,Charte_vieES3,Charte_Cult,Charte_Cult2,Charte_Cult3,Charte_ActP,Charte_ActP2,Charte_ActP3,Charte_Env,Charte_Env2,Charte_Env3,Charte_Sec,Charte_Sec2,Charte_Sec3,Charte_ServMun,Charte_ServMun2,Charte_ServMun3,DelaiReponse,resultat_enquete,mode_reponse,Date_fermeture,DelaiTraitement
2014-01-06,Téléphone,individuelle,65 ans et +,FEMME,NON,Canadien,False,Ancien demandeur,Demandeur / Mandataire,1,,,,,,,,Office municipal d'habitation de Montréal (OMHM),,Logement social/HLM/Subvention au logement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2014-01-06,1
2014-01-06,Téléphone,individuelle,Inconnu,HOMME,NON,Canadien,False,Fonctionnaire,Demandeur / Mandataire,1,,,,,,****Service du capital humain et des communications - Direction du capital humain,,,,Relation de travail,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2014-01-06,1
2014-01-06,Téléphone,individu,Inconnu,FEMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,,Entités non mun. sans lien avec la Ville,Différend privé,,,,,,,,,,,,,,,,,,,,,,,,,Refusé avant enquête,Téléphone,2014-01-06,1
2014-01-06,Téléphone,individuelle,26 à 40 ans,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,Pierrefonds-Roxboro,,,,,,,,,Animal,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2014-01-06,1
2014-01-06,Courriel,individuelle,Inconnu,HOMME,NON,Canadien,False,Inconnu,Demandeur / Mandataire,1,,,,,,Service de police - Direction des opérations,,,,Remorquage,,,,,,,,,,,,,,,,,,,,,,,,,Désistement avant enquête,Courriel,2014-01-06,1
2014-01-06,Poste,individuelle,Inconnu,HOMME,NON,Canadien,False,Fonctionnaire,Demandeur / Mandataire,1,Le Sud-Ouest,,,,,Service de la concertation des arrondissements  - *****Direction des stratégies et transactions immobilières,,,,Divers,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Lettre,2014-01-06,1
2014-01-06,Poste,individu,Inconnu,FEMME,Inconnu,Pays inconnu,False,Inconnu,Demandeur / Mandataire,1,,,,,,,,Société d'habitation et de développement de Montréal (SHDM),,Logement social/HLM/Subvention au logement,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Lettre,2014-01-07,2
2014-01-06,Téléphone,individuelle,41 à 50 ans,FEMME,Inconnu,Ne sait pas,False,Inconnu,Demandeur / Mandataire,1,,,,,,Direction générale - ****Direction du greffe,,,,Qualité des services,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Téléphone,2014-01-06,1
2014-01-04,Courriel,individuelle,51 à 64 ans,FEMME,NON,Canadien,False,Journal,Demandeur / Mandataire,1,Rosemont/La Petite-Patrie,,,,,,,,,Bruit,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2014-01-06,1
2014-01-06,Courriel,individuelle,Inconnu,HOMME,Inconnu,Canadien,False,Ancien demandeur,Demandeur / Mandataire,1,,,,,Présidence du Conseil de la Ville,,,,,Participation citoyenne,,,,,,,,,,,,,,,,,,,,,,,,,Référé avant enquête,Courriel,2014-01-06,1
