"Date_reception_demande","Mode_recep_demande","TypePlainte","GroupeAge","sexe","Minorite_visible","Origine_ethnique","Autochtone","Source","Acheminement_Demandeur","NbrePers","Ev_arrondissement","Ev_arrond2","Ev_arrond3","Ev_arrond4","Vc","Ev_service","Ev_service2","Ev_paramunicipal","Autre_entite","Categorie","Categorie2","Categorie3","Charte_vieD","Charte_vieD2","Charte_vieD3","Charte_vieES","Charte_vieES2","Charte_vieES3","Charte_Cult","Charte_Cult2","Charte_Cult3","Charte_ActP","Charte_ActP2","Charte_ActP3","Charte_Env","Charte_Env2","Charte_Env3","Charte_Sec","Charte_Sec2","Charte_Sec3","Charte_ServMun","Charte_ServMun2","Charte_ServMun3","DelaiReponse","resultat_enquete","mode_reponse","Date_fermeture","DelaiTraitement",,,
"2018-01-10","Courriel","individu","51 à 64 ans","HOMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",1,"Mercier--Hochelaga-Maisonneuve",,,,,,,,,"Arbre","Charte - environnement"," developpement durable",,,,,,,,,,,,,,"Favoriser la protection de la forêt urbaine",,,,,,,,,,"Non fondée","Lettre","2018-06-07",104,,
"2018-01-04","Courriel","individu","51 à 64 ans","FEMME","NON","Canadien","False","Ancien demandeur","Demandeur / Mandataire",2,"Mercier--Hochelaga-Maisonneuve",,,,,,,,,"ZU - Clôture/Haie",,,,,,,,,,,,,,,,,,,,,,,,,"Non fondée","Lettre","2018-06-06",107,,,
"2018-01-10","Courriel","individu","41 à 50 ans","HOMME","NON","Canadien","False","Fonctionnaire","Demandeur / Mandataire",1,"Mercier--Hochelaga-Maisonneuve",,,,,,,,,"ZU - Permis Transformation/Construction/Démolition/PIIA",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2018-01-11",2,,,
"2018-01-11","Courriel","individu","51 à 64 ans","FEMME","NON","Italien","False","Internet","Demandeur / Mandataire",1,,,,,"Comité executif",,,,,"Taxe foncière/Évaluation",,,,,,,,,,,,,,,,,,,,,,,,,"Déc. CE/CM/CA/Comité (Art. 11-1) (pas CMDR)","Courriel","2018-01-11",1,,,
"2018-01-10","Courriel","personne morale","PM","PM","PM","PM","False","Inconnu","Demandeur / Mandataire",1,,,,,,"**********Infrastructures"," voirie et transports - Direction des infrastructures",,,,"Appel d'offres/Contrat",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Téléphone","2018-01-10",1,,
"2018-01-09","Courriel","individu","41 à 50 ans","FEMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,"LaSalle",,,,,,,,,"ZU - Autre",,,,,,,,,,,,,,,,,,,,,,,,,"Déc. CE/CM/CA/Comité (Art. 11-1) (pas CMDR)","Courriel","2018-01-09",1,,,
"2018-01-12","Courriel","individu","Inconnu","HOMME","Inconnu","Pays inconnu","False","Internet","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Santé et services sociaux","Courriel","2018-01-12",1,,,
"2018-01-03","Courriel","individu","41 à 50 ans","HOMME","Arabe","Pays inconnu","False","Internet","Demandeur / Mandataire",1,"Pierrefonds-Roxboro",,,,,,,,,"TP - Déneigement",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2018-01-05",3,,,
"2018-01-04","Courriel","individu","26 à 40 ans","HOMME","NON","Canadien","False","Internet","Demandeur / Mandataire",1,,,,,,"**********Infrastructures"," voirie et transports - Direction des infrastructures",,,,"Services aux citoyens - Communication/Informations",,,,,,,,,,,,,,,,,,,,,,,,,"Pas dernier recours - Redirigée VdMtl","Courriel","2018-01-05",2,,
"2018-01-03","Téléphone","individu","Inconnu","FEMME","NON","Canadien","False","Inconnu","Demandeur / Mandataire",1,,,,,,,,,"Sans lien avec la Ville","Sans lien avec la Ville",,,,,,,,,,,,,,,,,,,,,,,,,"Gouvernement provincial","Téléphone","2018-01-03",1,,,
