Id,date,provenance,relation_navette_connaissance,relation_navette_premiere_experience,relation_navette_confort_autonomie,relation_navette_confiance_technologie,relation_avec _technologie,relation_navette_meilleur_usage,relation_navette_avantages,relation_navette_barrieres_utilisation,relation_navette_integration_rue,relation_navette_integration_transport,relation_navette_voiture,relation_navette_cycliste,relation_navette_pieton,navette_parc_olympique_connaissance,navette_parc_olympique_essaie,navette_parc_olympique_non_essaie,navette_parc_olympique_evaluation_experience,navette_parc_olympique_confort_autonomie,navette_parc_olympique_securite_en_mouvement,navette_parc_olympique_sentiment_sans_controleur,navette_parc_olympique_comparaison_autre_transport,navette_parc_olympique_integration,navette_parc_olympique_evaluation_trajet,navette_parc_olympique_evaluation_confort,navette_parc_olympique_evaluation_vitesse,navette_parc_olympique_evaluation_emplacement_arrets,navette_parc_olympique_evaluation_nbre_arrets,navette_parc_olympique_evaluation_cortoisie_operateur,navette_parc_olympique_evaluation_horaire,relation_voiture_pocession,relation_voiture_frequence_usage,relation_voiture_conduite,relation_tranport_en_commun_usage,relation_tranport_en_commun_frequence,relation_transport_en_commun_nature,relation_tranport_en_commun_appreciation,classement_groupe_age,classement_genre,classement_niveau_etude,classement_mobilite_reduite,classement_statut_emploi,classement_duree_trajet,classement_frequence_teletravail,classement_statut_familial,commentaire
1,2018-10-23,Par courriel,Oui,Oui,4,3,J'adopte rapidement les technologies et j'influence les autres,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Utilisation pour le dernier kilomètre entre la maison et le travail","Ne pas avoir à me stationner (la navette vous dépose et repart), Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation)","Sécurité des passants, Fiabilité des technologies",Pas convaincu,Oui,Confortable,Confortable,Très confortable,Oui,Oui,,3,4,Oui,3,4,Oui,2,4,2,4,5,3,4,Oui,Quelques fois par semaine,Je n'ai pas d'opinion,Oui,Tous les jours,Autobus,1,35 - 50 ans,Homme,Baccalauréat,Non,Employé à temps plein,20 minutes,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
2,2018-10-23,Par courriel,Oui,Non,4,4,J'adopte rapidement les technologies et j'influence les autres,"Transport de personnes à mobilité réduite, Désservir des activités de tourisme et de loisirs (festival, centre sportifs)","Ne pas avoir à me stationner (la navette vous dépose et repart), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville, Transport collectif plus durable","Cybersécurité, Fiabilité des technologies",Oui,Oui,Très confortable,Confortable,Très confortable,Oui,Non,Trop lent,,,,,,,,,,,,,,Non,,Oui,Oui,Tous les jours,"Autobus, Métro",3,16 ans à 24 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,1h,Jamais,Personne seule ou en couple,
3,2018-10-23,Par courriel,Oui,Non,5,5,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), En remplacement de la voiture individuelle",Aide au transport de personnes qui ne conduisent pas,,Oui,,Très confortable,Très confortable,Très confortable,Oui,Non,L'occasion ne s'est pas encore présentée,,,,,,,,,,,,,,Non,,Je ne conduis pas,Oui,Quelques fois par semaine,"Autobus, Métro",4,51 - 65,Femme,Diplome d'études secondaire,Non,Employé à temps plein,15 minutes à pied,Jamais,Famille avec enfant (1 ou 2 parents),
4,2018-10-23,Par courriel,Oui,Oui,5,5,J'adopte rapidement les technologies et j'influence les autres,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), En remplacement de la voiture individuelle","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas","Cybersécurité, Fiabilité des technologies",Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,"Elle circule trop lentement, toujours en arrêt à cause d'un piéton. va plus vite si on marche à ses côtés.",,,,,,,,,,,,,,Non,Quelques fois par année,Je ne conduis pas,Oui,Tous les jours,"Autobus, Métro",4,35 - 50 ans,Homme,Diplôme d'études collégiales,Non,Employé à temps partiel,30,Jamais,Personne seule ou en couple,
5,2018-10-23,Par courriel,Oui,Oui,5,5,J'ai besoin d'être convaincu pour adopter une nouvelle technologie,"Transport de personnes à mobilité réduite, En remplacement de la voiture individuelle, Utilisation pour le dernier kilomètre entre la maison et le travail","Augmente la sécurité routière, Aide au transport de personnes qui ne conduisent pas",non utilisable s'il y a beaucoup de piétons et aucun feu rouge (s'arrête trop),Oui,Oui,Très confortable,Très confortable,Très confortable,Oui,Oui,,3,5,Oui,3,3,Oui,1,5,2,1,1,Pas d'opinion,4,Oui,Quelques fois par semaine,Non,Non,Quelques fois par année,Métro,4,35 - 50 ans,Femme,Diplôme d'études collégiales,Non,Employé à temps plein,6 minutes,Jamais,Personne seule ou en couple,
6,2018-10-23,Par courriel,Oui,Non,4,4,J'adopte les technologies lorsque nécessaire,"Transport de personnes à mobilité réduite, À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Utilisation pour le dernier kilomètre entre la maison et le tra","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville, Transport collectif plus durable","Sécurité des passants, Fiabilité des technologies, Trajet fixe, n'évite pas les trous",Pas convaincu,Peut-être,Neutre,Confortable,Confortable,Oui,Non,Plus vite à pied,,,,,,,,,,,,,,Oui,Quelques fois par semaine,Oui,Oui,Quelques fois par année,Métro,4,51 - 65,Homme,Diplôme d'études collégiales,Non,Employé à temps plein,30 minutes,Moins d'une fois par mois,Personne seule ou en couple,
7,2018-10-23,Par courriel,Oui,Non,5,5,J'adopte les technologies lorsque nécessaire,"À la sortie des stations de transport en commun du métro et du train, Service spécial au centre-ville, Utilisation pour le dernier kilomètre entre la maison et le travail","Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Transport collectif plus durable",,Oui,Oui,,Très confortable,Très confortable,Oui,Non,"J'ai l'impression que de l'utiliser c'est aussi vite que de me rendre à pied à l'endroit désiré. De plus, je ne sais jamais vers ou elle va. ",,,,,,,,,,,,,,Non,,Je ne conduis pas,Oui,Tous les jours,"Autobus, Métro",3,25 à 34 ans,Femme,Diplome d'études secondaire,Non,Employé à temps plein,45 min à 1 heure,Jamais,Personne seule ou en couple,
8,2018-10-23,Par courriel,Oui,Non,,4,J'adopte rapidement les technologies et j'influence les autres,"Navette dans des endroits très achalandés, Utilisation pour le dernier kilomètre entre la maison et le travail, Transport collectif 24 hres","Augmente la sécurité routière, Permet de faire autre chose pendant le trajet (utilisation d'objets connectés, lecture, repos, méditation), Aide au transport de personnes qui ne conduisent pas, Meilleur flot de circulation dans la ville, Transport collecti",,Oui,Oui,Confortable,Confortable,Confortable,Oui,Non,Manque de temps (travail),,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,Métro,3,51 - 65,Homme,Diplôme d'études collégiales,Non,Employé à temps plein,1 hres,Jamais,Personne seule ou en couple,
9,2018-10-23,Par courriel,Oui,Non,1,1,J'adopte les technologies lorsque nécessaire,"trop lent,  La ronde, ile st-Helène",aucun,"Sécurité des passants, Collecte de données personnelles, Cybersécurité, Absence physique de conducteur, Fiabilité des technologies",Non,Non,Très inconfortable,Très inconfortable,Très inconfortable,,,,,,,,,,,,,,,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",3,35 - 50 ans,Homme,Diplôme d'études collégiales,Non,Employé à temps plein,1h- 1h15,Jamais,Personne seule ou en couple,
10,2018-10-23,Par courriel,Non,Oui,5,5,J'adopte les technologies lorsque nécessaire,"À la sortie des stations de transport en commun du métro et du train, Désservir des activités de tourisme et de loisirs (festival, centre sportifs), Service spécial au centre-ville",Ne pas avoir à me stationner (la navette vous dépose et repart),,Je n'y ai jamais pensé,Peut-être,Confortable,Confortable,Neutre,Oui,Oui,,5,5,Oui,5,4,Oui,3,4,3,5,5,,,Oui,Tous les jours,Oui,Non,Quelques fois par année,"Autobus, Métro",4,35 - 50 ans,Femme,"Études supérieures (DESS, Maitrise, Doctorat, Post- Doctorat)",Non,Employé à temps plein,3 heures,Moins d'une fois par mois,Famille avec enfant (1 ou 2 parents),
