Id,date,evaluation_service_motivation_prise_navette,evaluation_service_but_deplacement ,evaluation_service_transport_remplace,evaluation_service_planification_trajet,evaluation_service_appreciation,evaluation_service_avantages,evaluation_service_besoins_mobilite,evaluation_service_arrets_plus_frequents,evaluation_service_apport,evaluation_service_obstacles_integration,habitudes_transport_frequence,habitudes_transport_temps,habitudes_transport_irritants,relation_navette_premiere_experience,relation_navette_confort_autonomie,relation_navette_confiance_technologie,relation_navette_confort_absence_operateur,relation_navette_confort_controleur_a_distance,relation_navette_pieton,relation_navette_cycliste,relation_navette_voiture,relation_navette_perception,classement_groupe_age,classement_genre,classement_niveau_etude,classement_mobilite_reduite,classement_statut_emploi,commentaire
1,2019-07-11 14:19:54,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus pratique ou plus rapide (que de marcher ou de prendre ma voiture par exemple)",Loisir / promenade,À pied,Non,4,"Accroitre la fréquence des transports collectifs, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité de quartier, Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant","Oui, lesquels, Personne âgée",Stade Olympique,Non,Fiabilité de la technologie,Tous les jours ou presque,30 min - 1h,"Fiabilité (panne, accident, non présentation du bus ...)",Non,5,4,Aucun problème,Oui,3,3,4,de manière très positive,51 à 64 ans,Homme,Diplôme d'études secondaires,Non,Retraité,
2,2019-07-11 14:24:45,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,À pied,Non,4,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses","Oui, lesquels",Stade Olympique,Non,Fiabilité de la technologie,Tous les jours ou presque,1h - 1h30,"Fréquence, Confort, Achalandage, Distance au transport collectif le plus proche",Non,4,4,Aucun problème,Oui,3,3,3,de manière plutôt positive,35 à 50 ans,Femme,Diplôme d'études collégiales,Non,Travailleur à temps plein,En banlieue ce serait pratique
3,2019-07-11 14:31:08,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus confortable (climatisation, place assise ..)",Loisir / promenade,À pied,Non,4,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service","Oui, lesquels, Personne âgée",Stade Olympique,Oui,"Fiabilité de la technologie, Peur des autres voitures",Tous les jours ou presque,30 min - 1h,"Confort, Distance à pied totale sur le trajet",Non,3,3,Aucun problème,Oui,3,3,3,de manière très positive,51 à 64 ans,Femme,Diplôme d'études collégiales,Non,Retraité,
4,2019-07-11 14:47:07,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus pratique ou plus rapide (que de marcher ou de prendre ma voiture par exemple), Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,À vélo,Oui,5,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Accroitre la sécurité vis à vis des cyclistes et des piétons, Quand tout sera autonome","Oui, lesquels, Personne âgée",Marché Maisonneuve,Pas régulièrement plus circuit plus étendu,"Sécurité des passagers de la navette, Cybersécurité - (attaque à distance des systèmes de contrôle de la navette), Collecte des données personnelles, Sécurité face aux autres passagers",Quelques fois par semaine,0 - 30 min,,Non,5,5,"Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Oui,4,4,4,de manière plutôt positive,35 à 50 ans,Homme,Diplôme d'études secondaires,Non,Travailleur à temps plein,
5,2019-07-11 15:12:04,"Pour l'expérience de monter dans une navette autonome, pour tester",,À pied,Oui,,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Accroitre la sécurité vis à vis des cyclistes et des piétons, Favoriser un mode de transport non-polluant","Oui, lesquels",Marché Maisonneuve,Oui,"Collecte des données personnelles, Absence de conducteur, Fiabilité de la technologie",Tous les jours ou presque,30 min - 1h,,Non,5,5,Aucun problème,Oui,3,3,3,de manière très positive,18 à 34 ans,Ne souhaite pas répondre,Diplôme d'études collégiales,Non,Étudiant,
6,2019-07-11 15:21:10,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,À pied,Non,3,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Accroitre la sécurité vis à vis des cyclistes et des piétons, Faciliter l'accès au réseau de bus ou de métro, Favoriser un mode de transport non-polluant","Oui, lesquels, Parcours plus longs",Marché Maisonneuve,"Non, Trop lent",,Tous les jours ou presque,30 min - 1h,,Non,3,3,,Oui,4,4,4,de manière très positive,35 à 50 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,
7,2019-07-11 15:33:41,"Pour l'expérience de monter dans une navette autonome, pour tester",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,4,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant","Oui, lesquels",Hochelaga Ouest / Est,,,Tous les jours ou presque,plus de 2h,"Fiabilité (panne, accident, non présentation du bus ...)",Non,5,5,"Je me demande qui va répondre aux questions, Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Oui,3,4,1,de manière très positive,35 à 50 ans,Homme,Diplôme universitaire,Non,Travailleur à temps plein,
8,2019-07-11 15:45:33,"Pour l'expérience de monter dans une navette autonome, pour tester",,Je n'aurais pas fait ce déplacement,Non,5,"Accroitre la fréquence des transports collectifs, Étendre les horaires de service, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité des personnes à mob réduite, Favoriser un mode de transport non-polluant","Oui, lesquels",Marché Maisonneuve,Oui,"Cybersécurité - (attaque à distance des systèmes de contrôle de la navette), Entrave à la circulation des voitures",,0 - 30 min,"Distance à pied totale sur le trajet, Fiabilité (panne, accident, non présentation du bus ...)",Non,5,4,"Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord ..) ?",Peut-être,5,4,3,de manière très positive,18 à 34 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,
9,2019-07-12 14:57:39,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus pratique ou plus rapide (que de marcher ou de prendre ma voiture par exemple), Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,4,"Accroitre la fréquence des transports collectifs, Déployer des lignes dans les milieux faiblement denses, Accroitre la sécurité vis à vis des cyclistes et des piétons","Oui, lesquels, Faire le tour du stade",Stade Olympique,Oui,"Sécurité des passagers de la navette, Fiabilité de la technologie, Ceintures de sécurité",Quelques fois par semaine,0 - 30 min,"Achalandage, Distance à pied totale sur le trajet",Non,2,2,"J'aurai peur, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..), Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect des règles à bord",Peut-être,1,,5,de manière très positive,35 à 50 ans,Femme,Diplôme universitaire,Non,Travailleur à temps plein,Abris bus avec sieges
10,2019-07-12 14:57:45,"Pour l'expérience de monter dans une navette autonome, pour tester, Plus pratique ou plus rapide (que de marcher ou de prendre ma voiture par exemple), Plus confortable (climatisation, place assise ..), Pour encourager le transport collectif et écologique",Loisir / promenade,Je n'aurais pas fait ce déplacement,Non,4,"Accroitre la fréquence des transports collectifs, Déployer des lignes dans les milieux faiblement denses, Augmenter la mobilité de quartier","Oui, lesquels",Stade Olympique,Oui,"Sécurité des passagers de la navette, Absence de conducteur, Fiabilité de la technologie",Tous les jours ou presque,1h - 1h30,"Achalandage, Infrastructures non adaptées à certaines situations (poussette, fauteuil roulant ...)",Non,2,4,"Aucun problème, J'aurai peur, Je me demande comment sera gérée une situation d'urgence (dysfonctionnement de la navette, malaise à bord ..), Je me demande qui assurera la sécurité et le civisme à bord (calme, validation des titres de transport, respect de",Peut-être,,3,1,de manière très positive,51 à 64 ans,Femme,Diplôme d'études collégiales,Oui,Étudiant,Offrir du service adapté pas seulement sur demande
