NOM,ADRESSE,SITEWEB,HORAIRE,NOTES,CONTACT,TELEPHONE,EMAIL,MISEAJOUR,LONGITUDE,LATITUDE
Hôtel de ville,"435 Boulevard Iberville, Repentigny",http://www.ville.repentigny.qc.ca/Coordonnees.html,Lun au Mer: 8 h 30 à 12 h et 13 h à 16 h 30; Jeu: 8 h 30 à 12 h et 13 h à 17 h 30; Ven: 8 h à 12 h,"L’hôtel de ville actuel a été inauguré en 1989, tout à-côté de l'ancien édifice municipal qui abrite maintenant la bibliothèque.",Hôtel de ville,450-470-3001,,20140219,-73.45130082821099,45.74183720292935
Parcs et espaces verts,"115 Rue Laroche, Repentigny",http://www.ville.repentigny.qc.ca/Vie-Animee/Parcs.aspx,Lun au Jeu: 7 h à 11 h 30 et 12 h à 16 h; Ven: 7 h à 11 h 45,Le territoire de la ville de Repentigny compte 56 parcs et 150 espaces verts accessibles à la population toute l'année.,Parcs et espaces verts,450-470-3790,parcs@ville.repentigny.qc.ca,20140219,-73.44889631577482,45.7525136838676
Travaux publics,"130 Rue Landreville, Repentigny",http://www.ville.repentigny.qc.ca/Vie-Citoyenne/Travaux-publics.aspx,Lun au Jeu: 7 h à 11 h 30 et 12 h à 16 h; Ven: 7 h à 11 h 45,Le Service des travaux publics voit à l’entretien des infrastructures de la Ville de Repentigny. Il traite annuellement près de 5 000 requêtes de citoyens.,Travaux publics,450-470-3800,travaux-publics@ville.repentigny.qc.ca,20140219,-73.4498344722401,45.75022856796997
Centre aquatique Jacques-Dupuis,"130 Rue Valmont, Repentigny",http://www.ville.repentigny.qc.ca/Vie-Animee/piscine.aspx,Lun et Mer: 6 h à 21 h; Mar et Jeu: 7 h à 22 h; Ven: 6 h à 17h; Sam: 14 h à 20 h; Dim: 14 h à 21 h,Ça bouge à Repentigny lorsqu'il est question d'activités aquatiques! La piscine est un lieu convivial où tous les membres de la famille y trouveront leur compte.,Piscine municipale,450-470-3440,piscine@ville.repentigny.qc.ca,20140219,-73.4352769299045,45.764765237194936
Centre communautaire Laurent-Venne,"225 Boulevard J.-A.-Paré, Repentigny",http://www.ville.repentigny.qc.ca/vie-animee/activites-sportives-recreatives/nos-centres-partenaires/centre-communautaire-laurent-venne.html,Lun au Ven: 8 h à 22 h; Sam et Dim: 9 h à 17 h,La programmation hiver 2014 du Centre communautaire Laurent-Venne comprend plus de 60 activités s’adressant à toute la famille.,Centre communautaire Laurent-Venne,450-657-4877,ctrcommunautairerepentigny@bellnet.ca,20140219,-73.47694129224527,45.762653952934485
Centre récréatif de Repentigny,"740 Rue Pontbriand, Repentigny",http://www.centrerecreatifrepentigny.com/,Les plages horaires peuvent varier en fonction de la tenue d’événements sportifs et des réservations.,"Le Centre récréatif regroupe plusieurs organismes partenaires sportifs, culturels et communautaires de la Ville de Repentigny. C’est également un centre de référence en multi-santé et services complémentaires.",Centre récréatif de Repentigny,450-657-8988,info@crrepentigny.com,20140219,-73.45315506414514,45.75679637993674
Complexe sportif Gilles-Tremblay,"223 Rue Jacques-Plante, Repentigny",http://www.gymrepentigny.ca/,Les plages horaires peuvent varier en fonction de la tenue d’événements sportifs et des réservations.,"Inauguré en septembre 2006, le Complexe sportif de Repentigny porte le nom Gilles-Tremblay en l'honneur de l'ancien joueur des Canadiens de Montréal, qui habite Repentigny depuis nombre d'années.",Complexe sportif Gilles-Tremblay,450-585-1661,centresportif1@bellnet.ca,20140219,-73.41259462977894,45.790104747728705
Station de traitement des eaux usées,"45 Rue Lebel, Repentigny",http://www.ville.repentigny.qc.ca/Vie-Citoyenne/Eau/Eaux-usees.aspx,,"Les eaux usées sont chargées de différents éléments néfastes pour l’environnement. Avant d’être rejetées dans les cours d’eau, elles passent donc immanquablement par les systèmes de traitement municipaux aux fins de dépollution.",Station de traitement des eaux usées,450-470-3880,asselinb@ville.repentigny.qc.ca,20140219,-73.4449379631372,45.736144222285716
Station de purification de l'eau,"535 Rue de la Traverse, Repentigny",http://www.ville.repentigny.qc.ca/Vie-Citoyenne/Eau/Eau-potable.aspx,,L’eau qui coule aux robinets des Repentignois et Repentignoises est un produit qui fait l’objet d’un contrôle des plus rigoureux. Elle doit subir une série de traitements pour éliminer toutes traces de son long parcours en milieu naturel.,Station de purification de l'eau,450-470-3870,valiquetter@ville.repentigny.qc.ca,20140219,-73.46787987368495,45.74886011023294
Station de traitement par étangs aérés,"45 Place des Roseaux, Repentigny",http://www.ville.repentigny.qc.ca/Vie-Citoyenne/Eau/Eaux-usees.aspx,,"Utilisé pour le traitement biologique des eaux usées, ce procédé se compose de 4 bassins aérés retenus par des digues. Les micro-organismes présents naturellement dans les rejets sanitaires dégradent les charges polluantes charriées par les eaux usées.",Station de traitement par étangs aérés,450-470-3883,boulanger.christian@ville.repentigny.qc.ca,20151118,-73.48934079470583,45.73678788734631
Centre d'art Diane-Dufresne,"11 Allée de la Création, Repentigny",http://www.ville.repentigny.qc.ca/vie-animee/centre-d%E2%80%99art-diane-dufresne/a-propos-du-centre-d%E2%80%99art-diane-dufresne.html,Mer et Jeu: 13 h à 17 h et 19 h à 21 h; Ven à Dim: 13 h à 17 h,"Ce nouveau lieu est une destination incontournable pour la création et la diffusion culturelle, un phare pour les visiteurs et pour ceux et celles qui apprécient la création sous toutes ses formes.",Centre d’art Diane-Dufresne,450-470-3010,cadd@ville.repentigny.qc.ca,20151118,-73.44915933530348,45.73877672668537
