Nom Bibliothèque	Secteur	Titre	Nombre de prêt	Nombre de document	Lien URL
Bibliothèque d'Ahuntsic	Adultes - Documentaires	Guide de la route /[recherche et rédaction de la mise à jour, Sandra Gauthier avec la collaboration du personnel du Service des usagers de la route ; réalisé par la Société de l'assurance automobile du Québec en collaboration avec le Service de l'exploitation du Ministère des transports ; illustrations, Jean-Michel Girard].	11	14	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1821505?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le bleu de tes yeux :roman /Mary Higgins Clark ; traduit de l'anglais (États-Unis) par Anne Damour.	10	7	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2450741?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Soumission : roman	10	10	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2488049?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Les héritiers du fleuve.4,1931-1939 /Louise Tremblay-D'Essiambre.	8	9	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2476200?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	Prisonniers[enregistrement vidéo] =Prisoners /réalisation, Denis Villeneuve ; scénario, Aaron Guzikowski.	8	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2431762?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Central Park :roman /Guillaume Musso.	8	8	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2440321?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - Documentaires	Raconte-moi la Nouvelle-France, raconte-moi le Québec /concept et illustrations, Marie-José Raymond ; textes, Claude Fournier.	8	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1319846?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - DVD	Harry Potter et les reliques de la mort.1[enregistrement vidéo] =Harry Potter and the deathly hallows. 1 /réalisation, David Yates ; scénario, Steve Kloves.	8	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2116633?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	Opération avant l'aube[enregistrement vidéo] =Zero dark thirty /réalisation, Kathryn Bigelow ; scénario, Mark Boal.	7	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2384123?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le pardon :roman /Danielle Steel ; traduit de l'anglais (États-Unis) par Hélène Colombeau.	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2453044?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Les luminaires	7	5	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2486505?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Documentaires	Guide de la route /[publication réalisée par la Société de l'assurance automobile du Québec].	7	13	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2448995?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Au poil /Jim Davis ; [traduction, Fanny Soubiran].	7	6	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1934934?lang=frc
Bibliothèque d'Ahuntsic	Jeunes - DVD	Le coq de St-Victor[enregistrement vidéo] =The rooster of St-Victor /réalisation, Pierre Greco ; scénario, Johanne Mercier, Pierre Greco.	7	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2459040?lang=frc
Bibliothèque d'Ahuntsic	Adultes - DVD	Dallas Buyers Club[enregistrement vidéo] /réalisation, Jean-Marc Vallée ; scénario, Craig Borten, Melisa Wallack.	6	3	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2438764?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Romans québécois	Les héritiers du fleuve.2,1898-1914 /Louise Tremblay-D'Essiambre.	6	6	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2410973?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Elle & Lui	6	7	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2488278?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Une autre idée du bonheur :roman /Marc Lévy.	6	7	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2447229?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le duel /Arnaldur Indridason ; traduit de l'islandais par Éric Boury.	6	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2444147?lang=frc
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le poison d'amour :roman /Eric-Emmanuel Schmitt.	6	6	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb2476898?lang=frc
Bibliothèque de Cartierville	Inconnu	Balzac et la petite tailleuse chinoise :roman /Dai Sijie.	14	8	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1255353?lang=frc
Bibliothèque de Cartierville	Adultes - Documentaires	Conduire un véhicule de promenade /[publication réalisée par la Société de l'assurance automobile du Québec ; recherche et rédaction, Michèle Jean et Micheline Briand avec la collaboration de Diane Hamel... et al.]	6	17	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1427841?lang=frc
Bibliothèque de Cartierville	Adultes - Documentaires	Guide de la route /[recherche et rédaction, Micheline Briand avec la collaboration de Claude Nazair ; réalisé par la Société de l'assurance automobile du Québec en collaboration avec le Service des technologies d'exploitation du Ministère des transports].	6	11	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1492968?lang=frc
Bibliothèque de Cartierville	Adultes - Documentaires	Panoram@th.Mathématique, 1er cycle du secondaire /Richard Cadieux, Isabelle Gendron, Antoine Ledoux.	5	4	https://nelligandecouverte.ville.montreal.qc.ca/iii/encore/record/C__Rb1443506?lang=frc
