PrjName,RecordNo,Q2,Q3,Q33,Q4A,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7H,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q9C,Q9D,Q9E,Q9K,Q9F,Q9G,Q9I,Q9J,Q9L,Q9M,Q10,Q11,Q11O,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12L,Q12M,Q12N,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16,Q17B,Q17BO,Q17A,Q17AO,QNPS,Q18,Q19A,Q19B,Q19C,Q19D,Q19E,Q19F,Q20,Q21,Q21O,Q22,Q22O,Q24,Q27M1,Q27M1O,Q27M2,Q27M2O,Q27M3,Q27M3O,Q27M4,Q27M4O,Q27M5,Q27M5O,Q27M6,Q27M6O,Q27M7,Q27M7O,Q27M8,Q27M8O,Q27M9,Q27M9O,Q27M10,Q27M10O,Q25M1,Q25M1O,Q25M2,Q25M2O,Q25M3,Q25M3O,Q25M4,Q25M4O,Q25M5,Q25M5O,Q26,Q26O,Q28,Q29A,Q29B,Q29C,Q29D,Q29E,Q29F,Q29G,Q29H,Q30,Q31,DEMO,Q34,Q34O,Q35,Q36,Q36B,Q36BO,Q36C,Q36CO,Q37,LANG,POND
12000_112A,7,H1K,2,3,1,3,3,2,3,2,1,1,1,1,1,1,1,1,4,3,3,2,2,3,2,2,1,1,3,3,3,1,3,3,2,2,2,2,2,2,2,2,2,2,4,3,2,3,1,1,1,9,accident de route en vélo,1,3,3,2,1,2,2,2,2,9,9,2,2,2,2,2,2,2,1,transport en commun,1,délai d'émission permis,10,2, , , , , , , , ,, ,,1,1,,2,, ,, ,, ,, ,, ,, ,, ,, ,,3,,2,permis rénovation, ,, ,, ,,3,,1,1,9,2,1,1,1,2,2,2,2,1,2,,1,4,1,,1,,1,FR,"0,396711"
12000_112A,19,H2M,1,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,98,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,99,,99,,8,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,4,,1,2,3,,2,,2,FR,"3,506344"
12000_112A,24,H2V,11,2,2,2,2,2,2,3,4,3,3,3,4,3,3,2,4,3,3,2,2,4,2,2,2,2,2,2,2,2,4,2,3,2,2,2,3,3,3,2,2,2,3,2,2,2,2,3,2,98,,3,3,2,2,3,9,2,2,2,2,2,3,2,3,3,3,3,2,99,,99,,8,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,5,,2,2,1,,1,,1,FR,"6,494073"
12000_112A,27,H1K,2,4,2,2,4,2,2,2,2,1,4,4,1,4,4,1,4,4,4,3,1,4,4,1,1,4,4,1,1,1,4,1,4,4,1,4,4,4,4,1,1,1,4,4,4,4,1,4,1,98,,4,4,3,4,2,4,4,3,1,2,2,3,3,3,4,3,4,3,1,le transport mal organisé par la STM et c'est cher.,99,,4,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,2,,2,4,1,,1,,1,FR,"0,300058"
12000_112A,33,H1F,15,2,1,1,1,1,1,2,2,2,1,1,2,2,1,3,2,1,2,1,2,2,2,2,1,3,1,1,1,3,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,98,,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,6,"D'assuré que le feux de circulation foncitonne bien, augmentation de policiers.",99,,9,2, , , , , , , , ,, ,,1,2,, ,, ,, ,, ,, ,, ,, ,, ,, ,,6,Contraventions., ,, ,, ,, ,, ,,1,2,1,1,1,1,2,2,2,9,9,1,9,,9,9,99,,1,,1,FR,"1,746619"
12000_112A,41,H1E,12,6,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,,2,2,9,2,2,2,2,2,2,2,9,1,1,2,2,2,2,2,99,,99,,8,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,2,,1,2,2,,7,,1,FR,"1,977519"
12000_112A,49,H1A,12,4,2,1,2,2,4,1,1,2,2,2,3,2,3,3,4,4,4,2,3,4,2,3,1,1,2,2,2,3,3,3,3,3,2,2,4,3,3,4,3,2,3,3,4,2,2,3,2,18,Communication between police and comunity group. Racism.,2,4,3,2,2,9,2,2,3,1,1,3,2,3,3,3,2,3,2,Should be more organised more efficient. Schedule on time.,99,,10,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,1,,2,2,1,,2,,1,EN,"2,477781"
12000_112A,53,H1X,13,6,2,4,1,9,9,2,4,2,2,2,2,2,3,2,4,4,4,2,2,4,2,4,1,1,4,4,1,1,1,1,2,2,3,2,2,2,2,2,2,2,4,4,2,2,1,2,2,9,La cohabitation velo/voiture. C'est dangereux à certain endroit,2,4,2,3,2,2,1,2,9,9,9,9,9,9,3,3,9,2,12,Réparer les routes et les pistes cyclables pour améliorer la cohabitation/sécurité des 2,1,La rapidité du service pour obtenir un permis de rénovation,8,2, , , , , , , , ,, ,,1,1,,4,, ,, ,, ,, ,, ,, ,, ,, ,,14,Des branches d'arbres qui ''embarque'' sur sa propriété, ,, ,, ,, ,, ,,3,1,9,1,1,1,9,2,2,2,2,1,4,,1,4,3,Semi retraité,1,,2,FR,"0,63452"
12000_112A,97,999,7,6,2,3,3,2,3,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,4,3,2,2,2,1,3,2,3,2,2,2,2,2,2,2,1,9,2,2,2,2,2,12,le soir,1,2,1,1,1,4,1,1,3,1,1,2,1,2,3,2,2,2,99,,8,qu'ils arrêtent d'émettre des permis de construction. Trop de condos.,9,2, , , , , , , , ,, ,,2, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, , , , , , , , , , , ,1,4,,1,2,3,,1,,2,FR,"2,377139"
12000_112A,108,H3S,3,4,2,2,2,1,4,3,2,2,1,2,2,1,1,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,9,1,2,2,3,4,2,9,9,3,2,2,3,9,9,9,9,9,2,97,Que le terrorisme traverse l'Atlantique et se trouve dans une ville comme Mtl.,2,3,3,3,2,9,9,2,9,9,9,2,3,2,3,2,2,2,8,La fluidité des déplacements en voiture.,1,Rapidité d'émissions (de permis) et clarté des consignes.,9,2, , , , , , , , ,, ,,1,1,,2,,97,Par courrier., ,, ,, ,, ,, ,, ,, ,,13,Renouvellement de permis de stationnment, ,, ,, ,, ,, ,,1,2,1,1,1,1,1,1,1,1,1,1,2,,2,4,1,,1,,2,FR,"0,804291"
