NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,51218352,CENTRE HOSPITALIER REGIONAL DU GRAND-PORTAGE,5545,2881,0,8426,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
2,51218980,HOPITAL DE MATANE,2455,574,0,3029,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
3,51221141,HOPITAL NOTRE-DAME-DE-FATIMA,1496,172,0,1668,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
4,51221877,HOPITAL DE NOTRE-DAME-DU-LAC,1445,211,0,1656,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
5,51226892,HOPITAL D'AMQUI,1748,233,0,1981,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
6,51227882,HOPITAL REGIONAL DE RIMOUSKI,9962,6210,0,16172,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
7,,Total     11045119 CISSS DU BAS-SAINT-LAURENT,22651,10281,0,32932,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
8,,TOTAL 01 Bas-Saint-Laurent,22651,10281,0,32932,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
9,51218394,HOPITAL DE CHICOUTIMI,16466,9411,13,25890,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
10,51219384,HOPITAL DE DOLBEAU-MISTASSINI,2276,311,0,2587,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2017/04/01 et 2018/03/31, 2019-05-22
