NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,11097029,HOPITAL JUIF DE READAPTATION,659,0,0,659,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
2,12420774,HOPITAL SANTA CABRINI,8089,4300,0,12389,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
3,12431656,INSTITUT DE CARDIOLOGIE DE MONTREAL,7568,13,0,7581,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
4,12452645,HOPITAL MARIE CLARAC,1938,0,0,1938,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
5,12475976,HOPITAL DU SACRE-COEUR DE MONTREAL,20798,4529,52,25379,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
6,12599213,HOPITAL GENERAL DE MONTREAL,9395,6033,0,15428,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
7,12685608,HOPITAL GENERAL JUIF,23877,5301,0,29178,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
8,12730628,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,1205,119,0,1324,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
9,12745725,CENTRE HOSPITALIER DE ST. MARY,15228,10116,0,25344,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
10,12797577,INSTITUT PHILIPPE-PINEL DE MONTREAL,631,0,0,631,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
11,12934659,PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX,25451,13811,2,39264,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
12,13469796,HOPITAL MONT-SINAI,639,0,0,639,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
13,13508718,CSSS D'ARGENTEUIL,1231,1490,0,2721,S07-Nombre de départs par centre hospitalier,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
