NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,51218352,CENTRE HOSPITALIER REGIONAL DU GRAND-PORTAGE,5527,2822,0,8349,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
2,51218980,HOPITAL DE MATANE,2383,631,0,3014,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
3,51221141,HOPITAL NOTRE-DAME-DE-FATIMA,1462,207,0,1669,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
4,51221877,HOPITAL DE NOTRE-DAME-DU-LAC,1488,267,0,1755,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
5,51226892,HOPITAL D'AMQUI,1623,253,0,1876,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
6,51227882,HOPITAL REGIONAL DE RIMOUSKI,10104,6520,0,16624,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
7,,Total     11045119 CISSS DU BAS-SAINT-LAURENT,22587,10700,0,33287,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
8,,TOTAL 01 Bas-Saint-Laurent,22587,10700,0,33287,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
9,51218394,HOPITAL DE CHICOUTIMI,16948,8399,10,25357,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
10,51219384,HOPITAL DE DOLBEAU-MISTASSINI,2213,343,0,2556,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
11,51219400,HOPITAL D'ALMA,5272,2629,0,7901,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
12,51221364,HOPITAL DE LA BAIE,907,0,0,907,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
13,51224541,HOPITAL ET CENTRE DE READAPTATION DE JONQUIERE,3296,1320,0,4616,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
14,51228203,HOPITAL CLSC CTRE HEBERGEMENT ROBERVAL,5227,3217,0,8444,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
15,,Total     11045127 CIUSSS DU SAGUENAY-LAC-SAINT-JEAN,33863,15908,10,49781,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
16,,TOTAL 02 Saguenay-Lac-Saint-Jean,33863,15908,10,49781,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
17,51217529,HOPITAL DU SAINT-SACREMENT,4824,15300,0,20124,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
18,51217586,PAVILLON L'HOTEL-DIEU DE QUEBEC,9410,3676,19,13105,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
19,51217594,PAVILLON C.H. DE L'UNIVERSITE LAVAL,23472,6432,0,29904,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
20,51217602,PAVILLON SAINT-FRANCOIS D'ASSISE,17217,5637,0,22854,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
21,51233914,HOPITAL DE L'ENFANT-JESUS,14196,5091,0,19287,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
22,,Total     11045051 CHU DE QUEBEC - UNIVERSITE LAVAL,69119,36136,19,105274,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
23,51223196,HOP. REGIONAL DE PORTNEUF CLSC ST-RAYMOND,146,0,0,146,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
24,51225001,HOPITAL CHAUVEAU,166,0,0,166,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
25,51225357,HOPITAL DE SAINTE-ANNE-DE-BEAUPRE,108,0,0,108,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
26,51228690,HOPITAL DE LA MALBAIE,1158,693,0,1851,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
27,51228716,HOPITAL DE BAIE-SAINT-PAUL,865,818,0,1683,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
28,51229581,CENTRE DE PEDOPSYCHIATRIE,298,0,0,298,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
29,51231330,HOPITAL JEFFERY HALE,243,0,0,243,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
30,51232189,INSTITUT UNIV.EN SANTE MENTALE DE QUEBEC,2483,941,0,3424,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
31,,Total     11045135 CIUSSS DE LA CAPITALE-NATIONALE,5467,2452,0,7919,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
32,51232130,INST.UNIV. DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QC,16300,195,0,16495,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
33,,Total     51232130 INST.UNIV. DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QC,16300,195,0,16495,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
34,,TOTAL 03 Capitale-Nationale,90886,38783,19,129688,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
35,51219541,CLSC  CENTRE D'HEBERG. ET HOP. CLOUTIER DU RIVAGE,251,0,0,251,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
36,51219731,CSSS DU HAUT-SAINT-MAURICE,1119,143,0,1262,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
37,51220051,HOPITAL DU CENTRE-DE-LA-MAURICIE,7829,3798,0,11627,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
38,51220069,CENTRE REGIONAL DE SANTE MENTALE,128,1,0,129,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
39,51220168,PAVILLON SAINTE-MARIE,22533,9832,0,32365,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
40,51220523,CENTRE MULTI. SSS CHRIST-ROI,166,0,0,166,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
41,51228039,HOTEL-DIEU D'ARTHABASKA,9799,6398,0,16197,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
42,51228781,HOPITAL SAINTE-CROIX,11581,5114,0,16695,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
43,51233583,CENTRE MULTI. SSS AVELLIN-DALCOURT,261,0,0,261,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
44,,Total     11045143 CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUEBEC,53667,25286,0,78953,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
45,,TOTAL 04 Mauricie et Centre-du-Québec,53667,25286,0,78953,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
46,51216687,HOPITAL FLEURIMONT,22262,4648,0,26910,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
47,51216695,HOTEL-DIEU DE SHERBROOKE,10813,8550,0,19363,Titre du rapport « S07-Nombre de départs par centre hospitalier »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
