NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,11042215,HOPITAL LOUIS-H. LAFONTAINE,1884,52,0,1936,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
2,11097029,HOPITAL JUIF DE READAPTATION,735,0,0,735,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
3,12420774,HOPITAL SANTA CABRINI,8283,3870,0,12153,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
4,12431656,INSTITUT DE CARDIOLOGIE DE MONTREAL,7658,21,0,7679,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
5,12452645,HOPITAL MARIE CLARAC,1846,0,0,1846,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
6,12475976,HOPITAL DU SACRE-COEUR DE MONTREAL,21174,5079,20,26273,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
7,12599213,HOPITAL GENERAL DE MONTREAL,10383,5755,0,16138,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
8,12685608,HOPITAL GENERAL JUIF,23968,6086,0,30054,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
9,12730628,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,1166,76,0,1242,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
10,12745725,CENTRE HOSPITALIER DE ST. MARY,15441,10505,0,25946,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
11,12797577,INSTITUT PHILIPPE-PINEL DE MONTREAL,577,0,0,577,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
12,12806592,HOPITAL RIVIERE-DES-PRAIRIES,284,0,0,284,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
13,12934659,PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX,24534,12762,6,37302,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
14,13469796,HOPITAL MONT-SINAI,606,0,0,606,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
15,13506472,HOPITAL SHRINERS POUR ENFANTS (QUEBEC),590,428,0,1018,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
16,13508718,CSSS D'ARGENTEUIL,1307,1128,0,2435,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
17,13727060,HOPITAL DOUGLAS,1813,0,0,1813,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
18,14628986,CSSS DE L'HEMATITE,282,0,0,282,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
19,15103666,PAVILLON COTE-DES-NEIGES,532,0,0,532,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
20,16258899,CONSEIL CRI DE LA SANTE ET DES SERV. SOCIAUX BAIE- JAMES,709,0,0,709,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
21,18456327,CENTRE DE SANTE INUULITSIVIK,1269,193,0,1462,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
22,29732187,VILLA MEDICA,1104,0,0,1104,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
23,51216687,HOPITAL FLEURIMONT,21277,2820,1,24098,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
24,51216695,HOTEL-DIEU DE SHERBROOKE,10272,10366,0,20638,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
25,51217529,HOPITAL DU SAINT-SACREMENT,4774,16114,0,20888,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
26,51217586,PAVILLON L'HOTEL-DIEU DE QUEBEC,9186,3409,25,12620,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
27,51217594,PAVILLON C.H. DE L'UNIVERSITE LAVAL,25542,6261,0,31803,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
28,51217602,PAVILLON SAINT-FRANCOIS D'ASSISE,15688,5189,0,20877,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
29,51217610,HOPITAL DE MONT-LAURIER,2690,603,0,3293,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
30,51217628,CENTRE DE SERVICES DE RIVIERE-ROUGE,983,0,0,983,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
31,51217974,HOPITAL ET CENTRE D'HEBERGEMENT D'YOUVILLE,164,0,0,164,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
32,51218030,CENTRE D'HEBERGEMENT CHAMPLAIN,410,0,0,410,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
33,51218097,HOPITAL DE VERDUN,7302,5135,0,12437,S07-Nombre de départs par centre hospitalier,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
