NUMEROTATION,NO_REGION,NO_ETAB_CIUSSS,NO_ETAB_MSSS,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,"01","11045119",51218352,"CENTRE HOSPITALIER REGIONAL DU GRAND-PORTAGE",5588,2268,0,7856,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
2,"01","11045119",51218980,"HOPITAL DE MATANE",2086,796,0,2882,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
3,"01","11045119",51221141,"HOPITAL NOTRE-DAME-DE-FATIMA",1534,180,0,1714,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
4,"01","11045119",51221877,"HOPITAL DE NOTRE-DAME-DU-LAC",1154,193,0,1347,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
5,"01","11045119",51226892,"HOPITAL D'AMQUI",1550,230,0,1780,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
6,"01","11045119",51227882,"HOPITAL REGIONAL DE RIMOUSKI",8377,5417,0,13794,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
7,"01","11045119",,"Total     11045119 CISSS DU BAS-SAINT-LAURENT",20289,9084,0,29373,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
8,"01","",,"TOTAL 01 Bas-Saint-Laurent",20289,9084,0,29373,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
9,"02","11045127",51218394,"HOPITAL DE CHICOUTIMI",14815,5476,10,20301,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
10,"02","11045127",51219384,"HOPITAL DE DOLBEAU-MISTASSINI",1885,754,0,2639,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
11,"02","11045127",51219400,"HOPITAL D'ALMA",5344,2495,0,7839,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
12,"02","11045127",51221364,"HOPITAL DE LA BAIE",742,0,0,742,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
13,"02","11045127",51224541,"HOPITAL ET CENTRE DE READAPTATION DE JONQUIERE",2593,4193,0,6786,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
14,"02","11045127",51228203,"HOPITAL ET CHSLD DE ROBERVAL",3811,2705,0,6516,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
15,"02","11045127",,"Total     11045127 CIUSSS DU SAGUENAY-LAC-SAINT-JEAN",29190,15623,10,44823,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
16,"02","",,"TOTAL 02 Saguenay-Lac-Saint-Jean",29190,15623,10,44823,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
17,"03","11045051",51217529,"HOPITAL DU SAINT-SACREMENT",5145,14417,0,19562,"Titre du rapport « S07-Nombre de départs par centre hospitalier »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données de chaque établissement regroupé sont présentées sous le centre intégré de santé et de services sociaux qui administre cet établissement."
