NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,11042215,HOPITAL LOUIS-H. LAFONTAINE,1881,92,0,1973,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
2,11097029,HOPITAL JUIF DE READAPTATION,1028,0,0,1028,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
3,11546389,HOPITAL CATHERINE BOOTH DE L'ARMEE DU SALUT,821,0,0,821,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
4,12420774,HOPITAL SANTA CABRINI,8133,4758,0,12891,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
5,12431656,INSTITUT DE CARDIOLOGIE DE MONTREAL,7365,4157,0,11522,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
6,12452645,HOPITAL MARIE CLARAC,1908,0,0,1908,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
7,12475976,HOPITAL DU SACRE-COEUR DE MONTREAL,21035,5090,1,26126,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
8,12599213,HOPITAL GENERAL DE MONTREAL,10385,5599,0,15984,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
9,12679809,CENTRE HOSPITALIER PIERRE-JANET,793,0,0,793,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
10,12685608,HOPITAL GENERAL JUIF,24067,8097,0,32164,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
11,12730628,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,668,68,0,736,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
12,12745725,CENTRE HOSPITALIER DE ST. MARY,15688,10864,0,26552,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
13,12797577,INSTITUT PHILIPPE-PINEL DE MONTREAL,498,0,0,498,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
14,12806592,HOPITAL RIVIERE-DES-PRAIRIES,338,0,0,338,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
15,12934659,PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX,23135,10477,1,33613,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
16,12943486,CSSS DE TEMISCAMING-ET-DE-KIPAWA,339,0,0,339,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
17,13163092,HOPITAL DE L'ENFANT-JESUS,13305,9126,0,22431,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
18,13224969,HOPITAL CHARLES LEMOYNE,19026,8970,0,27996,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
19,13294020,CSSS DE LA BASSE-COTE-NORD,194,9,0,203,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
20,13469796,HOPITAL MONT-SINAI,585,0,0,585,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
21,13506472,HOPITAL SHRINERS POUR ENFANTS (QUEBEC),549,479,0,1028,S07-Nombre de départs par centre hospitalier,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
