NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,11042215,HOPITAL LOUIS-H. LAFONTAINE,1705,66,0,1771,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
2,11097029,HOPITAL JUIF DE READAPTATION,936,0,0,936,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
3,11546389,HOPITAL CATHERINE BOOTH DE L'ARMEE DU SALUT,841,0,0,841,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
4,12420774,HOPITAL SANTA CABRINI,8176,4221,0,12397,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
5,12431656,INSTITUT DE CARDIOLOGIE DE MONTREAL,7307,3699,0,11006,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
6,12452645,HOPITAL MARIE CLARAC,1785,0,0,1785,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
7,12475976,HOPITAL DU SACRE-COEUR DE MONTREAL,21084,4945,0,26029,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
8,12599213,HOPITAL GENERAL DE MONTREAL,10758,5841,0,16599,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
9,12679809,CENTRE HOSPITALIER PIERRE-JANET,780,0,0,780,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
10,12685608,HOPITAL GENERAL JUIF,23679,6496,0,30175,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
11,12730628,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,1023,123,0,1146,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
12,12745725,CENTRE HOSPITALIER DE ST. MARY,15683,10790,0,26473,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
13,12797577,INSTITUT PHILIPPE-PINEL DE MONTREAL,515,0,0,515,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
14,12806592,HOPITAL RIVIERE-DES-PRAIRIES,249,0,0,249,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
15,12934659,PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX,22060,10698,2,32760,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
16,13294020,CSSS DE LA BASSE-COTE-NORD,211,8,0,219,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
17,13469796,HOPITAL MONT-SINAI,551,0,0,551,S07-Nombre de départs par centre hospitalier,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
