NUMEROTATION,CODE_ETAB,NOM_CTRE_HOSPIT,SOINS_COURTE_DUREE,SOINS_CHIRURGIE_UN_JOUR,SOINS_POST-MORTEM,TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,11042215,HOPITAL LOUIS-H. LAFONTAINE,1874,71,0,1945,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
2,11097029,HOPITAL JUIF DE READAPTATION,894,0,0,894,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
3,12420774,HOPITAL SANTA CABRINI,7994,4040,0,12034,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
4,12431656,INSTITUT DE CARDIOLOGIE DE MONTREAL,7509,9,0,7518,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
5,12452645,HOPITAL MARIE CLARAC,1729,0,0,1729,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
6,12475976,HOPITAL DU SACRE-COEUR DE MONTREAL,21168,5035,21,26224,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
7,12599213,HOPITAL GENERAL DE MONTREAL,10232,5901,0,16133,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
8,12685608,HOPITAL GENERAL JUIF,23805,5939,0,29744,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
9,12730628,CENTRE DE SANTE TULATTAVIK DE L'UNGAVA,1045,147,0,1192,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
10,12745725,CENTRE HOSPITALIER DE ST. MARY,15956,10356,0,26312,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
11,12797577,INSTITUT PHILIPPE-PINEL DE MONTREAL,577,0,0,577,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
12,12806592,HOPITAL RIVIERE-DES-PRAIRIES,273,0,0,273,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
13,12934659,PAV. MAISONNEUVE/PAV. MARCEL-LAMOUREUX,23627,12391,3,36021,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
14,13294020,CSSS DE LA BASSE-COTE-NORD,260,19,0,279,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
15,13469796,HOPITAL MONT-SINAI,584,0,0,584,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
16,13506472,HOPITAL SHRINERS POUR ENFANTS (QUEBEC),609,489,0,1098,S07-Nombre de départs par centre hospitalier,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015
