NOM_DIRECTION_REGIONALE_MCC,BUREAU_REGIONAL,NO_CIVIQUE,RUE,BUREAU_SUITE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LATITUDE,LONGITUDE,TELEPHONE,URL_WEB
Direction du Saguenay-Lac-Saint-Jean et de la Côte-Nord,Bureau du Saguenay–Lac-Saint-Jean,202,rue Jacques-Cartier Est,,Saguenay,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G7H 6R8,48.425983392629796,-71.061322565276029,418 698-3500,https://mcc.gouv.qc.ca/index.php?id=376
"Direction de la Mauricie, de l'Estrie et du Centre-du-Québec",Bureau de la Mauricie et du Centre-du-Québec,100,rue Laviolette,bureau 315,Trois-Rivières,4,Mauricie,Québec,Canada,G9A 5S9,46.344209442347548,-72.539000461992273,819 371-6001,https://mcc.gouv.qc.ca/index.php?id=372¤https://mcc.gouv.qc.ca/index.php?id=381
"Direction de la Mauricie, de l'Estrie et du Centre-du-Québec",Bureau de l'Estrie,225,rue Frontenac,bureau 410,Sherbrooke,5,Estrie,Québec,Canada,J1H 1K1,45.403457873983911,-71.895499206847688,819 820-3007,https://mcc.gouv.qc.ca/index.php?id=369
"Direction de l'Outaouais, de l'Abitibi-Témiscamingue et du Nord-du-Québec",Bureau de l'Outaouais ,170,rue de l'Hôtel-de-Ville,"4e étage, bureau 4.140",Gatineau,7,Outaouais,Québec,Canada,J8X 4C2,45.427074342680214,-75.711299101152619,819 772-3002,https://mcc.gouv.qc.ca/index.php?id=377
"Direction de l'Outaouais, de l'Abitibi-Témiscamingue et du Nord-du-Québec",Bureau de l'Abitibi-Témiscamingue et du Nord-du-Québec,145,avenue Québec,,Rouyn-Noranda,8,Abitibi-Témiscamingue,Québec,Canada,J9X 6M8,48.239264708155964,-79.028625297533139,819 763-3517,https://mcc.gouv.qc.ca/index.php?id=375¤https://mcc.gouv.qc.ca/index.php?id=378
Direction du Saguenay-Lac-Saint-Jean et de la Côte-Nord,Bureau de la Côte-Nord,625,boulevard Laflèche,bureau 1.806,Baie-Comeau,9,Côte-Nord,Québec,Canada,G5C 1C5,49.201854633215682,-68.254418476106778,418 295-4979,https://mcc.gouv.qc.ca/index.php?id=370
Direction de la Capitale-Nationale et de la Chaudière-Appalaches,Bureau de la Chaudière-Appalaches,51,rue du Mont-Marie,,Lévis,12,Chaudière-Appalaches,Québec,Canada,G6V 0C3,46.811257267798872,-71.1790186715441,418 838-9886,https://mcc.gouv.qc.ca/index.php?id=371
"Direction de Laval, de Lanaudière et des Laurentides",,300,rue Sicard,bureau 200,Sainte-Thérèse,15,Laurentides,Québec,Canada,J7E 3X5,45.642840844941297,-73.860522845537417,450 430-3737,https://mcc.gouv.qc.ca/index.php?id=2060¤https://mcc.gouv.qc.ca/index.php?id=1015¤https://mcc.gouv.qc.ca/index.php?id=367
Direction de la Montérégie,,2,boulevard Desaulniers,bureau 500,Saint-Lambert,16,Montérégie,Québec,Canada,J4P 1L2,45.502656760243603,-73.51387138610022,450 671-1231,https://mcc.gouv.qc.ca/index.php?id=380
Direction du Bas–Saint-Laurent et de la Gaspésie—Îles-de-la-Madeleine,Bureau du Bas-Saint-Laurent,337,rue Moreault,RC bureau 12,Rimouski,1,Bas-Saint-Laurent,Québec,Canada,G5L 1P4,48.461338237795019,-68.516325548891743,418 727-3650,https://mcc.gouv.qc.ca/index.php?id=374
Direction de la Capitale-Nationale et de la Chaudière-Appalaches,Bureau de la Capitale-Nationale,225,Grande Allée Est,RC bloc C,Québec,3,Capitale-Nationale,Québec,Canada,G1R 5G5,46.803410808600695,-71.220586059372934,418 380-2346,https://mcc.gouv.qc.ca/index.php?id=373
Direction du Bas–Saint-Laurent et de la Gaspésie—Îles-de-la-Madeleine,Bureau de la Gaspésie—Îles-de-la-Madeleine,146,avenue de Grand-Pré,,Bonaventure,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0C 1E0,48.04792928470907,-65.486845159935655,418 534-4431,https://mcc.gouv.qc.ca/index.php?id=368
Direction de Montréal,,480,boulevard Saint-Laurent,bureau 600,Montréal ,6,Montréal,Québec,Canada,H2Y 3Y7,45.505874582039752,-73.555450309365355,514 873-2255,https://mcc.gouv.qc.ca/index.php?id=379
