Categorie_sous-categorie_certificat,Secteur_activites,Examen,Organisme_dispensateur,Document_a_joindre 
CD12,Autres cas d'application - Application de rÃ©gulateurs de croissance en entrepÃ´t,Vente des pesticides-Vente en gros (classes 1 Ã  5) et au dÃ©tail (classes 1 Ã  3) / Sales of pesticides-Wholesale (classes 1 to 5) and Retail Sales (classes 1 to 3),SOFAD,Attestation de rÃ©ussite
CD12,Autres cas d'application - Application dans les serres forestiÃ¨res,"Tronc commun pour les utilisateurs de pesticides / Common Core for Pesticides Users
ET 
Utilisation des pesticides-Application en bÃ¢timent Ã  des fins horticoles / Use of Pesticides-Application in Building for Horticultural Purposes",SOFAD,Attestations de rÃ©ussite
CD12,Autres cas d'application - Application dans les serres forestiÃ¨res,"Utilisation des pesticides en milieu agricole / Use of pesticides in agriculture 
ET 
Utilisation des pesticides-Application en bÃ¢timent Ã  des fins horticoles / Use of Pesticides-Application in Building for Horticultural Purposes",SOFAD,Attestations de rÃ©ussite
CD12,Autres cas d'application,Un ou plusieurs examens prescrits ci dessus Ã  dÃ©terminer selon la nature de lâactivitÃ©,SOFAD,Attestation de rÃ©ussite
CD2,Application en milieu aquatique,"Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users 
ET
Utilisation des pesticides-Application en milieu aquatique",SOFAD,Attestations de rÃ©ussite
CD3,Application en terrain inculte,"Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users 
ET 
Utilisation des pesticides-Application en terrain inculte / Use of Pesticides-Application on raw land",SOFAD,Attestations de rÃ©ussite
CD4,Application en entretien des espaces verts,"JUSQU'AU 5 JUILLET 2025
Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users 
ET 
Utilisation des pesticides-Application en horticulture ornementale / Use of Pesticides-Application in Ornemental horticulture",SOFAD,Attestations de rÃ©ussite
CD4,Application en entretien des espaces verts,"Ã COMPTER DU 6 JUILLET 2025
Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users ",SOFAD,Attestations de rÃ©ussite
CD5,Application en gestion parasitaire,"Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users 
ET 
Utilisation des pesticides-Application en gestion parasitaire / Use of Pesticides-Application in pest management",SOFAD,Attestations de rÃ©ussite
CD6,Application par fumigation,"Tronc commun pour les utilisateurs de pesticides / Common Core for Pesticide Users 
ET 
Utilisation des pesticides-Application par fumigation / Use of Pesticides by Fumigation",SOFAD,Attestations de rÃ©ussite
CD7,Application dans les aires forestiÃ¨res,"Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users 
ET 
-Utilisation des pesticides-Application dans les aires forestiÃ¨res / Use of PesticidesâApplication in forest areas",SOFAD,Attestations de rÃ©ussite
CD8,Application en terres cultivÃ©es,"Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users
ET 
Utilisation des pesticides-Application en terres cultivÃ©es / Use of Pesticides-Application on cultivated land",SOFAD,Attestations de rÃ©ussite
CD9,Application pour le contrÃ´le des insectes piqueurs,"Tronc commun pour les utilisateurs de pesticides / Common Core for Pesticides Users 
ET 
Utilisation des pesticidesâContrÃ´le des insectes piqueurs / Use of PesticidesâApplication for the Control of Stinging Insects",SOFAD,Attestations de rÃ©ussite
E1 ou E2,Producteur agricole ou simple agriculteur,Utilisation des pesticides en milieu agricole / Use of Pesticides in Agriculture,SOFAD,Attestation de rÃ©ussite
E1 ou E2,Producteur agricole ou simple agriculteur,"Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users
ET
Utilisation des pesticides-Application en terres cultivÃ©es / Use of Pesticides-Application on cultivated land",SOFAD,Attestations de rÃ©ussite
E3,Agriculteur pour application en bÃ¢timent Ã  des fins horticoles,"Utilisation des pesticides en milieu agricole / Use of pesticides in agriculture
ET
Utilisation des pesticides-Application en bÃ¢timent Ã  des fins horticoles / Use of Pesticides-Application in Building for Horticultural Purposes",SOFAD,Attestations de rÃ©ussite
E3,Agriculteur pour application en bÃ¢timent Ã  des fins horticoles,"Utilisation des pesticides-Tronc commun / Commun Core for Pesticides Users
ET
Utilisation des pesticides-Application en bÃ¢timent Ã  des fins horticoles / Use of Pesticides-Application in Buildings for Horticultural Purposes",SOFAD,Attestations de rÃ©ussite
E5,Agriculteur pour application par fumigation,"Utilisation des pesticides en milieu agricole / Use of pesticides in agriculture
ET
Utilisation des pesticides-Application par fumigation/ Use of Pesticides-Application by Fumigation",SOFAD,Attestations de rÃ©ussite
E5,Agriculteur pour application par fumigation,"Tronc commun pour les utilisateurs / Common Core for Pesticides Users
ET 
Utilisation des pesticides-Application par fumigation / Use of Pesticides-Application by Fumigation",SOFAD,Attestations de rÃ©ussite
"F1, F1.1 ou F2",Producteur forestier ou simple amÃ©nagiste forestier,"Tronc commun pour les utilisateurs de pesticides / Commun Core for Pesticides Users
ET
Utilisation des pesticides-Application dans les aires forestiÃ¨res / Use of Pesticides-Application in forest areas",SOFAD,Attestations de rÃ©ussite
"F1, F1.1 ou F2",Producteur forestier ou simple amÃ©nagiste forestier,"Utilisation des pesticides en milieu agricole / Use of Pesticides in Agriculture
ET
Utilisation des pesticides-Application dans les aires forestiÃ¨res / Use of Pesticides-Application in forest areas",SOFAD,Attestations de rÃ©ussite
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
