TITRE_ORIGINAL,TITRE_FRANCAIS,TITRE_ANGLAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNEE_PRODUCTION,GENRE,SOURCE,AUTEUR_1,AUTEUR_2,AUTEUR_3,AUTEUR_4,UUID_MEDIAFILM,UUID_IMDB,UUID_WIKIDATA
Maugli,,"Adventures of Mowgli, The",RU,,,,,,1996,Film d'animation,Roman,Rudyard Kipling,,,,mf-tt-4478746206,,Q3373983
...Et mourir de plaisir,...Et mourir de plaisir,Blood and Roses,FR,IT,,,,,1960,Drame d'horreur,Roman,Sheridan le Fanu,,,,mf-tt-1858031031,tt0053802,
...la main Ã  couper,...la main Ã  couper,,FR,IT,,,,,1973,Drame policier,Roman,Pierre Salva,,,,mf-tt-1334004626,,
$9.99,,$9.99,IL,AU,,,,,2008,Film d'animation,Livre,Etgar Keret,,,,mf-tt-0963118376,tt0790799,Q571183
06,1-900,1-900,NL,,,,,,1994,Drame de moeurs,PiÃ¨ce,Johan Doesburg,,,,mf-tt-1103115321,tt0109001,
10:30 P.M. Summer,10h30 du soir en Ã©tÃ©,10:30 P.M. Summer,US,ES,FR,,,,1966,Drame,Roman,Marguerite Duras,,,,mf-tt-2947058139,tt0060045,Q60791699
100 Briques et des tuiles,100 Briques et des tuiles,,FR,,,,,,1964,ComÃ©die policiÃ¨re,Roman,Clarence Weff,,,,mf-tt-7552692084,,Q3231154
11.6,11.6,,FR,,,,,,2013,Drame,Livre,Alice GÃ©raud-Arfi,,,,mf-tt-0346875446,tt2655788,Q2909532
12 + 1,Douze et un,Twelve Plus One,IT,FR,,,,,1969,ComÃ©die,Roman,Yevgeni Petrov,Ilya Ilf,,,mf-tt-5063701108,,Q228667
12 Heures d'horloge,12 Heures d'horloge,,FR,DE,,,,,1959,Drame policier,Oeuvre,Boileau-Narcejac,,,,mf-tt-8563212786,,Q1755067
12 Mighty Orphans,,12 Mighty Orphans,US,,,,,,2021,Drame sportif,Roman,Jim Dent,,,,mf-tt-7505274214,,Q517958
12 Monkeys,12 Singes,12 Monkeys,US,,,,,,1995,Science-fiction,Oeuvre,Chris Marker,,,,mf-tt-2557607684,tt0114746,
