clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assistance sociale,Région,01 - Bas-Saint-Laurent,1415,2010,2355,3634
Individu - clientèle de l`assistance sociale,Région,02 - Saguenay - Lac-St-Jean,2496,3646,4515,7021
Individu - clientèle de l`assistance sociale,Région,03 - Capitale-Nationale,4553,6286,7917,11606
Individu - clientèle de l`assistance sociale,Région,04 - Mauricie,3236,4318,5609,8197
Individu - clientèle de l`assistance sociale,Région,05 - Estrie,2688,4015,4220,7070
Individu - clientèle de l`assistance sociale,Région,06 - Île-de-Montréal,14775,22598,22163,36480
Individu - clientèle de l`assistance sociale,Région,07 - Outaouais,3254,4609,5011,7646
Individu - clientèle de l`assistance sociale,Région,08 - Abitibi-Témiscamingue,1103,1846,1636,3001
Individu - clientèle de l`assistance sociale,Région,09 - Côte-Nord,634,879,1091,1582
Individu - clientèle de l`assistance sociale,Région,10 - Nord-du-Québec,156,210,375,512
Individu - clientèle de l`assistance sociale,Région,11 - Gaspésie - Îles-de-la-Madeleine,1336,1845,2736,3888
Individu - clientèle de l`assistance sociale,Région,12 - Chaudière-Appalaches,2657,3540,3576,5241
Individu - clientèle de l`assistance sociale,Région,13 - Laval,2911,3964,4257,6328
Individu - clientèle de l`assistance sociale,Région,14 - Lanaudière,4130,5948,6588,10516
Individu - clientèle de l`assistance sociale,Région,15 - Laurentides,4519,6317,7897,11676
Individu - clientèle de l`assistance sociale,Région,16 - Montérégie,8816,11574,13512,19105
Individu - clientèle de l`assistance sociale,Région,17 - Centre-du-Québec,2153,2993,4085,6088
Individu - clientèle de l`assistance sociale,Sexe,Femme,26590,37759,43113,67030
Individu - clientèle de l`assistance sociale,Sexe,Homme,33573,47206,54430,82561
Individu - clientèle de l`assistance sociale,Groupe d'âge,Moins de 20 ans,3915,6088,6370,10221
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 20 à 24 ans,9277,14384,15211,24769
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 25 à 29 ans,9578,14169,15523,24033
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 30 à 34 ans,8091,12048,12909,19885
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 35 à 39 ans,7521,11239,11986,18613
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 40 à 44 ans,6427,9409,10157,15446
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 45 à 49 ans,5080,7457,7908,11974
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 50 à 54 ans,5119,7267,7933,11687
Individu - clientèle de l`assistance sociale,Groupe d'âge,55 ans et plus,6251,8121,9546,12963
Individu - clientèle de l`assistance sociale,Groupe d'âge,35 ans et moins,31792,46067,52450,82715
