clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assistance sociale,Région,01 - Bas-Saint-Laurent,1646,2275,2775,4125
Individu - clientèle de l`assistance sociale,Région,02 - Saguenay - Lac-St-Jean,2953,4217,5984,8793
Individu - clientèle de l`assistance sociale,Région,03 - Capitale-Nationale,6516,8319,10830,14679
Individu - clientèle de l`assistance sociale,Région,04 - Mauricie,3365,4509,5955,8669
Individu - clientèle de l`assistance sociale,Région,05 - Estrie,3284,4763,5359,8439
Individu - clientèle de l`assistance sociale,Région,06 - Île-de-Montréal,18679,26865,28763,43839
Individu - clientèle de l`assistance sociale,Région,07 - Outaouais,4846,6132,7823,10764
Individu - clientèle de l`assistance sociale,Région,08 - Abitibi-Témiscamingue,1267,2066,1881,3354
Individu - clientèle de l`assistance sociale,Région,09 - Côte-Nord,771,1039,1489,1980
Individu - clientèle de l`assistance sociale,Région,10 - Nord-du-Québec,173,229,398,537
Individu - clientèle de l`assistance sociale,Région,11 - Gaspésie - Îles-de-la-Madeleine,1440,1976,2865,4086
Individu - clientèle de l`assistance sociale,Région,12 - Chaudière-Appalaches,2925,3861,4291,6093
Individu - clientèle de l`assistance sociale,Région,13 - Laval,3206,4321,4907,7008
Individu - clientèle de l`assistance sociale,Région,14 - Lanaudière,4574,6444,7401,11361
Individu - clientèle de l`assistance sociale,Région,15 - Laurentides,5089,6828,9634,13486
Individu - clientèle de l`assistance sociale,Région,16 - Montérégie,10081,13284,15272,21527
Individu - clientèle de l`assistance sociale,Région,17 - Centre-du-Québec,2391,3190,4332,6214
Individu - clientèle de l`assistance sociale,Sexe,Femme,32045,43921,53179,78642
Individu - clientèle de l`assistance sociale,Sexe,Homme,40369,54615,66780,96312
Individu - clientèle de l`assistance sociale,Groupe d'âge,Moins de 20 ans,4072,6522,7090,11027
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 20 à 24 ans,11051,16578,18789,29249
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 25 à 29 ans,11006,15849,18403,27401
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 30 à 34 ans,9579,13854,15668,23347
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 35 à 39 ans,9483,13361,15295,22174
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 40 à 44 ans,7899,10862,12522,17912
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 45 à 49 ans,6693,9219,10573,14883
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 50 à 54 ans,6910,9217,10752,14744
Individu - clientèle de l`assistance sociale,Groupe d'âge,55 ans et plus,7119,8932,10867,14217
Individu - clientèle de l`assistance sociale,Groupe d'âge,35 ans et moins,36971,52275,63031,95513
Individu - clientèle de l`assistance sociale,Groupe d'âge,36 ans et plus,35643,46998,56928,79441
Individu - clientèle de l`assistance sociale,Famille monoparentale,Oui,9585,13256,15787,23567
Individu - clientèle de l`assistance sociale,Famille monoparentale,Non,63106,85896,104167,151354
Individu - clientèle de l`assistance sociale,Famille monoparentale,Inconnue,4,31,5,33
Individu - clientèle de l`assistance sociale,Scolarité,Primaire,4773,6503,7465,11300
Individu - clientèle de l`assistance sociale,Scolarité,Secondaire I à IV,31026,42160,51372,74840
Individu - clientèle de l`assistance sociale,Scolarité,Secondaire V,18410,25200,30319,43560
Individu - clientèle de l`assistance sociale,Scolarité,Collégial,6445,8836,10715,15536
Individu - clientèle de l`assistance sociale,Scolarité,Universitaire,6895,9677,11800,17505
Individu - clientèle de l`assistance sociale,Scolarité,Inconnue,5711,8173,8288,12213
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Aucun diplôme,39271,53364,64367,94150
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - DES,10559,14637,17363,25344
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - DEP,6574,8910,11118,15713
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - ASP,566,744,950,1328
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - AEC,1359,1837,2306,3281
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - DEC général,1619,2255,2698,3943
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - DEC professionnel,2239,3052,3831,5516
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Certificat,442,655,767,1198
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Baccalauréat,1578,2310,2693,4156
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,568,789,967,1453
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Inconnu,8568,12115,12899,18872
Individu - clientèle de l`assistance sociale,Personne handicapée,Oui,13434,19556,21527,33096
Individu - clientèle de l`assistance sociale,Personne handicapée,Non,59317,79703,98432,141858
Individu - clientèle de l`assistance sociale,Autochtone,Oui,1148,1556,1975,2813
Individu - clientèle de l`assistance sociale,Autochtone,Non,70064,95368,115865,169159
Individu - clientèle de l`assistance sociale,Autochtone,Inconnu,1202,1612,2119,2982
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né au Canada,56111,76234,93504,135308
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,7160,9895,11700,18269
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,9201,12662,14739,21361
Individu - clientèle de l`assistance sociale,Lieu de naissance,Inconnu,6,6,16,16
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale et assurance-emploi,5253,8097,7740,12062
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale et admis. assurance-emploi,25791,34386,43901,60869
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale seulement,43536,60908,68318,102023
