clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assistance sociale,Région,01 - Bas-Saint-Laurent,1823,2484,3404,4890
Individu - clientèle de l`assistance sociale,Région,02 - Saguenay - Lac-St-Jean,3585,4870,7363,10546
Individu - clientèle de l`assistance sociale,Région,03 - Capitale-Nationale,6867,8832,11750,16108
Individu - clientèle de l`assistance sociale,Région,04 - Mauricie,3822,5056,7182,10250
Individu - clientèle de l`assistance sociale,Région,05 - Estrie,3949,5240,6642,9607
Individu - clientèle de l`assistance sociale,Région,06 - Île-de-Montréal,25227,33372,40986,57746
Individu - clientèle de l`assistance sociale,Région,07 - Outaouais,5183,6563,8976,12219
Individu - clientèle de l`assistance sociale,Région,08 - Abitibi-Témiscamingue,1718,2653,2760,4790
Individu - clientèle de l`assistance sociale,Région,09 - Côte-Nord,1001,1344,2034,2723
Individu - clientèle de l`assistance sociale,Région,10 - Nord-du-Québec,214,274,427,580
Individu - clientèle de l`assistance sociale,Région,11 - Gaspésie - Îles-de-la-Madeleine,1622,2212,2977,4446
Individu - clientèle de l`assistance sociale,Région,12 - Chaudière-Appalaches,3434,4360,5311,7303
Individu - clientèle de l`assistance sociale,Région,13 - Laval,4092,5215,6903,9227
Individu - clientèle de l`assistance sociale,Région,14 - Lanaudière,5442,7296,8496,12566
Individu - clientèle de l`assistance sociale,Région,15 - Laurentides,6652,8438,13768,18235
Individu - clientèle de l`assistance sociale,Région,16 - Montérégie,15838,19036,24605,31810
Individu - clientèle de l`assistance sociale,Région,17 - Centre-du-Québec,2583,3625,4489,7103
Individu - clientèle de l`assistance sociale,Sexe,Femme,40603,52461,70093,98949
Individu - clientèle de l`assistance sociale,Sexe,Homme,51391,66005,87980,121200
Individu - clientèle de l`assistance sociale,Groupe d'âge,Moins de 20 ans,5356,8665,9638,15327
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 20 à 24 ans,14900,21119,26512,39692
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 25 à 29 ans,13833,18466,24037,33298
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 30 à 34 ans,12742,17091,21695,30031
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 35 à 39 ans,11843,15675,19833,27156
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 40 à 44 ans,9910,13012,16119,22051
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 45 à 49 ans,8784,11446,13913,18767
Individu - clientèle de l`assistance sociale,Groupe d'âge,De 50 à 54 ans,8766,11011,13852,18077
Individu - clientèle de l`assistance sociale,Groupe d'âge,55 ans et plus,7863,9508,12474,15750
Individu - clientèle de l`assistance sociale,Groupe d'âge,35 ans et moins,48303,64320,86159,124201
Individu - clientèle de l`assistance sociale,Groupe d'âge,36 ans et plus,43964,55066,71914,95948
Individu - clientèle de l`assistance sociale,Famille monoparentale,Oui,12882,16434,22041,30772
Individu - clientèle de l`assistance sociale,Famille monoparentale,Non,79592,102907,135994,189294
Individu - clientèle de l`assistance sociale,Famille monoparentale,Inconnue,38,83,38,83
Individu - clientèle de l`assistance sociale,Scolarité,Primaire,5341,7030,8752,12585
Individu - clientèle de l`assistance sociale,Scolarité,Secondaire I à IV,39643,50909,67471,94152
Individu - clientèle de l`assistance sociale,Scolarité,Secondaire V,23792,30422,40282,54790
Individu - clientèle de l`assistance sociale,Scolarité,Collégial,8045,10520,14044,19348
Individu - clientèle de l`assistance sociale,Scolarité,Universitaire,9016,11864,16165,22574
Individu - clientèle de l`assistance sociale,Scolarité,Inconnue,7656,10791,11359,16700
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Aucun diplôme,50106,64317,84585,118022
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - DES,13099,17038,22251,30728
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - DEP,8289,10566,14451,19429
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Secondaire - ASP,707,885,1183,1610
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - AEC,1698,2208,2925,3994
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - DEC général,1916,2546,3382,4714
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Collégial - DEC professionnel,2832,3658,5093,6944
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Certificat,578,769,1029,1407
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Baccalauréat,2301,3061,4083,5806
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,737,1017,1329,1908
Individu - clientèle de l`assistance sociale,Diplôme maximum obtenu,Inconnu,11413,15721,17762,25587
Individu - clientèle de l`assistance sociale,Personne handicapée,Oui,13259,18692,21788,32481
Individu - clientèle de l`assistance sociale,Personne handicapée,Non,79120,100503,136285,187668
Individu - clientèle de l`assistance sociale,Autochtone,Oui,1256,1539,2165,2901
Individu - clientèle de l`assistance sociale,Autochtone,Non,89648,115445,154007,214404
Individu - clientèle de l`assistance sociale,Autochtone,Inconnu,1090,1482,1901,2844
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né au Canada,71296,91723,122451,170074
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né hors Canada : arrivé depuis moins de 5 ans,8190,11160,15099,22386
Individu - clientèle de l`assistance sociale,Lieu de naissance,Né hors Canada : arrivé depuis 5 ans et plus,12589,15944,20514,27680
Individu - clientèle de l`assistance sociale,Lieu de naissance,Inconnu,6,6,9,9
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale et assurance-emploi,8846,11857,13800,18937
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale et admis. assurance-emploi,24589,32413,42472,58811
Individu - clientèle de l`assistance sociale,Statut au début de la participation,Actif assistance sociale seulement,62284,80576,101801,142401
