VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour janvier 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Montant de ,Numéro de,Description
,commande,,d'approbation,l'engagement,l'entente,
"ANGELY, MARION",1173979,ARIMA CONSEILS INC.,12-janv.-2017,"1364,84",,Concepteur de programme de formation
,1176303,COMITE INTER-E/SES DU MTL METROPOL.,19-janv.-2017,"300,00",,Frais - Adhésion et cotisation
,1173998,CLINIQUE DE MEDECINE INDUSTRIELLE DES LAURENTIDES,12-janv.-2017,"104,99",,Médecin
,1177748,,25-janv.-2017,"104,99",,Médecin
,1177788,CYCLONE SANTE INC.,25-janv.-2017,"839,90",,Médecin
,1172423,ECOLE DE TECHNOLOGIE SUPERIEURE,05-janv.-2017,"899,74",,Formation en développement interpersonnel / relationnel
,1172151,EDUMICRO INC.,04-janv.-2017,"815,75",,Formation en informatique
,1150639,ENVELOPPE LAURENTIDE INC,05-janv.-2017,"26,25",,Frais de transport
,1175010,GROUPE LE CORRE ET ASSOCIES INC.,16-janv.-2017,"624,68",,Formation en développement interpersonnel / relationnel
,1174987,L'EMPREINTE IMPRIMERIE INC.,16-janv.-2017,"17,85",,Service - Impression
,1177739,SPB PSYCHOLOGIE ORGANISATIONNELLE,25-janv.-2017,"1548,57",,Conseiller en relation de travail
,1177421,TAXI-CHARGE.,24-janv.-2017,"524,94",,Service - Taxi
"BAUDIN, CYRIL",1178572,ENTREPRISES FORLINI-DIVISION,27-janv.-2017,"88,19",,Vêtement de travail
,1178884,FASTENAL CANADA LTEE,30-janv.-2017,"224,85",,Accessoire et pièce de remplacement pour outil
,1178668,HERCULES SLR INC,27-janv.-2017,"314,66",,"Corde, chaîne et câble"
,1178663,REAL HUOT INC.,27-janv.-2017,"375,96",,Produit de branchement
,1161379,TECH-MIX,17-janv.-2017,"3788,11",1157776,"Asphalte, bitume"
