VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour janvier 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Numéro de,Montant de ,Description
,commande,,d'approbation,l'entente,l'engagement,
"ANGELY, MARION",1185387,"BLANCHETTE, MELANIE",27-févr.-2017,,"881,36",Service - Formation en santé et sécurité
,1180651,CLINIQUE DE MED. IND. ET PREVENTIVE DU QC INC.,06-févr.-2017,,"4 199,50",Conseiller en santé et sécurité
,1181655,CYCLONE SANTE INC.,09-févr.-2017,,"839,90",Médecin
,1182662,GAZTEK INC,14-févr.-2017,,"461,94",Pompe manuelle
,1183948,L'EMPREINTE IMPRIMERIE INC.,20-févr.-2017,,"18,85",Service - Impression
,1183953,LES EDITIONS YVON BLAIS INC,20-févr.-2017,,"132,00","Guide, brochure et affiche"
,1185181,LES SERVICES DE COURRIER CHAMPION INC.,24-févr.-2017,,"209,97","Service - Postal, messagerie"
,1185177,MAUREEN FLYNN ARBITRE & MEDIATRICE S.A.,24-févr.-2017,,"181,10",Avocat
"BAUDIN, CYRIL",1179642,ACKLANDS - GRAINGER INC.,01-févr.-2017,,"500,91",Fournitures et matériel médical
,,,01-févr.-2017,,"566,39","Pile, batterie"
,,,01-févr.-2017,,"14,80",Accessoire et fourniture de peinture
,,,01-févr.-2017,,"87,89",Outil électrique
,,,01-févr.-2017,,"19,70","Huile, graisse et lubrifiant"
,,,01-févr.-2017,,"66,65",Accessoires de portes et fenêtres
,1179622,BATTERIES DIXON INC.,01-févr.-2017,,"66,14","Pile, batterie"
,1179632,DISTRIBUTION SPORTS LOISIRS G.P. INC.,01-févr.-2017,,"2 916,97",Équipement et fourniture pour terrain de jeux
,,,07-févr.-2017,,"650,30",Accessoire de sport
,1180916,ENTREPRISES FORLINI-DIVISION,07-févr.-2017,,"113,39",Équipement de protection
,,,07-févr.-2017,,"251,97",Accessoire et pièce de remplacement pour outil
,1184313,,21-févr.-2017,,"440,32",Bottes thermiques
,1180922,EQUIPEMENTS E.S.F. INC.,07-févr.-2017,,"289,62",Accessoire et pièce de remplacement pour outil
,1179641,HILTI CANADA LTEE,01-févr.-2017,,"1 487,07",Batteries
,1179667,JEAN GUGLIA & FILS ENR.,01-févr.-2017,,"2 577,13",Accessoire et pièce de remplacement pour outil
,1185379,MDA ENVIRONNEMENT,27-févr.-2017,,"451,17",Réparation des poubelles
,1179384,PRODUITS SANY,01-févr.-2017,,"115,28",Produit d'entretien ménager
,1179627,PSP ARGENTINO,01-févr.-2017,,"373,76",Fournitures et matériel médical
,1180851,SECURITE LANDRY INC,07-févr.-2017,,"748,65",Accessoire et pièce de remplacement pour outil
,1182292,STE INTERNATIONALE D'ARBORICULTURE QC INC.,13-févr.-2017,,"479,82",Frais - Adhésion
,1180909,TECHNOFLEX,07-févr.-2017,,"519,69",Tapis amovible
,1179673,UNIVERSAL FIELD SUPPLIES,01-févr.-2017,,"167,64",Accessoire et pièce de remplacement pour outil
"BOUTIN, PIERRE",1174446,9499237 CANADA INC.,03-févr.-2017,,"13 015,30",Service - Remorquage opération de déneigement 16-17
,1180926,ASPHALTE SAINT-PATRICK INC,22-févr.-2017,,"3 517,82","Asphalte, bitume"
,1171790,REMORQUAGE BL,03-févr.-2017,,"10 582,74",Service - Remorquage opération de déneigement 16-17
,1178615,REMORQUAGE BURSTALL CONRAD,06-févr.-2017,,"22 047,37",Service - Remorquage pour l'année 2017
,1180970,ROGERS COMMUNICATIONS CANADA INC.,07-févr.-2017,1137408,"12 598,50",Frais cellulaires pour l'année 2017
,1185116,TRANSPORT MOTTILLO ET FILS INC.,24-févr.-2017,,"22 467,32",Tuyau d'aqueduc
"CARRIER, RAYMOND",1183681,7322046 CANADA INCORPORATED,17-févr.-2017,,"9 251,49",Support annuel de logiciel
,1182414,BONSOUND INC,13-févr.-2017,,"1 574,81",Service - Artiste musical
,1180671,CABANE THEATRE,06-févr.-2017,,"1 200,00",Service - Artiste de la scène
,1179479,CENTRE DE RECHERCHE EN ART CLOWNESQUE,01-févr.-2017,,"1 994,76",Service - Artiste de la scène
,1180668,CHARLES BOIVIN,06-févr.-2017,,"398,95",Réparation/Entretien - Équipement de scène
,1182601,,14-févr.-2017,,"1 049,87",Réparation/Entretien - Matériel artistique
"CARRIER, RAYMOND",1182409,COMPAGNIE FLAK,13-févr.-2017,,"3 149,62",Service - Artiste de la scène
,1180976,EDITH GROSSE,07-févr.-2017,,"240,00",Service - Artiste de la scène
,1179485,ESTELA LOPEZ SOLIS,01-févr.-2017,,"1 600,00",Service - Artiste visuel
,1184324,GUILLAUME MARTINEAU,21-févr.-2017,,"966,93",Service - Artiste musical
,1180979,HELENE LAFORCE,07-févr.-2017,,"280,00",Service - Artiste littéraire
,1179486,IMPRUDANSES,01-févr.-2017,,"1 800,00",Service - Artiste de la scène
,1180672,INSTINCT MUSIQUE INC.,06-févr.-2017,,"1 837,28",Service - Artiste musical
,1182408,JACINTHE THIBAULT,13-févr.-2017,,"1 506,00",Service - Artiste musical
,1183893,JEUNESSE BENNY,20-févr.-2017,,"6 299,25",Service - Organisation d'activités sportives
,1184210,JEUNESSES MUSICALES CANADA,21-févr.-2017,,"209,97",Service - Artiste musical
,1185033,LA COMPAGNIE ROBERT BURY LTEE,24-févr.-2017,,"2 100,36",Bois de construction
,1185138,LA QUINCAILLERIE DELORIMIER INC.,24-févr.-2017,,"507,92","Huile, graisse et lubrifiant"
,1179477,LATITUDE 45/ ARTS PROMOTION INC.,01-févr.-2017,,"1 889,77",Service - Artiste musical
,1182600,LES CHEMINS ERRANTS,14-févr.-2017,,"1 300,00",Service - Artiste de la scène
,1181648,LES DRAPERIES DE L'EST MICHEL LESSARD,09-févr.-2017,,"315,80",Accessoire et fourniture de décoration
,1183971,LES PRODUCTIONS DE MA RUE,20-févr.-2017,,"1 500,00",Service - Artiste musical
,1182416,LES SCIENTIFINES,13-févr.-2017,,"155,00",Service - Organisation de concours
,1182421,L'ILLUSION THEATRE DE MARIONNETTES,13-févr.-2017,,"1 290,30",Service - Artiste de la scène
,1183933,LOISIRS SPORTIFS CDN – NDG,20-févr.-2017,,"6 235,21",Service - Organisation de festivals et spectacles
,1179488,MARIE-JOSEE SIMARD,01-févr.-2017,,"2 000,00",Service - Artiste de la scène
,1182411,MARTIN KARLICEK,13-févr.-2017,,"1 000,00",Service - Artiste musical
,1180980,MEIKLE MUSIK,07-févr.-2017,,"150,00",Service - Artiste musical
,1181650,MUSEE DE LA NATURE ET DES SCIENCES,09-févr.-2017,,"0,00",Service - Artiste visuel
,1182412,RANDOLPH PUB LUDIQUE INC.,13-févr.-2017,,"159,80",Service - Artiste littéraire
,1180977,RYTHME DU BAOBAB,07-févr.-2017,,"314,96",Service - Artiste littéraire
,1170740,SOLOTECH INC,16-févr.-2017,,"31,50",Frais de transport
,1181198,,07-févr.-2017,,"193,55",Réparation/Entretien - Appareil électronique
,1181207,,07-févr.-2017,,"213,02",Réparation/Entretien - Ordinateur et accessoire
,1183955,STEPHANE TETREAULT,20-févr.-2017,,"2 624,69",Service - Artiste musical
,1179480,SYLVIE DESGROSEILLIERS,01-févr.-2017,,"2 309,72",Service - Artiste musical
,1180674,TALLEEN HACIKYAN,06-févr.-2017,,"275,00",Service - Artiste de la scène
,1181649,YANNICK BROSSEAU,09-févr.-2017,,"1 500,00",Service - Artiste visuel
"DESJARDINS, STEVE",1184209,9184-3326 QUÉBEC INC.,21-févr.-2017,,"524,94",Service - Impression
,1181402,C.P.U. DESIGN INC.,08-févr.-2017,,"165,88",Ordinateur et accessoire
,1179439,ELISABETH OLIGNY,01-févr.-2017,,"972,13",Service - Gestion de la documentation/Archivage
,1181644,,09-févr.-2017,,"3 074,00",Service - Gestion de la documentation/Archivage
,1180679,L'EMPREINTE IMPRIMERIE INC.,06-févr.-2017,,"1 049,87",Service - Impression
,1184211,MONTREAL STENCIL INC,21-févr.-2017,,"314,96","Article, accessoire et équipement de bureau"
,1184779,MP REPRODUCTIONS INC.,23-févr.-2017,926254,"4 999,50",Service - Numérisation de documents
,1179440,"PAQUETTE & ASSOCIES, HUISSIERS DE JUSTICE",01-févr.-2017,,"1 574,81",Huissier de justice
,1181676,ROGERS AT&T***,09-févr.-2017,,"2 099,75",Service - Téléphonie cellulaire 2017
,1181651,UNIVERSITE DE MONTREAL,09-févr.-2017,,"475,00",Vétérinaire
"DUPLANTIE, S.-ANNE",1183493,CUISINE-ATOUT ENTREPRISE D'INSERTION,16-févr.-2017,,"249,25",Service - Traiteur
,1180676,ECOLE NATIONALE D'ADMINISTRATION PUBLIQUE,06-févr.-2017,,"2 210,00",Formation en développement technique
,1182406,IMPRIMERIE MULTI-FORMAT,13-févr.-2017,,"241,47",Service - Production multimédia
,1183896,J. VAILLANCOURT & FILS INC.,20-févr.-2017,,"1 616,81","Service - Infographie, graphisme"
,1183862,OMBRAGES,20-févr.-2017,,"7 963,30",Ingénieur électrique
,1181682,ROGERS AT&T***,09-févr.-2017,,"1 049,87",Service - Téléphonie cellulaire 2017
,1182407,TAXELCO INC.,13-févr.-2017,,"629,92",Frais - Taxi 2017
,1182999,ZESTE DU MONDE,15-févr.-2017,,"570,34",Service - Traiteur
"FRAPPIER, GENEVIEVE",1183885,COMMISSION SCOLAIRE DE MONTREAL,20-févr.-2017,,"2 206,84","Matériel pour loisir, jeu"
,1182602,IMAGINEO INC.,14-févr.-2017,,"687,67","Service - Installation, gestion, entretien"
,1184208,LES INSTALLATIONS SPORTIVES AGORA,21-févr.-2017,,"267,72","Réparation/Entretien - Équip. de sport, terrain de jeux"
,1179812,PRODUITS SANY,01-févr.-2017,1048199,"377,37",Produit et équipement d'entretien
,1180800,,06-févr.-2017,1048199,"108,14","Produit de papier, papier hygiénique"
,1184360,SERVICES FINANCIERS MODSPACE CANADA,21-févr.-2017,,"2 853,98",Location - Bureau mobile
"GAUDREAULT, SONIA",1185359,ASS. QUEBECOISE DES ARENAS ET DES INSTAL. RECREATIVES ET SPORTIVES INC.,27-févr.-2017,,"320,21",Frais - Adhésion et cotisation
,1181208,AUVITEC LTEE,07-févr.-2017,,"4 516,56",Location - Équipement d'éclairage et de sonorisation
,1181403,GASTON GINGRAS,08-févr.-2017,,"787,41","Service - Animation, entraînement"
,1182599,LOCATION SAUVAGEAU INC.,14-févr.-2017,,"9 285,09",Location - Automobile
,1100832,UBA INC.,03-févr.-2017,,"6,12",Traitement de l'eau
"GENDRON, DENIS",1184496,CENTRE PATRONAL DE SST DU QUEBEC,22-févr.-2017,,"43,39",Service - Formation en santé et sécurité
,1168346,ENGLOBE CORP.,07-févr.-2017,,"419,95",Conseiller - Protection et contrôle de la qualité du sol
,1182205,LES CONSTRUCTIONS ARGOZY INC.,10-févr.-2017,,"4 566,96",Entrepreneur en structures de béton
,1183765,LES PORTES EXPERT-MATIK INC.,17-févr.-2017,,"1 044,63","Système de contrôle, de surveillance et d'incendie"
,1180478,MP REPRODUCTIONS INC.,03-févr.-2017,,"1 027,61",Service - Numérisation de documents
,1181692,ROGERS AT&T***,09-févr.-2017,,"1 574,81",Service - Téléphonie cellulaire pour 2017
,1181694,,09-févr.-2017,,"1 574,81",Service - Téléphonie cellulaire pour 2017
,1181136,RSARCHITECTURE INC.,07-févr.-2017,,"4 643,12",Architecte
"HOOPER, CHANTAL",1183368,ACKLANDS - GRAINGER INC.,16-févr.-2017,,"143,79",Valise à mousse
,1184368,,21-févr.-2017,,"316,57",Outil manuel
,1184298,ASS. PARITAIRE S&S AFFAIRES MUNIC.,21-févr.-2017,,"170,94",Service - Formation en santé et sécurité
,1183724,"BEAUCHAMP, BABIN ET ASS. INC.",24-févr.-2017,,"558,53",Service - Inspection de conduites
,1182800,CREUSAGE RL,14-févr.-2017,,"345,36",Service - Enfouissement
,1182126,ENTREPRISES FORLINI-DIVISION,10-févr.-2017,,"75,59",Bottes de sécurité
,1182472,,13-févr.-2017,,"94,49",Vêtement de travail
,1183261,GAZTEK INC,16-févr.-2017,,"94,49",Accessoire et pièce de remplacement pour équipement
,1182940,GESTION P. VENNE INC. - CANADIAN TIRE,16-févr.-2017,,"147,23",Outil manuel
,1183689,GROUPE SDM INC,17-févr.-2017,,"747,51",Service - Déglaçage et nettoyage de conduites
,1184376,LA MAISON DU PEINTRE,21-févr.-2017,,"31,54",Accessoire et fourniture de peinture
,1184378,LEE VALLEY TOOLS LTD.,21-févr.-2017,,"39,27",Attache-câble
,1184287,LINDE CANADA LIMITEE,21-févr.-2017,,"377,83",Gants
,1171812,MULTI-PRESSIONS L.C. INC.,27-févr.-2017,,"582,10",Réparation/Entretien -Équipement de construction
"HOOPER, CHANTAL",1183990,NORTRAX QUEBEC INC.,20-févr.-2017,,"1 293,53",Réparation/Entretien - Véhicule lourd
,,,21-févr.-2017,,"1 293,53",Réparation/Entretien - Véhicule lourd
,1182317,PRODUITS SANY,13-févr.-2017,1048199,"225,20",Produit et équipement d'entretien
,1185217,PUROLATOR COURRIER LTEE,24-févr.-2017,,"26,05","Service - Postal, messagerie"
,1184302,QUINCAILLERIE NOTRE-DAME DE ST-HENRI,21-févr.-2017,,"132,18",Accessoires de portes et fenêtres
,1184380,SCIAGE DE BETON 2000 INC.,24-févr.-2017,,"3 034,13",Location - Outil manuel
,1135757,SECURITE LANDRY INC,24-févr.-2017,,"748,12",Équipement contre les chutes
,1185212,,24-févr.-2017,,"279,22",Accessoire et pièce de remplacement pour outil
,1183993,SERVICES MATREC INC.,22-févr.-2017,1016984,"93,96",Location - Toilette chimique
,,,20-févr.-2017,1016984,"814,67",Location - Toilette chimique
,1181337,SOCIETE EN COMMANDITE STRONGCO,08-févr.-2017,,"296,09",Réparation/Entretien - Appareil automobile spécialisé
,1182558,STELEM,13-févr.-2017,,"1 501,32",Accessoire et pièce de remplacement pour outil
,1183258,,16-févr.-2017,,"278,22",Puisard et chambre de vanne
,1178349,SUPERIEUR PROPANE,13-févr.-2017,,"524,94","Carburant (essence, diesel, kérosène)"
,1184603,SYSTEMES CANADIEN KRONOS INC,22-févr.-2017,,"429,70",Service - Soutien informatique
,1185223,TECH VAC ENVIRONNEMENT INC.,24-févr.-2017,,"1 501,32",Service - Enfouissement
,1182394,U. CAYOUETTE INC.,13-févr.-2017,,"486,98",Scellant à plancher
,1184352,UNIVERSAL FIELD SUPPLIES,21-févr.-2017,,"240,63",Vêtement de travail
,1185214,VERMEER CANADA INC.,24-févr.-2017,,"474,61",Accessoire et pièce de remplacement pour outil
"PLANTE, STÉPHANE",1177759,AMIS DE LA MONTAGNE (LES),08-févr.-2017,,"54,29",Service - Traiteur
,1181200,"DUPLANTIE, SYLVIA-ANNE",07-févr.-2017,,"1 005,16",Frais - Dépenses de fonction
,1181090,ILE SANS FIL,13-févr.-2017,,"8 059,68",Service - Accès internet
,1180585,LOCATION D'AUTOS ET CAMIONS DISCOUNT,06-févr.-2017,,"277,62",Location fourgonnette
,1181695,ROGERS AT&T***,09-févr.-2017,,"892,39",Service - Téléphonie cellulaire 2017
,1183769,TRANSELEC / COMMON INC.,17-févr.-2017,,"1 254,92",Signalisation routière
,1184419,VINACOUSTIK INC.,21-févr.-2017,,"24 999,62",Études de bruit
"REEVES, GENEVIÈVE",1183481,ALERTE COURRIER P.M.E.,16-févr.-2017,,"209,97","Service - Postal, messagerie"
,1180678,LES TRADUCTIONS TERRY KNOWLES INC.,06-févr.-2017,,"2 624,69",Service de traduction
,1181693,ROGERS AT&T***,09-févr.-2017,,"1 574,81",Service - Téléphonie cellulaire 2017
,1183492,SHERBROOKE-VALOIS INC.,16-févr.-2017,,"2 099,75",Service - Placement média d'avis public 2017
,1183482,THE SUBURBAN NEWSPAPER,16-févr.-2017,,"8 399,00",Service - Placement média d'avis public 2017
"THERRIEN, MICHEL",1180582,BOUTY INC,06-févr.-2017,1013950,"357,42",Chaise et fauteuil ergonomique
,1109615,CENTRE DE SERVICES PARTAGES DU QC,03-févr.-2017,,"113,63",Service - Téléphonie cellulaire
,1184004,CNW-TELBEC INC,20-févr.-2017,,"209,97",Service - Placement média
,1184519,CONFIDENTIEL DECHIQUETAGE DE DOC.,22-févr.-2017,,"209,97",Service - Destruction de documents
,1181112,C.P.U. DESIGN INC.,07-févr.-2017,,"278,22",Composante électronique
,1183437,,16-févr.-2017,,"419,95",Composante électronique
,1181223,ENSEIGNES DUMAS,07-févr.-2017,,"9 897,17",Plaque
,1184107,IMPRIME-EMPLOI,20-févr.-2017,,"755,91",Service - Impression
,1178284,LE DIPLOMATE AUDIOVISUEL,07-févr.-2017,,"1 127,30",Location - Équipement d'éclairage et de sonorisation
,1184094,L'EMPREINTE IMPRIMERIE INC.,20-févr.-2017,,"39,58",Service - Impression
,1179519,LES MORDUS DE LA LANGUE INC.,01-févr.-2017,,"2 099,75","Service - Rédaction, révision"
"THERRIEN, MICHEL",1184260,LOCATION SAUVAGEAU INC.,21-févr.-2017,,"572,51",Location - Automobile
,1182373,MONTREAL STENCIL INC,13-févr.-2017,,"45,59","Article, accessoire et équipement de bureau"
,1184194,,21-févr.-2017,,"140,71","Article, accessoire et équipement de bureau"
,1181702,ROGERS AT&T***,09-févr.-2017,,"1 049,87",Service - Téléphonie cellulaire 2017
,1181659,SERVICES GRAPHIQUES DEUX-MONTAGNES,09-févr.-2017,,"73,49","Service - Infographie, graphisme"
,1180727,TABASKO COMMUNICATIONS INC.,06-févr.-2017,,"15 748,12","Service - Infographie, graphisme pour 2017"
,1178204,TRADUCTIONS TOM DONOVAN INC.,28-févr.-2017,,"10 498,75","Service - Rédaction, révision pour 2017"
"TROTTIER, PASCAL",1180540,C.P.U. DESIGN INC.,06-févr.-2017,,"5 397,15",Imprimante
,1184586,,22-févr.-2017,,"223,10",Réparation/Entretien - Imprimante
,1184122,LOCATION D'AUTOS ET CAMIONS DISCOUNT,20-févr.-2017,,"1 689,62",Location - Automobile
