VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour octobre 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Date ,Nom fournisseur,Numéro de,Montant de ,Description
,commande,d'approbation,,l'entente,l'engagement,
"ANGELY, MARION",1232141,19-oct.-2017,3782646 CANADA INC.,,"1 356,22",Concepteur de programme de formation 
,1229662,27-oct.-2017,ASS. PARITAIRE SANTE & SECURITE AFF. MUN. ,,"1 633,00",Formation en santé et sécurité
,1232848,24-oct.-2017,,,"306,00",Formation en santé et sécurité
,1228575,2-oct.-2017,CYCLONE SANTE INC.,,"1 338,59",Médecin
,1224622,18-oct.-2017,JPDL INTERNATIONAL INC.,,"83,99",Formation en santé et sécurité
"BAUDIN, CYRIL",1233760,27-oct.-2017,AEROCHEM INC.,,"1 833,76","Huile, graisse et lubrifiant"
,1233769,27-oct.-2017,BETONEL,,"186,00",Peinture - résidentielle et industrielle 
,1232832,24-oct.-2017,CENTRE DE TELEPHONE MOBILE LTEE,,"1 104,31",Électronique et circuit électrique
,1176393,17-oct.-2017,ENGLOBE CORP.,1159088,"2 086,63",Traitement/valorisation de matériaux de construction 
,1233302,25-oct.-2017,ENTREPRISES FORLINI-DIVISION,,"157,48",Vêtements de travail 
,1180775,11-oct.-2017,LAVE AUTO 88 INC.,,"1 364,84",Service - Lavage de véhicules 
,1231173,16-oct.-2017,LES PAVAGES CHENAIL INC.,,"5 000,00",Compensation pour annulation d'appel d'offres public 
,1228846,3-oct.-2017,MP REPRODUCTIONS INC.,,"111,58",Service - Impression 
,1230939,13-oct.-2017,PRODUITS SANY,1048199,"204,94",Produits et équipements d'entretien 
,1231360,25-oct.-2017,REVOLUTION ENVIRONMENTAL SOLUTIONS LP,,"1 122,32",Réservoir et contenant de stockage
,1229558,5-oct.-2017,SERVICES DE CONTENEURS ATS INC. (LES),,"3 149,62",Conteneur
,1231048,16-oct.-2017,U. CAYOUETTE INC.,,"230,96",Peinture - résidentielle et industrielle
,1231337,17-oct.-2017,,,"106,96",Poubelle
"BEDARD, LUCIE",1229265,4-oct.-2017,BINETTE SABRAYNA,,"12 858,00",Inspecteur en bâtiment 
,1232921,24-oct.-2017,CUISINE-ATOUT E/SE D'INSERTION INC.,,"194,50",Service - Traiteur 
,1228488,2-oct.-2017,LUNCH INSOLITE,,"243,57",Service - Traiteur 
,1228491,2-oct.-2017,MONTREAL STENCIL INC,,"152,61","Article, accessoire et équipement de bureau "
,1184779,2-oct.-2017,MP REPRODUCTIONS INC.,,"4 999,50",Service - Numérisation de documents 
