VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour juin 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Numéro de,Montant de ,Description
,commande,,d'approbation,l'entente,l'engagement,
"ANGELY, MARION",1197587,APSAM ASSOCIATION PARITAIRE SANTE & SECURITE AFFAIRES MUNICIPALES,29-juin-17,,"2 142,00",Service - Formation en santé et sécurité
,1207408,,09-juin-17,,"1 633,00",Service - Formation en santé et sécurité
,1205923,CYCLONE SANTE INC.,05-juin-17,,"1 259,85",Médecin
,1206709,DENIS PROVENÇAL ARBITRAGE ET MEDIATION,07-juin-17,,"228,35",Conseiller en relation de travail
"BAUDIN, CYRIL",1177981,DEMIX BETON,01-juin-17,,"804,20",Béton
,1211759,ENGLOBE CORP.,28-juin-17,,"4 105,54",Service - Traitement/valorisation de matières organiques
,1207896,PRODUITS SANY,12-juin-17,1048199,"207,67",Produits d'entretien
,1208170,,12-juin-17,,"664,90",Équipements et produit d'entretien
,1211045,"RICCI, TEASDALE HUISSIERS DE JUSTICE INC.",23-juin-17,,"1 049,87",Huissier de justice
,1210048,U. CAYOUETTE INC.,20-juin-17,,"304,26",Accessoire et pièce de remplacement pour outil
"BOUTIN, PIERRE",1205090,COOPERATIVE DE L'UNIVERSITE LAVAL,01-juin-17,1163361,"626,77",Ordinateur et accessoire
,1203428,PEPINIERE A. MUCCI INC.,05-juin-17,1074486,"3 740,18",Terre et terreau
,1212222,TRAFFIC LOGIX,30-juin-17,,"11 438,39",Mobilier pour protection et sécurité
"BROUSSEAU, HELENE",1206941,BOUTY INC,08-juin-17,1013950,"604,02",Chaise et fauteuil ergonomique
"CARRIER, RAYMOND",1208249,BIBLIO RPL LTEE,13-juin-17,,"690,34","Article, accessoire et équipement de bureau"
,1166708,BRAULT & BOUTHILLIER LTEE,21-juin-17,,"48,71","Matériel pour loisir, jeu"
,1209038,,15-juin-17,,"524,94","Papier, article de papeterie"
,1209057,BRODART CANADA COMPAGNY,15-juin-17,,"771,66","Article, accessoire et équipement de bureau"
,1187639,CARR MCLEAN LIMITED,19-juin-17,,"1 477,06","Classeur, étagère et armoire de rangement"
,1208310,,13-juin-17,,"299,85","Papier, article de papeterie"
,1209052,C.P.U. DESIGN INC.,15-juin-17,,"152,23",Appareil électronique
,1205142,CREATIONS ET ATELIERS SWEET ISABELLE,01-juin-17,,"350,00","Service - Formation, animation d'atelier"
,1209069,DUBO ELECTRIQUE LTEE,15-juin-17,,"422,05","Éclairage, lumière"
,1210786,HIPPOLYTE THERMAC,22-juin-17,,"3 110,45",Service - Artiste de la scène
,1210829,,22-juin-17,,"580,30",Service - Artiste de la scène
,1208336,JEAN-FRANCOIS LEBLANC,13-juin-17,,"787,41",Service - Production d'élément d'exposition
,1205771,L'EMPREINTE IMPRIMERIE INC.,05-juin-17,,"227,82",Service - Impression
,1203796,LE MUSEE DU ROCK'N'ROLL,13-juin-17,,"682,42",Service - Artiste visuel
,1206952,LES ARTISANS INDIENS DU QUEBEC,08-juin-17,,"438,09",Équipement de scène
,1205627,LES DISTRIBUTRICES SYBCO LTEE,02-juin-17,,"4 829,42",Machine à café - centre culturel
,1209048,LES EMBALLAGES BOX PACK,15-juin-17,,"677,17",Fourniture d'emballage et d'entreposage
,1208265,MAGASINS BEST BUY LTEE,13-juin-17,,"106,23",Appareil électronique
,1209505,PEAUSEIDON EAU DE SOURCE NATURELLE,16-juin-17,,"250,00",Eau
,1208262,PRINCIPAL STUDIO INC.,13-juin-17,,"300,00","Service - Agence de publicité, promotion"
,1208338,QUINCAILLERIE COTE DES NEIGES,13-juin-17,,"134,30",Isolant thermique et acoustique
,1210334,REPERCUSSION THEATRE,20-juin-17,,"419,95",Location - Génératrice
,1208256,R.M. LEDUC & CIE INC.,13-juin-17,,"629,72","Papier, article de papeterie"
"CARRIER, RAYMOND",1208334,ROULEAUX DE PAPIER & RUBANS J.L. INC.,13-juin-17,,"352,76","Papier, article de papeterie"
,1200359,SERVICES D'IMPRIMERIE AVANTAGES INC.,13-juin-17,,"94,49","Service - Infographie, graphisme"
,1210330,"STE CANADIENNE DES AUTEURS, COMPOSITEURS ET EDITEURS DE MUSIQUE",20-juin-17,,"721,65",Service - Droit d'auteur
,1195845,SOLOTECH INC,14-juin-17,,"575,22","Conduit, raccord et finition"
,1208328,,13-juin-17,,"361,53",Réparation/Entretien - Équipement de scène
,1209030,TECHNO-GESTASS LTEE,15-juin-17,,"520,19","Papier, article de papeterie"
"DESJARDINS, STEVE",1202984,DEMOLIPRO INC.,20-juin-17,,"157,48",Entrepreneur en bâtiments de tout genre
,1184211,MONTREAL STENCIL INC,08-juin-17,,"209,97","Article, accessoire et équipement de bureau"
,1184779,MP REPRODUCTIONS INC.,08-juin-17,926254,"2 624,69",Service - Numérisation de documents
,1181676,ROGERS AT&T***,13-juin-17,,"438,23",Service - Téléphonie cellulaire
,1211949,ROGERS COMMUNICATIONS CANADA INC.,29-juin-17,,"2 099,75",Service - Téléphonie cellulaire
"FRAPPIER, GENEVIEVE",1210962,AQUAM SPECIALISTE AQUATIQUE INC.,22-juin-17,,"448,19",Équipement pour piscine et jeu d'eau
,1211553,,28-juin-17,,"251,55",Équipement pour piscine et jeu d'eau
,1205157,AQUATECHNO SPECIALISTES AQUATIQUES INC.,01-juin-17,,"845,15",Équipement pour piscine et jeu d'eau
,1206653,,07-juin-17,,"809,72",Équipement pour piscine et jeu d'eau
,1206655,,07-juin-17,,"809,72",Équipement pour piscine et jeu d'eau
,1206660,,07-juin-17,,"5 118,14",Équipement pour piscine et jeu d'eau
,1209943,CIRKAZOU INC.,19-juin-17,,"482,94","Service - Formation, animation d'atelier"
,1211235,CONTENEURS EXPERTS S.D. INC.,23-juin-17,,"18 496,96",Réservoir et contenant de stockage
,1211125,FORMATION SERGE LAMARRE INC.,23-juin-17,,"288,72",Service - Formation en santé et sécurité
,1210151,HONEYWELL LTEE,20-juin-17,,"1 394,02",Réparation/Entretien - Appareil et système de climatisation
,1206940,LOCATION BENCH & TABLE INC,08-juin-17,,"807,88",Service - Organisation de festivals et spectacles
,1206948,,08-juin-17,,"807,88",Service - Organisation de festivals et spectacles
,1211567,LOISIRS SPORTIFS CDN – NDG,28-juin-17,,"3 901,41","Service - Animation, entraînement"
,1209041,LUMIPRO INC.,15-juin-17,,"335,96","Service - Installation, gestion, entretien"
,1209845,MORISSET EVENEMENTS INC.,19-juin-17,,"4 225,75",Service - Organisation d'évènement corporatif
,1207067,PRODUITS SANY,08-juin-17,1048199,"556,96",Équipements et produits d'entretien
,1207068,,08-juin-17,1048199,"556,96",Équipements et produits d'entretien
,1208890,,14-juin-17,1048199,"173,34",Équipements et produits d'entretien
,1210342,,20-juin-17,1048199,"708,92",Équipements et produits d'entretien
,1210939,REMORQUAGE AMERICAN AUTO CENTRE,22-juin-17,,"997,38",Service - Remorquage
"GAUDREAULT, SONIA",1205903,ROGERS COMMUNICATIONS CANADA INC.,05-juin-17,,"488,40",Service - Téléphonie
,1183893,JEUNESSE BENNY,16-juin-17,,"7 000,00",Service - Organisation d'activités sportives
"GENDRON, DENIS",1206491,2946-8980 QUEBEC INC.,07-juin-17,,"18 412,71",Frais - Stationnement
