Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Grands_defis_de_societe,Type_de_destinataire,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQSC,,2018-2019,2003-2004,"HEBERT, MARIE-JOSEE",103368,Université de Montréal,CANADA,Québec,Subventions à la diffusion,Portail de diffusion électronique,PDE,Portail de diffusion électronique,PHREZ,220000,0,220000,,Établissement reconnu,"Arts, littérature et société",Modes ou stratégies de diffusion,,Culture,,
FRQSC,,2018-2019,s. o.,"TURECKI, GUSTAVO",137546,Centre de recherche de l'IUSM Douglas,CANADA,Québec,"Projets stratégiques, prix et autres initiatives",Projets stratégiques,PST,Projets stratégiques,PSTZ,40000,0,40000,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",,,,,
FRQSC,,2018-2019,2013-2014,"BROCHU, SERGE",172085,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Instituts universitaires,SI1,270000,0,270000,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Toxicomanie,Services sociaux spécifiques (clientèles),Populations,Gestion du système de santé ,addictions // intégration des services // épidémiologie // trajectoires // modélisation // outils
FRQSC,,2018-2019,2013-2014,"TARABULSY, GEORGE",172449,CIUSSS de la Capitale-Nationale,CANADA,Québec,Subventions d'infrastructure,Soutien aux infrastructures de recherche,SI,Soutien aux infrastructures de recherche / Instituts universitaires,SI1,269840,0,269840,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Services à l'enfance et à la famille ,Rapports parent-enfant ,Structures organisationnelles,,Maltraitance/négligence // Troubles de comportement // Relations parents-enfant // Développement des connaissances // Évaluation de programmes d'intervention // Transfert et diffusion de connaissances
FRQSC,,2018-2019,2013-2014,"BOURGEOIS, ANNIE",175309,Université de Sherbrooke,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2Z,13333,0,13333,,Titulaire,"Cultures, religions et civilisations",Dynamique religieuse,,Culture,,Religions // Spiritualités // Prisons // Détenus // Yoga // Méditation
FRQSC,,2018-2019,2014-2015,"PERRON, BENOIT",178536,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,212500,0,212500,,Établissement reconnu,"Économie, emploi et marchés",Économétrie,Modélisation,Politiques économiques,Croissance économique,Économie quantitative // Économétrie // Théorie de la décision // Économie appliquée // Politiques économiques // Économie de l'environnement // Économie environnement // Économie ress. naturelles // Économétrie // Théorie de la décision // Macroéconomie // Économie appliquée // Marchés financiers // Choix social
FRQSC,Cofinancé FRQNT,2018-2019,2014-2015,"COSSETTE, ISABELLE",178580,Université McGill,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,272646,0,272646,,Établissement reconnu,"Médias, communications et information",Composition musicale,Traitement d'autres formes sonores,Culture,Fondements et avancement des connaissances,Multidisciplinary research // Sound analysis and synthesis // Acoustics modeling // Perception and cognition // Music information retrieval // Expanded musical practice // Computer music // Music technology // Surround sound recording // Music composition // Musical acoustics // Neurocognition of music // Digital archiving // Shared reality // Music psychology // Sound synthesis
FRQSC,,2018-2019,2014-2015,"VITARO, FRANK",178735,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,255850,0,255850,,Établissement reconnu,"Développement et fonctionnement des personnes et des communautés, et vie sociale",Violence,Inadaptation scolaire,Populations,Fondements biomédicaux de la santé humaine,développement // psychosocial // enfants // adolescents // prévention // inadaptation // Agressivité // Toxicomanie // Intimidation // Développement // Psychosocial // Enfant // Prévention // Éducation // Suicide // Décrochage scolaire
FRQSC,,2018-2019,2014-2015,"LEFÈVRE, SYLVAIN A.",178766,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,230250,0,230250,,Établissement reconnu,"Nature, transformation et gouvernance de la société et des institutions",Dynamique des transformations sociales,"Contextes idéologiques, politiques, économiques et sociaux des transformations sociales",Structures organisationnelles,Aménagement du territoire,Innovations sociales // Transformations sociales // Politiques // Territoire // Organisations // Travail // Innovations sociales // Régulations sociales // Travail et emploi // Milieux innovateurs // Transformations sociales // Institutionnalisation // Gouvernance // Politiques et pratiques sociales // Collectivités locales // Entreprises collectives
FRQSC,,2018-2019,2014-2015,"VENKATESH, VIVEK",178771,Université Concordia,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques,RG,225750,0,225750,,Établissement reconnu,"Éducation, savoirs et compétences",Modélisation des processus d'apprentissage,Technologies éducatives ,Éducation ,,Educational technology // Applied linguistics // Foundational competencies // Basic cognitive processes // Evidence-based practice // Educational research // Educational research // Educational technology // Applied linguistics // Basic cognitive processes // Evidence-based practice
