NUMEROTATION,TYPE_SOINS,GROUPE_AGE,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
1,Soins physiques et psychiatriques de courte durée,NOUVEAU-NÉ,41624,43486,85111,123378,133900,257279,3.0,3.1,3.0,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
2,Soins physiques et psychiatriques de courte durée,00-04 ANS,15099,20372,35471,57400,73708,131108,3.8,3.6,3.7,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
3,Soins physiques et psychiatriques de courte durée,05-09 ANS,3769,4530,8299,12249,18362,30611,3.2,4.1,3.7,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
4,Soins physiques et psychiatriques de courte durée,10-14 ANS,3789,3965,7754,23168,29586,52754,6.1,7.5,6.8,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
5,Soins physiques et psychiatriques de courte durée,15-19 ANS,8980,6025,15005,53124,62863,115987,5.9,10.4,7.7,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
6,Soins physiques et psychiatriques de courte durée,20-24 ANS,19506,6397,25903,78998,81653,160651,4.0,12.8,6.2,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
7,Soins physiques et psychiatriques de courte durée,25-29 ANS,36698,6224,42922,123705,82948,206653,3.4,13.3,4.8,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
8,Soins physiques et psychiatriques de courte durée,30-34 ANS,41400,7480,48880,142784,98308,241092,3.4,13.1,4.9,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
9,Soins physiques et psychiatriques de courte durée,35-39 ANS,24765,7916,32681,103287,85984,189271,4.2,10.9,5.8,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
10,Soins physiques et psychiatriques de courte durée,40-44 ANS,13678,9175,22853,80517,85141,165658,5.9,9.3,7.2,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2013-04-01 et 2014-03-31, 8 janvier 2015,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
