NUMEROTATION,TYPE_SOINS,GROUPE_AGE,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
1,Soins physiques et psychiatriques de courte durée,NOUVEAU-NÉ,40548,42611,83160,113360,125583,238944,2.8,2.9,2.9,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
2,Soins physiques et psychiatriques de courte durée,00-04 ANS,15655,21177,36832,62179,74974,137153,4.0,3.5,3.7,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
3,Soins physiques et psychiatriques de courte durée,05-09 ANS,3961,4823,8784,13658,17439,31097,3.4,3.6,3.5,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
4,Soins physiques et psychiatriques de courte durée,10-14 ANS,3938,3871,7809,24975,19900,44875,6.3,5.1,5.7,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
5,Soins physiques et psychiatriques de courte durée,15-19 ANS,8277,5513,13790,51296,58249,109545,6.2,10.6,7.9,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
6,Soins physiques et psychiatriques de courte durée,20-24 ANS,18429,6440,24869,75441,76805,152246,4.1,11.9,6.1,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
7,Soins physiques et psychiatriques de courte durée,25-29 ANS,36292,6302,42594,115151,85723,200874,3.2,13.6,4.7,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
8,Soins physiques et psychiatriques de courte durée,30-34 ANS,40035,7456,47491,137460,88797,226257,3.4,11.9,4.8,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
9,Soins physiques et psychiatriques de courte durée,35-39 ANS,26200,8360,34560,109654,105624,215278,4.2,12.6,6.2,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
10,Soins physiques et psychiatriques de courte durée,40-44 ANS,13800,9135,22935,76741,89185,165926,5.6,9.8,7.2,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
