NUMEROTATION,TYPE_DE_SOINS,GROUPE_AGE,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM ,SEJ_MOY-MASC ,SEJ_MOY-TOT ,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
1,"Soins physiques et psychiatriques de courte durée","NOUVEAU-NÉ",37126,38962,76089,91877,106051,197929,2.5,2.7,2.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
2,"Soins physiques et psychiatriques de courte durée","00-04 ANS",15729,20988,36719,58188,79092,137303,3.7,3.8,3.7,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
3,"Soins physiques et psychiatriques de courte durée","05-09 ANS",3296,4219,7515,9987,14631,24618,3.0,3.5,3.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
4,"Soins physiques et psychiatriques de courte durée","10-14 ANS",4301,3661,7962,30169,18726,48895,7.0,5.1,6.1,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
5,"Soins physiques et psychiatriques de courte durée","15-19 ANS",7088,4779,11867,41396,48831,90227,5.8,10.2,7.6,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
6,"Soins physiques et psychiatriques de courte durée","20-24 ANS",13204,5001,18205,51703,79382,131085,3.9,15.9,7.2,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
7,"Soins physiques et psychiatriques de courte durée","25-29 ANS",31455,6440,37895,96049,88953,185002,3.1,13.8,4.9,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
8,"Soins physiques et psychiatriques de courte durée","30-34 ANS",38540,7292,45832,121281,83041,204322,3.1,11.4,4.5,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
9,"Soins physiques et psychiatriques de courte durée","35-39 ANS",23641,7860,31501,97810,89414,187224,4.1,11.4,5.9,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
10,"Soins physiques et psychiatriques de courte durée","40-44 ANS",13532,9165,22697,68145,97842,165987,5.0,10.7,7.3,"Titre du rapport « S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement.","Nouveau-né : Un enfant né à l'installation ou admis dans les 24 heures suivant sa naissance à l'exclusion des cas de transferts inter-hospitaliers."
