NUMEROTATION,TYPE_SOINS,GROUPE_AGE,NOMBRE_DEPARTS-FEM,NOMBRE_DEPARTS-MASC,NOMBRE_DEPARTS-TOT,SEJ_TOT-FEM,SEJ_TOT-MASC,SEJ_TOT-TOTAL,SEJ_MOY-FEM,SEJ_MOY-MASC,SEJ_MOY-TOT,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2
1,Soins physiques et psychiatriques de courte durée,NOUVEAU-NÉ,40925,42664,83589,119821,127410,247231,2.9,3.0,3.0,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
2,Soins physiques et psychiatriques de courte durée,00-04 ANS,15371,20410,35781,55302,72431,127733,3.6,3.5,3.6,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
3,Soins physiques et psychiatriques de courte durée,05-09 ANS,3757,4543,8300,11992,18116,30108,3.2,4.0,3.6,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
4,Soins physiques et psychiatriques de courte durée,10-14 ANS,3787,3635,7422,22160,21164,43324,5.9,5.8,5.8,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
5,Soins physiques et psychiatriques de courte durée,15-19 ANS,8419,5744,14163,52732,47957,100689,6.3,8.3,7.1,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
6,Soins physiques et psychiatriques de courte durée,20-24 ANS,18894,6329,25223,70078,87309,157387,3.7,13.8,6.2,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
7,Soins physiques et psychiatriques de courte durée,25-29 ANS,35903,6298,42201,117357,91737,209094,3.3,14.6,5.0,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
8,Soins physiques et psychiatriques de courte durée,30-34 ANS,40565,7345,47910,134281,82537,216818,3.3,11.2,4.5,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
9,Soins physiques et psychiatriques de courte durée,35-39 ANS,25125,8366,33491,101524,83980,185504,4.0,10.0,5.5,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
10,Soins physiques et psychiatriques de courte durée,40-44 ANS,13671,8822,22493,76396,76899,153295,5.6,8.7,6.8,S04 - Sommaire des départs et des jours d'hospitalisation selon le groupe d'âge et le sexe,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016,"LES DONNÉES AVEC SEXE ""INDÉTERMINÉ"" SONT INCLUSES DANS LES TOTAUX SEULEMENT",NOUVEAU-NÉ : UN ENFANT NÉ À L'INSTALLATION OU ADMIS DANS LES 24 HEURES SUIVANT SA NAISSANCE À L'EXCLUSION DES CAS DE TRANSFERTS INTER-HOSPITALIERS
