OBJECTID_1,NOM_BUR_UG,ADRESSE,VILLE,TELEPHONE,SERVICE_PU,TY_BUREAU,NO_UG_RESP,DATE_PUBLI
"1",BAS-SAINT-LAURENT,"92, 2e Rue Ouest, bureau 207",Rimouski,418 727-3710,O,UG,"012",2023/04/01 00:00:00
"2",GRAND-PORTAGE,"186, rue Fraser",Rivière-du-Loup,418 862-8213,O,UG,"011",2023/04/01 00:00:00
"3",BAS-SAINT-LAURENT,"26, boul. Saint-Benoit Ouest, bureau 200",Amqui,418 629-3068,O,BL,"012",2023/04/01 00:00:00
"4",HAUTE-GATINEAU-CABONGA,"266, rue Notre-Dame, RC 100",Maniwaki,819 449-3333,O,UG,"073,074",2023/04/01 00:00:00
"5",BASSE-LIEVRE,"16, impasse de la Gare-Talon, RC 100",Gatineau,819 246-4827,O,UG,"072",2023/04/01 00:00:00
"6",COULONGE,"163, chemin de la Chute",Mansfield,819 683-2626,O,UG,"071",2023/04/01 00:00:00
"7",MANICOUAGAN-OUTARDES,"1290, boul. Laflèche",Baie-Comeau,418 295-4567,O,UG,"093",2023/04/01 00:00:00
"8",ESCOUMINS-FORESTVILLE,"8, rue des Pilotes",Les Escoumins,418 233-2232,O,UG,"097",2023/04/01 00:00:00
"9","SEPT-ILES, HAVRE-SAINT-PIERRE et  ANTICOSTI","456, avenue Arnaud, bur. 1.03",Sept-Îles,418 964-8300,O,UG,"094",2023/04/01 00:00:00
"10",ESCOUMINS-FORESTVILLE,"134, route 138 Est, R.C. 04",Forestville,418-587-4445,O,UG,"097",2023/04/01 00:00:00
"11",LANAUDIÈRE,"150, rue Saint-Michel",Sainte-Émélie-de-l'Énergie,450 886-0916,O,UG,"141",2023/04/01 00:00:00
"12",ESTRIE-SHERBROOKE,"200, rue Belvédère Nord, bureau 1.05",Sherbrooke,819 820-3190,O,UG,"051",2023/04/01 00:00:00
"13",MONT-TREMBLANT,"289, route 117, Bureau 1",Mont-Tremblant,819-425-6375,O,UG,"151",2023/04/01 00:00:00
"14",MONT-LAURIER,"142, rue Godard",Mont-Laurier,819 623-5781,O,UG,"151",2023/04/01 00:00:00
"15",ESTRIE-MEGANTIC,"5527, rue Frontenac, local 211",Lac Mégantic,819-583-1141,O,UG,"051",2023/04/01 00:00:00
"16",MONTÉRÉGIE,"545, Boul. Crémazie, Est, 8e étage",Montréal,514-873-2140,O,UG,"052",2023/04/01 00:00:00
"17",BEAUCE-APPALACHES,"575, 98e Rue Est",St-Georges,418 226-3400,N,UG,"035",2023/04/01 00:00:00
"18",PORTNEUF-LAURENTIDES CHARLEVOIX,"405, boulevard de Comporté",La Malbaie,418 665-3721,O,UG,"037",2023/04/01 00:00:00
"19",BEAUCE-APPALACHES,"6, rue St-Jean-Baptiste, local 223",Montmagny,418 248-2972,O,UG,"035",2023/04/01 00:00:00
"20",PORTNEUF-LAURENTIDES CHARLEVOIX,"147 A, route de Duchesnay",Ste-Catherine-de-la-Jacques-Cartier,418 875-4266,O,UG,"037",2023/04/01 00:00:00
"21",GASPÉSIE,"21, rue des Lilas, local 1.10",Gaspé,418 360-8371,O,UG,"112",2023/04/01 00:00:00
"22",BAIE-DES-CHALEURS,"195, boul. Perron Est",Caplan,418 388-2125,O,UG,"111",2023/04/01 00:00:00
"23",SAINTE-ANNE-DES-MONTS,"124, 1re Avenue Ouest",Sainte-Anne-des-Monts,418 763-5581,O,BL,"112",2023/04/01 00:00:00
"24",WINDIGO-GOUIN,"662, rue Joffre",La Tuque,819 523-9560,O,UG,"042",2023/04/01 00:00:00
"25",BAS-SAINT-MAURICE,"55, 119e Rue",Shawinigan-Sud,819 536-2695,O,UG,"041",2023/04/01 00:00:00
"26",MISTASSINI,"56, avenue de l'Église",Dolbeau-Mistassini,418 276-1400,O,UG,"027",2023/04/01 00:00:00
"27",ROBERVAL-SAINT-FELICIEN,"833, boul. Sacré-Cœur",Saint-Félicien,418 679-3700,O,UG,"025",2023/04/01 00:00:00
"28",RIVIERE-PERIBONKA,"801, chemin du Pont Taché Nord, R.C. 03",Alma,418 668-8319,O,UG,"024",2023/04/01 00:00:00
"29",SAGUENAY-SUD SHIPSHAW,"1100, rue Bersimis",Chicoutimi,418 698-3660,O,UG,"023",2023/04/01 00:00:00
"30",MEGISCANE,"250, 14e Avenue Est",Senneterre,819 737-2350,O,UG,"084",2023/04/01 00:00:00
"31",ROUYN-NORANDA,"70, avenue Québec",Rouyn-Noranda,819 763-3388,O,UG,"082",2023/04/01 00:00:00
"32",VAL-D'OR,"420, boul. Lamaque",Val-d'Or,819 354-4611,O,UG,"083",2023/04/01 00:00:00
"33",TEMISCAMINGUE,"75, rue des Oblats Nord",Ville-Marie,819 629-6494,O,UG,"081",2023/04/01 00:00:00
"34",LAC ABITIBI ET MONT-PLAMONDON,"645, 1re Rue Est",La Sarre,819 339-7623,O,UG,"085,105",2023/04/01 00:00:00
"35",HARRICANA-SUD ET HARRICANA-NORD,"1122, Route 111 Est",Amos,818 444-5238,O,UG,"086,106",2023/04/01 00:00:00
"36",CHIBOUGAMAU,"624, 3e Rue",Chibougamau,418 748-2647,O,UG,"102",2023/04/01 00:00:00
"37",QUEVILLON,"1121, boul. Industriel, C.P. 159",Lebel-sur-Quévillon,819 755-4838,O,UG,"107",2023/04/01 00:00:00
"38",NOTRE-DAME-DES-PRAIRIES,"376, boul. Antonio-Barrette",Notre-Dame-des-Prairies,450 752-6882,N,BL,"141",2023/04/01 00:00:00
