UID_MEDIAFILM,TITRE_ORIGINAL,TITRE_FRANÃAIS,PAYS_1,PAYS_2,PAYS_3,PAYS_4,PAYS_5,PAYS_6,ANNÃE_PRODUCTION,COTE_MEDIAFILM,GENRE,DATE_HEURE_DIFFUSION,RÃALISATION
43828,Death at a Funeral,Joyeuses FunÃ©railles,GB,,,,,,2007,4,ComÃ©die de moeurs,2010-01-01T01:00:00,Frank Oz 
42297,"Lost City, The","CitÃ© perdue, La",US,,,,,,2005,4,Drame,2010-01-01T03:00:00,Andy Garcia 
42642,"Doublure, La","Doublure, La",FR,,,,,,2006,5,ComÃ©die,2010-01-01T12:30:00,Francis Veber 
42251,Cars,"Bagnoles, Les",US,,,,,,2006,3,Film d'animation,2010-01-01T14:30:00,"John Lasseter, Joe Ranft "
38921,Miracle,Miracle,US,,,,,,2004,5,Drame sportif,2010-01-02T00:30:00,Gavin O'Connor 
38291,Open Range,"Ouest sauvage, L'",US,,,,,,2003,4,Western,2010-01-02T03:15:00,Kevin Costner 
37720,Piglet's Big Movie,"Grand Film de Porcinet, Le",US,,,,,,2003,5,Dessins animÃ©s,2010-01-02T08:00:00,Francis Glebas 
45779,Oliver Twist,Oliver Twist,GB,US,,,,,2007,4,Drame,2010-01-02T12:30:00,Coky Giedroyc 
45779,Oliver Twist,Oliver Twist,GB,US,,,,,2007,4,Drame,2010-01-02T14:30:00,Coky Giedroyc 
43189,Bridge to Terabithia,"Pont de Terabithia, Le",US,,,,,,2007,4,Drame fantastique,2010-01-02T20:00:00,Gabor Csupo 
37357,Chicago,Chicago,US,,,,,,2002,3,ComÃ©die musicale,2010-01-02T23:35:00,Rob Marshall 
38681,Concorrenza Sleale,Concurrence dÃ©loyale,IT,,,,,,2001,4,ComÃ©die dramatique,2010-01-03T02:10:00,Ettore Scola 
40012,National Treasure,TrÃ©sor national,US,,,,,,2004,5,Aventures,2010-01-03T14:00:00,Jon Turteltaub 
43706,Ratatouille,Ratatouille,US,,,,,,2007,3,Film d'animation,2010-01-03T19:30:00,Brad Bird 
37363,"Pianist, The","Pianiste, Le",FR,,,,,,2001,3,Drame biographique,2010-01-03T22:35:00,Roman Polanski 
1272,Ãa commence aujourd'hui,Ãa commence aujourd'hui,FR,,,,,,1999,3,Drame social,2010-01-04T01:35:00,Bertrand Tavernier 
43287,"MÃ´me, La","Vie en rose, La",FR,GB,CZ,,,,2007,4,Drame biographique,2010-01-09T18:30:00,Olivier Dahan 
