ï»¿Permis_travail ;detail;n_2018;n_2019;n_2020;n_2021;n_2022
RÃ©gion de destination;Nord-du-QuÃ©bec;20;25;35;45;50
RÃ©gion de destination;Outaouais;820;975;1060;1130;1400
RÃ©gion de destination;SaguenayâLac-Saint-Jean;400;500;540;610;670
RÃ©gion de destination;Non prÃ©cisÃ©e;4880;6405;6960;7095;8410
Principaux pays de naissance (ordre de 2020);France;19635;22390;19530;16475;17395
Principaux pays de naissance (ordre de 2020);Inde;3995;5510;7030;9160;14670
Principaux pays de naissance (ordre de 2020);Chine;4490;5245;4955;4370;3210
Principaux pays de naissance (ordre de 2020);Ãtat-Unis;3560;3975;3165;3150;2965
Principaux pays de naissance (ordre de 2020);Ukraine;145;170;155;140;2600
Principaux pays de naissance (ordre de 2020);Mexique;795;1175;1220;1535;2420
Principaux pays de naissance (ordre de 2020);Maroc;1175;1640;2115;2435;2345
Principaux pays de naissance (ordre de 2020);BrÃ©sil;1735;2430;2415;2205;2145
Principaux pays de naissance (ordre de 2020);Colombie;555;1050;1395;1875;2120
Principaux pays de naissance (ordre de 2020);AlgÃ©rie;785;1240;1840;1865;2115
Principaux pays de naissance (ordre de 2020);Autres pays;16395;19700;19680;20915;21210
Principaux pays de naissance (ordre de 2020);Total (personnes uniques);53265;64530;63490;64120;73195
