clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assurance-emploi,Région,01 - Bas-Saint-Laurent,7753,8822,11349,13910
Individu - clientèle de l`assurance-emploi,Région,02 - Saguenay - Lac-St-Jean,9523,10844,16816,20479
Individu - clientèle de l`assurance-emploi,Région,03 - Capitale-Nationale,14396,16380,20639,25037
Individu - clientèle de l`assurance-emploi,Région,04 - Mauricie,9374,10581,13840,16918
Individu - clientèle de l`assurance-emploi,Région,05 - Estrie,7412,8638,12131,15002
Individu - clientèle de l`assurance-emploi,Région,06 - Île-de-Montréal,37774,43222,52865,64413
Individu - clientèle de l`assurance-emploi,Région,07 - Outaouais,8609,9525,12856,15061
Individu - clientèle de l`assurance-emploi,Région,08 - Abitibi-Témiscamingue,5681,6650,8142,10236
Individu - clientèle de l`assurance-emploi,Région,09 - Côte-Nord,4698,5057,8633,9548
Individu - clientèle de l`assurance-emploi,Région,10 - Nord-du-Québec,609,659,995,1130
Individu - clientèle de l`assurance-emploi,Région,11 - Gaspésie - Îles-de-la-Madeleine,5905,6684,8823,10817
Individu - clientèle de l`assurance-emploi,Région,12 - Chaudière-Appalaches,9799,11204,13699,16605
Individu - clientèle de l`assurance-emploi,Région,13 - Laval,9154,10196,13740,16158
Individu - clientèle de l`assurance-emploi,Région,14 - Lanaudière,10372,12137,15363,19335
Individu - clientèle de l`assurance-emploi,Région,15 - Laurentides,14903,16720,24569,29182
Individu - clientèle de l`assurance-emploi,Région,16 - Montérégie,26685,30724,39240,47836
Individu - clientèle de l`assurance-emploi,Région,17 - Centre-du-Québec,6843,7898,10919,13759
Individu - clientèle de l`assurance-emploi,Sexe,Femme,74798,86075,116360,143492
Individu - clientèle de l`assurance-emploi,Sexe,Homme,113602,127908,168259,201934
Individu - clientèle de l`assurance-emploi,Groupe d'âge,Moins de 20 ans,2875,3740,4470,5875
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 20 à 24 ans,20254,24778,32009,41814
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 25 à 29 ans,23407,27565,36003,44477
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 30 à 34 ans,23042,27183,34959,43230
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 35 à 39 ans,21456,25279,32858,40548
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 40 à 44 ans,18626,21835,28364,34659
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 45 à 49 ans,19407,22611,29255,35575
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 50 à 54 ans,23217,26252,34557,40752
Individu - clientèle de l`assurance-emploi,Groupe d'âge,55 ans et plus,38499,41341,52144,58496
Individu - clientèle de l`assurance-emploi,Groupe d'âge,35 ans et moins,73285,85829,114560,144283
Individu - clientèle de l`assurance-emploi,Groupe d'âge,36 ans et plus,115433,129050,170059,201143
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Oui,15464,18236,24943,31450
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Non,173493,196630,259675,313975
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Inconnue,1,1,1,1
Individu - clientèle de l`assurance-emploi,Scolarité,Primaire,6184,7208,8712,10987
Individu - clientèle de l`assurance-emploi,Scolarité,Secondaire I à IV,53120,61613,82132,102887
Individu - clientèle de l`assurance-emploi,Scolarité,Secondaire V,59941,68381,92730,112312
Individu - clientèle de l`assurance-emploi,Scolarité,Collégial,23174,26499,36114,43602
Individu - clientèle de l`assurance-emploi,Scolarité,Universitaire,21164,24322,32247,39141
Individu - clientèle de l`assurance-emploi,Scolarité,Inconnue,27504,29781,32684,36497
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Aucun diplôme,79576,90757,117481,144054
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Secondaire - DES,23869,28514,39065,49428
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Secondaire - DEP,20536,23700,34478,42174
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Secondaire - ASP,1335,1558,2193,2743
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Collégial - AEC,3712,4348,6252,7764
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Collégial - DEC général,3928,4717,6623,8412
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Collégial - DEC professionnel,7162,8557,12500,15671
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Universitaire - Certificat,1167,1425,2011,2572
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Universitaire - Baccalauréat,3467,4156,5735,7275
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,1242,1496,2067,2618
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Inconnu,46016,49756,56214,62715
Individu - clientèle de l`assurance-emploi,Personne handicapée,Oui,10182,13636,17099,25242
Individu - clientèle de l`assurance-emploi,Personne handicapée,Non,178666,201124,267520,320184
Individu - clientèle de l`assurance-emploi,Autochtone,Oui,1360,1529,2085,2475
Individu - clientèle de l`assurance-emploi,Autochtone,Non,149312,172594,235401,291250
Individu - clientèle de l`assurance-emploi,Autochtone,Inconnu,37728,39860,47133,51701
Individu - clientèle de l`assurance-emploi,Lieu de naissance,Né au Canada,134766,155011,210968,259852
