clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assurance-emploi,Région,01 - Bas-Saint-Laurent,6482,7755,9322,12062
Individu - clientèle de l`assurance-emploi,Région,02 - Saguenay - Lac-St-Jean,7607,9132,12194,16056
Individu - clientèle de l`assurance-emploi,Région,03 - Capitale-Nationale,14157,16606,26384,31551
Individu - clientèle de l`assurance-emploi,Région,04 - Mauricie,7231,8507,10751,13774
Individu - clientèle de l`assurance-emploi,Région,05 - Estrie,6617,8748,10445,14981
Individu - clientèle de l`assurance-emploi,Région,06 - Île-de-Montréal,34250,41585,47483,62856
Individu - clientèle de l`assurance-emploi,Région,07 - Outaouais,7168,8392,11864,14522
Individu - clientèle de l`assurance-emploi,Région,08 - Abitibi-Témiscamingue,4660,5567,6826,8716
Individu - clientèle de l`assurance-emploi,Région,09 - Côte-Nord,3690,4150,6308,7481
Individu - clientèle de l`assurance-emploi,Région,10 - Nord-du-Québec,529,620,1162,1402
Individu - clientèle de l`assurance-emploi,Région,11 - Gaspésie - Îles-de-la-Madeleine,5746,6583,10323,12627
Individu - clientèle de l`assurance-emploi,Région,12 - Chaudière-Appalaches,8318,9995,11072,14457
Individu - clientèle de l`assurance-emploi,Région,13 - Laval,6410,7707,9030,11618
Individu - clientèle de l`assurance-emploi,Région,14 - Lanaudière,9037,11091,13336,18175
Individu - clientèle de l`assurance-emploi,Région,15 - Laurentides,12891,15206,19480,24539
Individu - clientèle de l`assurance-emploi,Région,16 - Montérégie,22240,26533,32027,41089
Individu - clientèle de l`assurance-emploi,Région,17 - Centre-du-Québec,5821,6847,9345,11974
Individu - clientèle de l`assurance-emploi,Sexe,Femme,68432,83199,105967,139762
Individu - clientèle de l`assurance-emploi,Sexe,Homme,93515,109971,141385,178118
Individu - clientèle de l`assurance-emploi,Groupe d'âge,Moins de 20 ans,2122,2804,3313,4456
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 20 à 24 ans,15086,20008,23709,33357
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 25 à 29 ans,22603,28691,34719,46999
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 30 à 34 ans,19696,24851,29794,39786
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 35 à 39 ans,18211,22938,27936,37125
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 40 à 44 ans,16656,20569,25642,33400
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 45 à 49 ans,14873,18120,22824,29173
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 50 à 54 ans,16015,19097,24369,30399
Individu - clientèle de l`assurance-emploi,Groupe d'âge,55 ans et plus,38447,42149,55046,63185
Individu - clientèle de l`assurance-emploi,Groupe d'âge,35 ans et moins,62605,78482,97326,132322
Individu - clientèle de l`assurance-emploi,Groupe d'âge,36 ans et plus,99612,115576,150026,185558
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Oui,13978,17470,21974,29609
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Non,148464,176572,225377,288268
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Inconnue,1,3,1,3
Individu - clientèle de l`assurance-emploi,Scolarité,Primaire,5156,6366,7875,10802
Individu - clientèle de l`assurance-emploi,Scolarité,Secondaire I à IV,46799,56627,72039,94923
Individu - clientèle de l`assurance-emploi,Scolarité,Secondaire V,50288,60106,77109,98540
Individu - clientèle de l`assurance-emploi,Scolarité,Collégial,22203,26629,34189,43688
Individu - clientèle de l`assurance-emploi,Scolarité,Universitaire,22769,27398,34247,44000
Individu - clientèle de l`assurance-emploi,Scolarité,Inconnue,16385,18750,21893,25927
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Aucun diplôme,69930,83114,104676,134598
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Secondaire - DES,19696,24937,31752,43180
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Secondaire - DEP,16859,20546,27441,35916
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Secondaire - ASP,975,1235,1576,2160
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Collégial - AEC,3671,4505,6166,8060
Individu - clientèle de l`assurance-emploi,Diplôme maximum obtenu,Collégial - DEC général,3745,4847,6217,8649
