clientele,caracteristique,valeur,nouveau_participant,participant_actif,nouvelle_participation,participation_active
Individu - clientèle de l`assurance-emploi,Région,01 - Bas-Saint-Laurent,6853,8052,10494,13276
Individu - clientèle de l`assurance-emploi,Région,02 - Saguenay - Lac-St-Jean,9811,11308,17050,21370
Individu - clientèle de l`assurance-emploi,Région,03 - Capitale-Nationale,14985,17091,21518,26166
Individu - clientèle de l`assurance-emploi,Région,04 - Mauricie,8009,9314,12502,15821
Individu - clientèle de l`assurance-emploi,Région,05 - Estrie,7446,9000,12480,16144
Individu - clientèle de l`assurance-emploi,Région,06 - Île-de-Montréal,39797,45970,56573,69784
Individu - clientèle de l`assurance-emploi,Région,07 - Outaouais,8564,9644,12873,15398
Individu - clientèle de l`assurance-emploi,Région,08 - Abitibi-Témiscamingue,5236,6341,7536,10083
Individu - clientèle de l`assurance-emploi,Région,09 - Côte-Nord,4457,4963,7657,8907
Individu - clientèle de l`assurance-emploi,Région,10 - Nord-du-Québec,585,673,964,1170
Individu - clientèle de l`assurance-emploi,Région,11 - Gaspésie - Îles-de-la-Madeleine,5305,6158,8953,11270
Individu - clientèle de l`assurance-emploi,Région,12 - Chaudière-Appalaches,9326,10890,12775,16072
Individu - clientèle de l`assurance-emploi,Région,13 - Laval,9106,10379,13063,15906
Individu - clientèle de l`assurance-emploi,Région,14 - Lanaudière,10199,12063,15118,19431
Individu - clientèle de l`assurance-emploi,Région,15 - Laurentides,14276,16461,24066,29328
Individu - clientèle de l`assurance-emploi,Région,16 - Montérégie,24675,28751,37079,46107
Individu - clientèle de l`assurance-emploi,Région,17 - Centre-du-Québec,5259,6522,8566,11778
Individu - clientèle de l`assurance-emploi,Sexe,Femme,71925,84510,112902,143664
Individu - clientèle de l`assurance-emploi,Sexe,Homme,110931,127065,166365,204347
Individu - clientèle de l`assurance-emploi,Groupe d'âge,Moins de 20 ans,2661,3616,4124,5688
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 20 à 24 ans,18636,23712,29947,40941
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 25 à 29 ans,22978,28008,35782,46095
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 30 à 34 ans,22415,27094,34607,44133
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 35 à 39 ans,21237,25642,32776,41702
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 40 à 44 ans,18485,21997,28220,35303
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 45 à 49 ans,18723,21906,28355,34830
Individu - clientèle de l`assurance-emploi,Groupe d'âge,De 50 à 54 ans,21382,24606,32230,38927
Individu - clientèle de l`assurance-emploi,Groupe d'âge,55 ans et plus,38628,41779,53226,60392
Individu - clientèle de l`assurance-emploi,Groupe d'âge,35 ans et moins,70260,84858,111320,145694
Individu - clientèle de l`assurance-emploi,Groupe d'âge,36 ans et plus,112902,127658,167947,202317
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Oui,15292,18265,24562,31879
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Non,168210,194276,254704,316131
Individu - clientèle de l`assurance-emploi,Famille monoparentale,Inconnue,1,1,1,1
Individu - clientèle de l`assurance-emploi,Scolarité,Primaire,5795,6803,8233,10590
Individu - clientèle de l`assurance-emploi,Scolarité,Secondaire I à IV,52444,61678,81978,104949
Individu - clientèle de l`assurance-emploi,Scolarité,Secondaire V,57837,67389,90096,112424
Individu - clientèle de l`assurance-emploi,Scolarité,Collégial,22893,26907,35877,44871
