ï»¿OBJECTID,GROUPEUSAGE,STATUT,V_DESCRIPTION,DATEDEBUT,ZONAGEMUNICIPALID,NO_ZONE,MUNICIPALITE
439403,CLI,En vigueur,Commerciale lourde et industrielle,2022-01-05T05:00:00,CLI-4112,4112,37067
439407,CLI,En vigueur,Commerciale lourde et industrielle,2022-01-05T05:00:00,CLI-4197,4197,37067
439408,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4202,4202,37067
439410,CLI,En vigueur,Commerciale lourde et industrielle,2022-01-05T05:00:00,CLI-5061,5061,37067
439412,CNA,En vigueur,Conservation naturelle,2022-01-05T05:00:00,CNA-1072,1072,37067
439413,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-1063,1063,37067
439414,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-1091,1091,37067
439415,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-1093,1093,37067
439416,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-1185,1185,37067
439417,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-1206,1206,37067
439418,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-1207,1207,37067
439419,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2021,2021,37067
439420,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2024,2024,37067
439422,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2038,2038,37067
439424,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2074,2074,37067
439425,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2100,2100,37067
439426,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2113,2113,37067
439427,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2136,2136,37067
439428,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2139,2139,37067
439429,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2140,2140,37067
439430,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2150,2150,37067
439432,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2161,2161,37067
439433,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2179,2179,37067
439434,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2187,2187,37067
439435,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2192,2192,37067
439436,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2204,2204,37067
439437,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2209,2209,37067
439438,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2210,2210,37067
439439,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2216,2216,37067
439440,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2230,2230,37067
439441,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2249,2249,37067
439442,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2257,2257,37067
439443,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-2258,2258,37067
439444,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3006,3006,37067
439445,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3010,3010,37067
439446,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3013,3013,37067
439447,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3016,3016,37067
439448,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3018,3018,37067
439449,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3024,3024,37067
439450,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3027,3027,37067
439451,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3054,3054,37067
439452,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3061,3061,37067
439453,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3068,3068,37067
439454,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3095,3095,37067
439455,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3098,3098,37067
439456,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3099,3099,37067
439457,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3107,3107,37067
439458,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3108,3108,37067
439459,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3109,3109,37067
439460,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3110,3110,37067
439461,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3111,3111,37067
439462,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3117,3117,37067
439463,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3124,3124,37067
439464,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3128,3128,37067
439466,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3136,3136,37067
439467,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3200,3200,37067
439468,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3202,3202,37067
439469,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3211,3211,37067
439471,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3222,3222,37067
439472,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3226,3226,37067
439473,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3232,3232,37067
439475,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3236,3236,37067
439476,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3242,3242,37067
439477,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3265,3265,37067
439478,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3273,3273,37067
439480,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3275,3275,37067
439481,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3319,3319,37067
439482,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3352,3352,37067
439483,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3354,3354,37067
439484,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3355,3355,37067
439487,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3456,3456,37067
439488,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3460,3460,37067
439489,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3500,3500,37067
439490,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-3503,3503,37067
439492,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4030,4030,37067
439493,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4047,4047,37067
439494,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4054,4054,37067
439495,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4055,4055,37067
439497,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4057,4057,37067
439498,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4058,4058,37067
439499,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4059,4059,37067
439500,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4061,4061,37067
439501,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4083,4083,37067
439502,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4111,4111,37067
439503,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4119,4119,37067
439504,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4125,4125,37067
439505,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4129,4129,37067
439506,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4130,4130,37067
439507,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4136,4136,37067
439510,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4144,4144,37067
439511,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4152,4152,37067
439512,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4154,4154,37067
439514,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-4167,4167,37067
439516,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-5007,5007,37067
439517,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-5021,5021,37067
439518,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-5064,5064,37067
439519,COL,En vigueur,Commerciale locale,2022-01-05T05:00:00,COL-5093,5093,37067
439522,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-2115,2115,37067
439526,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-2180,2180,37067
439527,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-2181,2181,37067
439529,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3019,3019,37067
439531,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3031,3031,37067
439532,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3033,3033,37067
439535,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3038,3038,37067
439536,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3040,3040,37067
439537,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3041,3041,37067
439538,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3044,3044,37067
439539,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3045,3045,37067
439540,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3046,3046,37067
439541,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3047,3047,37067
439542,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3049,3049,37067
439544,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3266,3266,37067
439547,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3270,3270,37067
439548,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-3272,3272,37067
439549,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-4002,4002,37067
439550,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-4004,4004,37067
439551,COR,En vigueur,Commerciale rÃ©gionale,2022-01-05T05:00:00,COR-4005,4005,37067
439552,EXA,En vigueur,Extraction en zone agricole,2022-01-05T05:00:00,EXA-1011,1011,37067
439553,EXA,En vigueur,Extraction en zone agricole,2022-01-05T05:00:00,EXA-1012,1012,37067
439554,EXA,En vigueur,Extraction en zone agricole,2022-01-05T05:00:00,EXA-1013,1013,37067
439555,EXA,En vigueur,Extraction en zone agricole,2022-01-05T05:00:00,EXA-3398,3398,37067
439556,EXA,En vigueur,Extraction en zone agricole,2022-01-05T05:00:00,EXA-6069,6069,37067
439557,EXT,En vigueur,Extraction,2022-01-05T05:00:00,EXT-3392,3392,37067
439559,IDF,En vigueur,Industrielle diffÃ©rÃ©e,2022-01-05T05:00:00,IDF-3324,3324,37067
439560,IDF,En vigueur,Industrielle diffÃ©rÃ©e,2022-01-05T05:00:00,IDF-3328,3328,37067
439561,IDF,En vigueur,Industrielle diffÃ©rÃ©e,2022-01-05T05:00:00,IDF-3333,3333,37067
439562,IDF,En vigueur,Industrielle diffÃ©rÃ©e,2022-01-05T05:00:00,IDF-3337,3337,37067
439563,IDF,En vigueur,Industrielle diffÃ©rÃ©e,2022-01-05T05:00:00,IDF-3377,3377,37067
439564,INA,En vigueur,Industrielle agricole,2022-01-05T05:00:00,INA-6071,6071,37067
439566,IND,En vigueur,Industrielle,2022-01-05T05:00:00,IND-3001,3001,37067
439568,IND,En vigueur,Industrielle,2022-01-05T05:00:00,IND-3008,3008,37067
439569,IND,En vigueur,Industrielle,2022-01-05T05:00:00,IND-3011,3011,37067
439576,IND,En vigueur,Industrielle,2022-01-05T05:00:00,IND-3378,3378,37067
439579,IND,En vigueur,Industrielle,2022-01-05T05:00:00,IND-3382,3382,37067
439582,IND,En vigueur,Industrielle,2022-01-05T05:00:00,IND-3527,3527,37067
439588,IND,En vigueur,Industrielle,2022-01-05T05:00:00,IND-5092,5092,37067
439590,IRV,En vigueur,Industrie de revalorisation,2022-01-05T05:00:00,IRV-1026,1026,37067
439592,IRV,En vigueur,Industrie de revalorisation,2022-01-05T05:00:00,IRV-5060,5060,37067
439593,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-3409,3409,37067
439594,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-3410,3410,37067
439595,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6077,6077,37067
439596,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6078,6078,37067
439597,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6079,6079,37067
439598,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6080,6080,37067
439600,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6082,6082,37067
439601,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6083,6083,37067
439602,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6084,6084,37067
439603,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6086,6086,37067
439604,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6087,6087,37067
439605,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6088,6088,37067
439606,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6089,6089,37067
439607,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6090,6090,37067
439608,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6091,6091,37067
439609,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6092,6092,37067
439610,NOV,En vigueur,Noyau villageois,2022-01-05T05:00:00,NOV-6093,6093,37067
439613,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-1041,1041,37067
439614,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-1048,1048,37067
439615,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-1069,1069,37067
439617,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-1115,1115,37067
439618,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-1173,1173,37067
439619,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2073,2073,37067
439620,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2093,2093,37067
439621,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2119,2119,37067
439622,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2148,2148,37067
439623,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2153,2153,37067
439624,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2160,2160,37067
439625,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2212,2212,37067
439627,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2234,2234,37067
439629,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-2250,2250,37067
439631,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3025,3025,37067
439632,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3032,3032,37067
439633,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3051,3051,37067
439634,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3055,3055,37067
439635,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3062,3062,37067
439636,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3064,3064,37067
439637,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3071,3071,37067
439638,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3088,3088,37067
439639,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3090,3090,37067
439640,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3097,3097,37067
439641,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3112,3112,37067
439642,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3122,3122,37067
439643,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3127,3127,37067
439644,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3134,3134,37067
439647,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3149,3149,37067
439648,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3151,3151,37067
439649,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3157,3157,37067
439650,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3163,3163,37067
439651,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3167,3167,37067
439654,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3204,3204,37067
439655,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3207,3207,37067
439657,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3217,3217,37067
439658,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3253,3253,37067
439659,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3254,3254,37067
439662,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3283,3283,37067
439663,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3285,3285,37067
439664,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3289,3289,37067
439665,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3296,3296,37067
439666,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3302,3302,37067
439667,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3307,3307,37067
439669,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3316,3316,37067
439670,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3351,3351,37067
439671,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3365,3365,37067
439672,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3434,3434,37067
439673,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3448,3448,37067
439674,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3463,3463,37067
439675,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3488,3488,37067
439676,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-3509,3509,37067
439678,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4041,4041,37067
439679,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4051,4051,37067
439680,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4073,4073,37067
439681,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4086,4086,37067
439682,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4100,4100,37067
439683,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4104,4104,37067
439684,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4106,4106,37067
439685,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4114,4114,37067
439687,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4126,4126,37067
439689,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4132,4132,37067
439690,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4135,4135,37067
439691,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4145,4145,37067
439692,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4149,4149,37067
439693,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4150,4150,37067
439694,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4158,4158,37067
439698,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4173,4173,37067
439699,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-4192,4192,37067
439702,PEV,En vigueur,Parcs et espaces verts,2022-01-05T05:00:00,PEV-5083,5083,37067
439703,PIL,En vigueur,Publique et institutionnelle locale,2022-01-05T05:00:00,PIL-6020,6020,37067
439705,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3043,3043,37067
439706,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3048,3048,37067
439707,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3057,3057,37067
439708,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3069,3069,37067
439710,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3102,3102,37067
439711,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3105,3105,37067
439712,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3115,3115,37067
439713,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3120,3120,37067
439714,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3133,3133,37067
439715,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3168,3168,37067
439716,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3170,3170,37067
439717,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3171,3171,37067
439718,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3187,3187,37067
439719,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3190,3190,37067
439720,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3198,3198,37067
439722,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-3485,3485,37067
439724,PIR,En vigueur,Publique et institutionnelle rÃ©gionale,2022-01-05T05:00:00,PIR-4165,4165,37067
439727,REC,En vigueur,RÃ©crÃ©ative,2022-01-05T05:00:00,REC-2124,2124,37067
439728,REC,En vigueur,RÃ©crÃ©ative,2022-01-05T05:00:00,REC-2141,2141,37067
439729,REC,En vigueur,RÃ©crÃ©ative,2022-01-05T05:00:00,REC-3154,3154,37067
439730,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1037,1037,37067
439731,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1038,1038,37067
439732,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1039,1039,37067
439733,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1042,1042,37067
439734,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1043,1043,37067
439735,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1044,1044,37067
439736,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1045,1045,37067
439737,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1047,1047,37067
439738,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1050,1050,37067
439739,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1051,1051,37067
439741,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1054,1054,37067
439742,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1057,1057,37067
439743,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1058,1058,37067
439745,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1061,1061,37067
439746,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1062,1062,37067
439748,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1065,1065,37067
439752,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1074,1074,37067
439754,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1076,1076,37067
439755,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1077,1077,37067
439756,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1078,1078,37067
439757,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1079,1079,37067
439758,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1081,1081,37067
439759,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1082,1082,37067
439760,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1083,1083,37067
439761,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1084,1084,37067
439762,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1086,1086,37067
439763,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1087,1087,37067
439764,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1088,1088,37067
439765,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1089,1089,37067
439766,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1090,1090,37067
439767,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1092,1092,37067
439768,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1094,1094,37067
439769,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1097,1097,37067
439770,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1098,1098,37067
439771,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1099,1099,37067
439772,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1101,1101,37067
439773,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1102,1102,37067
439774,RES,En vigueur,RÃ©sidentielle,2022-01-05T05:00:00,RES-1104,1104,37067
