Cote,Titre,Date,Éléments notables,Fichier tiff - 600 dpi,Mention de crédits
"VM97,S3,D01,P012",Vue aérienne oblique du sud de Montréal,1925,"Vue vers le sud, pont Victoria, canal Lachine et île des Sœurs",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-012.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P013",Vue aérienne oblique du secteur du parc La Fontaine,1925,"Vue vers le sud, parc Lafontaine, port de Montréal en arrière plan ",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-013.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P014",Vue aérienne oblique du secteur du canal Lachine,1925,"Vue vers le sud, canal Lachine, île des Sœurs, quartier industriel",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-014.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P015",Vue aérienne oblique du secteur du parc La Fontaine,24 juin 1925,"Vue vers l'ouest parc La Fontaine, Mont Royal, parade sur la rue Sherbrooke",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-015.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P016",Vue aérienne oblique du secteur de la gare Viger ,1925,"Vue vers le nord, gare Viger",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-016.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P017",Vue aérienne oblique du secteur du parc Jeanne-Mance,24 juin 1925,"Vue vers l'ouest, monument à Sir Georges-Étienne Cartier, Mont-Royal, Parc Jeanne-Mance",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-017.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P018",Vue aérienne oblique du centre-ville de Montréal,1925,"Vue vers le nord, cathédrale Marie-Reine-du-Monde, entrée du tunnel sous le mont Royal",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-018.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P020",Vue aérienne oblique du centre-ville de Montréal,1925,"Vue vers le nord-ouest, gare Windsor, cathédrale Marie-Reine-du-Monde",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-020.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P021",Vue aérienne oblique du secteur portuaire et ferroviaire,1925,"Vue vers le nord-est, secteur industriel près du port de Montréal, rues Sainte-Catherine et Bercy, enclos ferroviaire, secteur de Maisonneuve",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-021.tif,Archives de la Ville de Montréal
"VM97,S3,D01,P023",Vue aérienne oblique du secteur de l'hôpital Royal-Victoria,1925,"Vue vers le nord, Hôpital Royal Victoria, stade",http://depot.ville.montreal.qc.ca/vues-aeriennes-1925-1939/VM97-3_01-023.tif,Archives de la Ville de Montréal
