IdenfiantSecteur,NomSecteur,IdentifiantArrondissement,ArrondissementCode,Arrondissement
45,"RPP-34C",23,"RPP","Rosemont / Petite-Patrie"
47,"VSP-101",24,"VSP","Villeray / St-Michel / Parc-Extension"
48,"VSP-102",24,"VSP","Villeray / St-Michel / Parc-Extension"
48,"VSP-102",24,"VSP","Villeray / St-Michel / Parc-Extension"
49,"VSP-103",24,"VSP","Villeray / St-Michel / Parc-Extension"
49,"VSP-103",24,"VSP","Villeray / St-Michel / Parc-Extension"
49,"VSP-103",24,"VSP","Villeray / St-Michel / Parc-Extension"
50,"VSP-107",24,"VSP","Villeray / St-Michel / Parc-Extension"
50,"VSP-107",24,"VSP","Villeray / St-Michel / Parc-Extension"
50,"VSP-107",24,"VSP","Villeray / St-Michel / Parc-Extension"
51,"VSP-206",24,"VSP","Villeray / St-Michel / Parc-Extension"
51,"VSP-206",24,"VSP","Villeray / St-Michel / Parc-Extension"
51,"VSP-206",24,"VSP","Villeray / St-Michel / Parc-Extension"
51,"VSP-206",24,"VSP","Villeray / St-Michel / Parc-Extension"
52,"VSP-104",24,"VSP","Villeray / St-Michel / Parc-Extension"
52,"VSP-104",24,"VSP","Villeray / St-Michel / Parc-Extension"
53,"VSP-205",24,"VSP","Villeray / St-Michel / Parc-Extension"
53,"VSP-205",24,"VSP","Villeray / St-Michel / Parc-Extension"
53,"VSP-205",24,"VSP","Villeray / St-Michel / Parc-Extension"
55,"CDN-72",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
55,"CDN-72",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
56,"CDN-73",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
56,"CDN-73",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
57,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
57,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
57,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
57,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
57,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
383,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
383,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
383,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
383,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
383,"CDN-301",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
58,"CDN-74",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
58,"CDN-74",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
60,"MHM-101",21,"MHM","Mercier / Hochelaga / Maisonneuve"
60,"MHM-101",21,"MHM","Mercier / Hochelaga / Maisonneuve"
60,"MHM-101",21,"MHM","Mercier / Hochelaga / Maisonneuve"
61,"MHM-102",21,"MHM","Mercier / Hochelaga / Maisonneuve"
61,"MHM-102",21,"MHM","Mercier / Hochelaga / Maisonneuve"
62,"MHM-103",21,"MHM","Mercier / Hochelaga / Maisonneuve"
62,"MHM-103",21,"MHM","Mercier / Hochelaga / Maisonneuve"
62,"MHM-103",21,"MHM","Mercier / Hochelaga / Maisonneuve"
62,"MHM-103",21,"MHM","Mercier / Hochelaga / Maisonneuve"
63,"MHM-104",21,"MHM","Mercier / Hochelaga / Maisonneuve"
63,"MHM-104",21,"MHM","Mercier / Hochelaga / Maisonneuve"
64,"MHM-205",21,"MHM","Mercier / Hochelaga / Maisonneuve"
65,"MHM-206",21,"MHM","Mercier / Hochelaga / Maisonneuve"
66,"MHM-48",21,"MHM","Mercier / Hochelaga / Maisonneuve"
66,"MHM-48",21,"MHM","Mercier / Hochelaga / Maisonneuve"
67,"MHM-207",21,"MHM","Mercier / Hochelaga / Maisonneuve"
67,"MHM-207",21,"MHM","Mercier / Hochelaga / Maisonneuve"
67,"MHM-207",21,"MHM","Mercier / Hochelaga / Maisonneuve"
72,"ANJ-301",9,"ANJ","Anjou"
72,"ANJ-301",9,"ANJ","Anjou"
73,"ANJ-302",9,"ANJ","Anjou"
74,"ANJ-303",9,"ANJ","Anjou"
74,"ANJ-303",9,"ANJ","Anjou"
74,"ANJ-303",9,"ANJ","Anjou"
74,"ANJ-303",9,"ANJ","Anjou"
75,"ANJ-304",9,"ANJ","Anjou"
76,"ANJ-05",9,"ANJ","Anjou"
76,"ANJ-05",9,"ANJ","Anjou"
77,"ANJ-06",9,"ANJ","Anjou"
77,"ANJ-06",9,"ANJ","Anjou"
78,"ANJ-07",9,"ANJ","Anjou"
78,"ANJ-07",9,"ANJ","Anjou"
78,"ANJ-07",9,"ANJ","Anjou"
79,"ANJ-308",9,"ANJ","Anjou"
79,"ANJ-308",9,"ANJ","Anjou"
80,"LAC-301",15,"LAC","Lachine"
81,"LAC-102",15,"LAC","Lachine"
81,"LAC-102",15,"LAC","Lachine"
82,"LAC-303",15,"LAC","Lachine"
83,"LAC-104",15,"LAC","Lachine"
83,"LAC-104",15,"LAC","Lachine"
84,"LAS-301",16,"LAS","LaSalle"
85,"LAS-303",16,"LAS","LaSalle"
86,"LAS-305",16,"LAS","LaSalle"
87,"LAS-306",16,"LAS","LaSalle"
88,"LAS-307",16,"LAS","LaSalle"
89,"LAS-308",16,"LAS","LaSalle"
90,"LAS-309",16,"LAS","LaSalle"
91,"LAS-310",16,"LAS","LaSalle"
92,"LAS-313",16,"LAS","LaSalle"
93,"MTN-01",14,"MTN","Montréal-Nord"
93,"MTN-01",14,"MTN","Montréal-Nord"
93,"MTN-01",14,"MTN","Montréal-Nord"
94,"MTN-02",14,"MTN","Montréal-Nord"
94,"MTN-02",14,"MTN","Montréal-Nord"
94,"MTN-02",14,"MTN","Montréal-Nord"
95,"MTN-303",14,"MTN","Montréal-Nord"
95,"MTN-303",14,"MTN","Montréal-Nord"
95,"MTN-303",14,"MTN","Montréal-Nord"
95,"MTN-303",14,"MTN","Montréal-Nord"
95,"MTN-303",14,"MTN","Montréal-Nord"
96,"MTN-304",14,"MTN","Montréal-Nord"
97,"OUT-101",7,"OUT","Outremont"
97,"OUT-101",7,"OUT","Outremont"
98,"PRF-01",11,"PRF","Pierrefonds / Roxboro"
98,"PRF-01",11,"PRF","Pierrefonds / Roxboro"
99,"PRF-302",11,"PRF","Pierrefonds / Roxboro"
100,"PRF-303",11,"PRF","Pierrefonds / Roxboro"
101,"SLA-01",13,"SLA","Saint-Laurent"
101,"SLA-01",13,"SLA","Saint-Laurent"
102,"SLA-02",13,"SLA","Saint-Laurent"
102,"SLA-02",13,"SLA","Saint-Laurent"
102,"SLA-02",13,"SLA","Saint-Laurent"
103,"SLA-352",13,"SLA","Saint-Laurent"
103,"SLA-352",13,"SLA","Saint-Laurent"
103,"SLA-352",13,"SLA","Saint-Laurent"
103,"SLA-352",13,"SLA","Saint-Laurent"
104,"SLA-353",13,"SLA","Saint-Laurent"
104,"SLA-353",13,"SLA","Saint-Laurent"
104,"SLA-353",13,"SLA","Saint-Laurent"
105,"SLA-354",13,"SLA","Saint-Laurent"
105,"SLA-354",13,"SLA","Saint-Laurent"
105,"SLA-354",13,"SLA","Saint-Laurent"
106,"SLA-55",13,"SLA","Saint-Laurent"
106,"SLA-55",13,"SLA","Saint-Laurent"
106,"SLA-55",13,"SLA","Saint-Laurent"
106,"SLA-55",13,"SLA","Saint-Laurent"
107,"SLA-357",13,"SLA","Saint-Laurent"
107,"SLA-357",13,"SLA","Saint-Laurent"
107,"SLA-357",13,"SLA","Saint-Laurent"
108,"SLA-359",13,"SLA","Saint-Laurent"
108,"SLA-359",13,"SLA","Saint-Laurent"
108,"SLA-359",13,"SLA","Saint-Laurent"
108,"SLA-359",13,"SLA","Saint-Laurent"
109,"SLA-360",13,"SLA","Saint-Laurent"
109,"SLA-360",13,"SLA","Saint-Laurent"
109,"SLA-360",13,"SLA","Saint-Laurent"
109,"SLA-360",13,"SLA","Saint-Laurent"
110,"SLA-361",13,"SLA","Saint-Laurent"
111,"SLE-301",12,"SLE","Saint-Léonard"
111,"SLE-301",12,"SLE","Saint-Léonard"
111,"SLE-301",12,"SLE","Saint-Léonard"
111,"SLE-301",12,"SLE","Saint-Léonard"
112,"SLE-103",12,"SLE","Saint-Léonard"
112,"SLE-103",12,"SLE","Saint-Léonard"
113,"SLE-104",12,"SLE","Saint-Léonard"
113,"SLE-104",12,"SLE","Saint-Léonard"
114,"SLE-105",12,"SLE","Saint-Léonard"
114,"SLE-105",12,"SLE","Saint-Léonard"
115,"SLE-106",12,"SLE","Saint-Léonard"
115,"SLE-106",12,"SLE","Saint-Léonard"
116,"SLE-107",12,"SLE","Saint-Léonard"
117,"SLE-108",12,"SLE","Saint-Léonard"
117,"SLE-108",12,"SLE","Saint-Léonard"
118,"VER-310",10,"VER","Verdun"
119,"IBI-301",8,"IBI","L'Île Bizard / Sainte-Geneviève"
119,"IBI-301",8,"IBI","L'Île Bizard / Sainte-Geneviève"
120,"S-O-82",19,"S-O","Sud-Ouest"
120,"S-O-82",19,"S-O","Sud-Ouest"
160,"WES",33,"WES","Ville de Westmount"
160,"WES",33,"WES","Ville de Westmount"
160,"WES",33,"WES","Ville de Westmount"
166,"CDN-105",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
166,"CDN-105",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
166,"CDN-105",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
167,"CDN-106",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
167,"CDN-106",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
168,"CDN-107",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
168,"CDN-107",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
169,"CDN-108",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
170,"CDN-109",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
170,"CDN-109",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
170,"CDN-109",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
171,"CDN-110",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
172,"MHM-208",21,"MHM","Mercier / Hochelaga / Maisonneuve"
172,"MHM-208",21,"MHM","Mercier / Hochelaga / Maisonneuve"
172,"MHM-208",21,"MHM","Mercier / Hochelaga / Maisonneuve"
173,"MTN-101",14,"MTN","Montréal-Nord"
174,"MTN-102",14,"MTN","Montréal-Nord"
174,"MTN-102",14,"MTN","Montréal-Nord"
175,"MTN-105",14,"MTN","Montréal-Nord"
175,"MTN-105",14,"MTN","Montréal-Nord"
176,"MTN-306",14,"MTN","Montréal-Nord"
176,"MTN-306",14,"MTN","Montréal-Nord"
177,"PMR-205",20,"PMR","Plateau Mont-Royal"
178,"VMA-109",18,"VMA","Ville-Marie"
179,"VMA-110",18,"VMA","Ville-Marie"
180,"VMA-111",18,"VMA","Ville-Marie"
181,"VMA-306",18,"VMA","Ville-Marie"
181,"VMA-306",18,"VMA","Ville-Marie"
181,"VMA-306",18,"VMA","Ville-Marie"
182,"VMA-307",18,"VMA","Ville-Marie"
182,"VMA-307",18,"VMA","Ville-Marie"
182,"VMA-307",18,"VMA","Ville-Marie"
339,"AHU-104",22,"AHU","Ahuntsic / Cartierville"
339,"AHU-104",22,"AHU","Ahuntsic / Cartierville"
339,"AHU-104",22,"AHU","Ahuntsic / Cartierville"
339,"AHU-104",22,"AHU","Ahuntsic / Cartierville"
339,"AHU-104",22,"AHU","Ahuntsic / Cartierville"
340,"AHU-105",22,"AHU","Ahuntsic / Cartierville"
340,"AHU-105",22,"AHU","Ahuntsic / Cartierville"
340,"AHU-105",22,"AHU","Ahuntsic / Cartierville"
340,"AHU-105",22,"AHU","Ahuntsic / Cartierville"
341,"AHU-106",22,"AHU","Ahuntsic / Cartierville"
341,"AHU-106",22,"AHU","Ahuntsic / Cartierville"
341,"AHU-106",22,"AHU","Ahuntsic / Cartierville"
341,"AHU-106",22,"AHU","Ahuntsic / Cartierville"
341,"AHU-106",22,"AHU","Ahuntsic / Cartierville"
342,"AHU-107",22,"AHU","Ahuntsic / Cartierville"
342,"AHU-107",22,"AHU","Ahuntsic / Cartierville"
342,"AHU-107",22,"AHU","Ahuntsic / Cartierville"
342,"AHU-107",22,"AHU","Ahuntsic / Cartierville"
343,"AHU-201",22,"AHU","Ahuntsic / Cartierville"
343,"AHU-201",22,"AHU","Ahuntsic / Cartierville"
343,"AHU-201",22,"AHU","Ahuntsic / Cartierville"
343,"AHU-201",22,"AHU","Ahuntsic / Cartierville"
344,"AHU-202",22,"AHU","Ahuntsic / Cartierville"
344,"AHU-202",22,"AHU","Ahuntsic / Cartierville"
344,"AHU-202",22,"AHU","Ahuntsic / Cartierville"
344,"AHU-202",22,"AHU","Ahuntsic / Cartierville"
345,"CDN-301A",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
346,"CDN-301B",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
347,"LAS-321",16,"LAS","LaSalle"
347,"LAS-321",16,"LAS","LaSalle"
347,"LAS-321",16,"LAS","LaSalle"
347,"LAS-321",16,"LAS","LaSalle"
348,"LAS-323",16,"LAS","LaSalle"
348,"LAS-323",16,"LAS","LaSalle"
348,"LAS-323",16,"LAS","LaSalle"
348,"LAS-323",16,"LAS","LaSalle"
349,"LAS-325",16,"LAS","LaSalle"
349,"LAS-325",16,"LAS","LaSalle"
349,"LAS-325",16,"LAS","LaSalle"
349,"LAS-325",16,"LAS","LaSalle"
350,"LAS-326",16,"LAS","LaSalle"
350,"LAS-326",16,"LAS","LaSalle"
350,"LAS-326",16,"LAS","LaSalle"
350,"LAS-326",16,"LAS","LaSalle"
351,"LAS-327",16,"LAS","LaSalle"
351,"LAS-327",16,"LAS","LaSalle"
351,"LAS-327",16,"LAS","LaSalle"
351,"LAS-327",16,"LAS","LaSalle"
352,"LAS-328",16,"LAS","LaSalle"
352,"LAS-328",16,"LAS","LaSalle"
352,"LAS-328",16,"LAS","LaSalle"
352,"LAS-328",16,"LAS","LaSalle"
353,"LAS-329",16,"LAS","LaSalle"
353,"LAS-329",16,"LAS","LaSalle"
353,"LAS-329",16,"LAS","LaSalle"
353,"LAS-329",16,"LAS","LaSalle"
354,"LAS-330",16,"LAS","LaSalle"
354,"LAS-330",16,"LAS","LaSalle"
354,"LAS-330",16,"LAS","LaSalle"
354,"LAS-330",16,"LAS","LaSalle"
355,"LAS-333",16,"LAS","LaSalle"
355,"LAS-333",16,"LAS","LaSalle"
355,"LAS-333",16,"LAS","LaSalle"
355,"LAS-333",16,"LAS","LaSalle"
356,"PMR-205A",20,"PMR","Plateau Mont-Royal"
356,"PMR-205A",20,"PMR","Plateau Mont-Royal"
356,"PMR-205A",20,"PMR","Plateau Mont-Royal"
356,"PMR-205A",20,"PMR","Plateau Mont-Royal"
357,"PMR-205B",20,"PMR","Plateau Mont-Royal"
357,"PMR-205B",20,"PMR","Plateau Mont-Royal"
357,"PMR-205B",20,"PMR","Plateau Mont-Royal"
357,"PMR-205B",20,"PMR","Plateau Mont-Royal"
358,"PRF-304A",11,"PRF","Pierrefonds / Roxboro"
358,"PRF-304A",11,"PRF","Pierrefonds / Roxboro"
358,"PRF-304A",11,"PRF","Pierrefonds / Roxboro"
358,"PRF-304A",11,"PRF","Pierrefonds / Roxboro"
359,"PRF-304B",11,"PRF","Pierrefonds / Roxboro"
359,"PRF-304B",11,"PRF","Pierrefonds / Roxboro"
359,"PRF-304B",11,"PRF","Pierrefonds / Roxboro"
359,"PRF-304B",11,"PRF","Pierrefonds / Roxboro"
360,"PRF-304C",11,"PRF","Pierrefonds / Roxboro"
360,"PRF-304C",11,"PRF","Pierrefonds / Roxboro"
360,"PRF-304C",11,"PRF","Pierrefonds / Roxboro"
360,"PRF-304C",11,"PRF","Pierrefonds / Roxboro"
361,"PRF-304D",11,"PRF","Pierrefonds / Roxboro"
361,"PRF-304D",11,"PRF","Pierrefonds / Roxboro"
361,"PRF-304D",11,"PRF","Pierrefonds / Roxboro"
361,"PRF-304D",11,"PRF","Pierrefonds / Roxboro"
362,"PRF-304E",11,"PRF","Pierrefonds / Roxboro"
362,"PRF-304E",11,"PRF","Pierrefonds / Roxboro"
362,"PRF-304E",11,"PRF","Pierrefonds / Roxboro"
362,"PRF-304E",11,"PRF","Pierrefonds / Roxboro"
363,"PRF-304F",11,"PRF","Pierrefonds / Roxboro"
363,"PRF-304F",11,"PRF","Pierrefonds / Roxboro"
363,"PRF-304F",11,"PRF","Pierrefonds / Roxboro"
363,"PRF-304F",11,"PRF","Pierrefonds / Roxboro"
364,"RDP-1042",17,"RDP","R.D.P. /  P.A.T."
365,"RDP-932",17,"RDP","R.D.P. /  P.A.T."
366,"RPP-101",23,"RPP","Rosemont / Petite-Patrie"
366,"RPP-101",23,"RPP","Rosemont / Petite-Patrie"
366,"RPP-101",23,"RPP","Rosemont / Petite-Patrie"
366,"RPP-101",23,"RPP","Rosemont / Petite-Patrie"
367,"RPP-102",23,"RPP","Rosemont / Petite-Patrie"
367,"RPP-102",23,"RPP","Rosemont / Petite-Patrie"
367,"RPP-102",23,"RPP","Rosemont / Petite-Patrie"
367,"RPP-102",23,"RPP","Rosemont / Petite-Patrie"
367,"RPP-102",23,"RPP","Rosemont / Petite-Patrie"
368,"RPP-103",23,"RPP","Rosemont / Petite-Patrie"
368,"RPP-103",23,"RPP","Rosemont / Petite-Patrie"
368,"RPP-103",23,"RPP","Rosemont / Petite-Patrie"
368,"RPP-103",23,"RPP","Rosemont / Petite-Patrie"
369,"RPP-104",23,"RPP","Rosemont / Petite-Patrie"
369,"RPP-104",23,"RPP","Rosemont / Petite-Patrie"
369,"RPP-104",23,"RPP","Rosemont / Petite-Patrie"
369,"RPP-104",23,"RPP","Rosemont / Petite-Patrie"
369,"RPP-104",23,"RPP","Rosemont / Petite-Patrie"
370,"RPP-201",23,"RPP","Rosemont / Petite-Patrie"
370,"RPP-201",23,"RPP","Rosemont / Petite-Patrie"
370,"RPP-201",23,"RPP","Rosemont / Petite-Patrie"
370,"RPP-201",23,"RPP","Rosemont / Petite-Patrie"
370,"RPP-201",23,"RPP","Rosemont / Petite-Patrie"
371,"RPP-202",23,"RPP","Rosemont / Petite-Patrie"
371,"RPP-202",23,"RPP","Rosemont / Petite-Patrie"
371,"RPP-202",23,"RPP","Rosemont / Petite-Patrie"
371,"RPP-202",23,"RPP","Rosemont / Petite-Patrie"
372,"RPP-203",23,"RPP","Rosemont / Petite-Patrie"
372,"RPP-203",23,"RPP","Rosemont / Petite-Patrie"
372,"RPP-203",23,"RPP","Rosemont / Petite-Patrie"
372,"RPP-203",23,"RPP","Rosemont / Petite-Patrie"
373,"S-O-301A",19,"S-O","Sud-Ouest"
373,"S-O-301A",19,"S-O","Sud-Ouest"
373,"S-O-301A",19,"S-O","Sud-Ouest"
373,"S-O-301A",19,"S-O","Sud-Ouest"
374,"S-O-301B",19,"S-O","Sud-Ouest"
374,"S-O-301B",19,"S-O","Sud-Ouest"
374,"S-O-301B",19,"S-O","Sud-Ouest"
374,"S-O-301B",19,"S-O","Sud-Ouest"
375,"SLE-302",12,"SLE","Saint-Léonard"
376,"VER-310A",10,"VER","Verdun"
376,"VER-310A",10,"VER","Verdun"
376,"VER-310A",10,"VER","Verdun"
376,"VER-310A",10,"VER","Verdun"
377,"VER-310B",10,"VER","Verdun"
377,"VER-310B",10,"VER","Verdun"
377,"VER-310B",10,"VER","Verdun"
377,"VER-310B",10,"VER","Verdun"
378,"ANJ-101",9,"ANJ","Anjou"
378,"ANJ-101",9,"ANJ","Anjou"
378,"ANJ-101",9,"ANJ","Anjou"
379,"ANJ-309",9,"ANJ","Anjou"
379,"ANJ-309",9,"ANJ","Anjou"
379,"ANJ-309",9,"ANJ","Anjou"
380,"ANJ-310",9,"ANJ","Anjou"
380,"ANJ-310",9,"ANJ","Anjou"
380,"ANJ-310",9,"ANJ","Anjou"
380,"ANJ-310",9,"ANJ","Anjou"
381,"ANJ-311",9,"ANJ","Anjou"
381,"ANJ-311",9,"ANJ","Anjou"
381,"ANJ-311",9,"ANJ","Anjou"
382,"ANJ-312",9,"ANJ","Anjou"
382,"ANJ-312",9,"ANJ","Anjou"
382,"ANJ-312",9,"ANJ","Anjou"
384,"RDP-101",17,"RDP","R.D.P. /  P.A.T."
384,"RDP-101",17,"RDP","R.D.P. /  P.A.T."
384,"RDP-101",17,"RDP","R.D.P. /  P.A.T."
385,"RDP-102",17,"RDP","R.D.P. /  P.A.T."
385,"RDP-102",17,"RDP","R.D.P. /  P.A.T."
385,"RDP-102",17,"RDP","R.D.P. /  P.A.T."
386,"RDP-103",17,"RDP","R.D.P. /  P.A.T."
386,"RDP-103",17,"RDP","R.D.P. /  P.A.T."
386,"RDP-103",17,"RDP","R.D.P. /  P.A.T."
387,"RDP-105",17,"RDP","R.D.P. /  P.A.T."
387,"RDP-105",17,"RDP","R.D.P. /  P.A.T."
387,"RDP-105",17,"RDP","R.D.P. /  P.A.T."
388,"RDP-106",17,"RDP","R.D.P. /  P.A.T."
388,"RDP-106",17,"RDP","R.D.P. /  P.A.T."
388,"RDP-106",17,"RDP","R.D.P. /  P.A.T."
388,"RDP-106",17,"RDP","R.D.P. /  P.A.T."
389,"RDP-107",17,"RDP","R.D.P. /  P.A.T."
389,"RDP-107",17,"RDP","R.D.P. /  P.A.T."
389,"RDP-107",17,"RDP","R.D.P. /  P.A.T."
389,"RDP-107",17,"RDP","R.D.P. /  P.A.T."
390,"RDP-201",17,"RDP","R.D.P. /  P.A.T."
390,"RDP-201",17,"RDP","R.D.P. /  P.A.T."
390,"RDP-201",17,"RDP","R.D.P. /  P.A.T."
391,"RDP-202",17,"RDP","R.D.P. /  P.A.T."
391,"RDP-202",17,"RDP","R.D.P. /  P.A.T."
391,"RDP-202",17,"RDP","R.D.P. /  P.A.T."
392,"RDP-203",17,"RDP","R.D.P. /  P.A.T."
393,"SLA-363",13,"SLA","Saint-Laurent"
393,"SLA-363",13,"SLA","Saint-Laurent"
393,"SLA-363",13,"SLA","Saint-Laurent"
393,"SLA-363",13,"SLA","Saint-Laurent"
394,"SLA-364",13,"SLA","Saint-Laurent"
394,"SLA-364",13,"SLA","Saint-Laurent"
