NO_AGENCE,NM_AGENCE,ADRESSE,VILLE,TELEPHONE,COD_POSTAL,COURRIEL,SITE_WEB,DT_CRE,STATUT,DTMAJ_STA
"011",Agence régionale de mise en valeur des forêts privées du Bas-Saint-Laurent,"570-L, rue Saint-Germain Est, bureau 103",Rimouski,418 721-0202,G5L 1G4,martin.lepage@agence-bsl.qc.ca,www.agence-bsl.qc.ca,1999-02-23,A,2024-04-04
"021",Agence régionale de mise en valeur des forêts privées du Saguenay,"3635, rue Panet ",Jonquière,418 542-5666 ,G7X 8T7,lavoie.m@spbsaglac.qc.ca,www.agencesforestieressaglac.com,1999-02-23,A,2022-04-11
"022",Agence régionale de mise en valeur des forêts privées du Lac-Saint-Jean,"3635, rue Panet ",Jonquière,418 542-5666 ,G7X 8T7,lavoie.m@spbsaglac.qc.ca,www.agencesforestieressaglac.com,1999-02-23,A,2022-04-11
"031",Agence des forêts privées de Québec 03,"3100, avenue du Bourg-Royal, bureau 140  ",Québec ,418 664-0003,G1C 5S7,charles@afpq03.ca,www.afpq03.ca,1999-02-23,A,2022-04-11
"041",Agence régionale de mise en valeur des forêts privées mauriciennes,"500, avenue Broadway – Local 210",Shawinigan,819 536-2442,G9N 1M3,jbussieres@agence-mauricie.qc.ca,www.agence-mauricie.qc.ca,1999-02-23,A,2022-04-11
"051",Agence de mise en valeur de la forêt privée de l'Estrie,"37, rue Craig Nord",Cookshire,819 875-1007,J0B 1M0,lbeausejour@abacom.com,www.agenceestrie.qc.ca ,1999-02-23,A,2021-06-01
"071",Agence des forêts privées de l'Outaouais,"363, montée de la Source, bureau 200",Cantley,819 827-0338,J8V 0G6,pcrocker@afpo.co,www.afpo.ca,1999-02-23,A,2023-08-29
"081",Agence régionale de mise en valeur des forêts privées du Témiscamingue,"21, rue Notre-Dame-de-Lourdes, bureau 209",Ville-Marie,819 629-2829,J9V 1X8,urb@mrctemiscamingue.qc.ca ,www.temiscamingue.net/foret_privee/,1999-02-23,A,2021-06-01
"082",Agence régionale de mise en valeur des forêts privées de l'Abitibi ,"700, avenue Dallaire, suite 170",Rouyn-Noranda,819 762-6009,J9X 4V9,mourad.saddem@arfpa.ca,www.arfpa.ca,1999-02-23,A,2022-04-11
"091",Agence de mise en valeur des forêts privées de la Côte-Nord,"26, rue de la Rivière, bureau 101",Les Escoumins,418 233-4398,G0T 1K0,ingforestier@mrchcn.qc.ca,,1999-02-23,A,2021-06-01
"111",Agence régionale de mise en valeur des forêts privées de la Gaspésie-Les-Îles,"172, boulevard Perron Est",New Richmond,418 392-6314,G0C 2B0,louis.gauthier@afogim.com,www.afogim.com,1999-02-23,A,2022-04-11
"121",Agence régionale de mise en valeur des forêts privées de la Chaudière,"233, boul. Frontenac Ouest, bureau 302",Thetford Mines,418 335-1112,G6G 6K2,mldeschenes@arfpc.ca,www.arfpc.ca,1999-02-23,A,2024-04-04
"122",Agence de mise en valeur des forêts privées des Appalaches,"1554, route 277, bureau 3",Lac-Etchemin,418 625-2100,G0R 1S0,jean-pierre.faucher@amvap.ca,www.amvap.ca ,1999-02-23,A,2021-06-01
"141",Agence régionale de mise en valeur des forêts privées de Lanaudière,"110, rue Beaudry Nord",Joliette,450 394-5251,J6E 6A5,bcouture@afplanaudiere.org,www.afplanaudiere.org/ ,1999-02-23,A,2021-06-01
"151",Agence régionale de mise en valeur des forêts privées des Laurentides,"110, rue Beaudry Nord",Joliette,450 394-5251,J6E 6A5,bcouture@afplanaudiere.org,www.foret-privee-laurentides.qc.ca,1999-02-23,A,2022-04-11
"161",Agence forestière de la Montérégie,"749, rue Principale",Cowansville,450 266-5402,J2K 1J8,clajeunesse@afm.qc.ca,www.afm.qc.ca,1999-02-23,A,2021-06-01
"171",Agence forestière des Bois-Francs,"227, rue Notre-Dame Est",Victoriaville,819 752-4951,G6P 4A2,guy.larochelle@afbf.qc.ca,www.afbf.qc.ca,1999-02-23,A,2021-06-01
