MODE_GEST,NO_GES_MGE,NM_GES_MGE,DT_CRE,STATUT,DTMAJ_STA
91,155,PARC DE LA COMMISSION CAPITALE NATIONALE (CANADA),2018-10-16,A,
93,042,MRNF,2019-12-11,A,
79,040,MRNF-Territoire,2019-10-11,A,
22,348,GESTION POLYSILVA (1998) INC.,2020-08-12,A,
22,349,PICCHIO INTERNATIONAL INC.,2020-08-12,A,
22,350,AGAM HOUSE LLC,2020-08-12,A,
22,351,FORESTIÈRE JACQUES-CARTIER INC.,2020-08-21,A,
22,352,GESTION DION ET FRERE INC.,2020-08-21,A,
90,254,NATIONS INNUS,2020-11-23,A,
80,051,MRNF-OR,2021-09-20,A,
10,051,MRNF-OR,2021-09-20,A,
96,151,AFFAIRES AUTOCHTONES ET DÉVELOP. NORD CANADA,2019-10-31,A,
36,253,NATIONS INUITS,2019-10-31,A,
26,251,NATIONS CRIS,2019-10-31,A,
26,252,NATIONS NASKAPIS,2019-10-31,A,
04,051,MRNF-OR,2019-11-07,A,
05,050,MRNF-Forêts,2019-11-07,A,
64,051,MRNF-OR,2019-11-07,A,
65,050,MRNF-Forêts,2019-11-07,A,
80,310,MUNICIPALITÉ,2020-11-18,A,
81,310,MUNICIPALITÉ,2020-11-18,A,
03,050,MRNF-Forêts,2021-12-16,A,
02,050,MRNF-Forêts,2002-09-10,A,2016-01-07
57,053,MELCCFP,2021-10-26,A,
22,300,SOLIFOR BLOC A-RPF S.E.C.,2022-09-21,A,
22,299,GESTION FORESTIÈRE SOLIFOR ANTICOSTI S.E.C.,2022-09-23,A,
06,050,MRNF-Forêts,1998-07-12,A,2016-01-07
07,050,MRNF-Forêts,1998-07-12,A,2016-01-07
07,056,UNIVERSITÉ LAVAL,1998-07-12,A,
07,057,UNIVERSITÉ DU QUÉBEC À CHICOUTIMI,1998-07-12,A,
07,059,CÉGEP DE SAINT-FÉLICIEN,1998-07-12,A,
07,062,CÉGEP DE RIMOUSKI,1998-07-12,A,
07,063,COMMISSION SCOLAIRE DU FLEUVE-ET-DES-LACS,1998-07-12,A,
07,064,COMMISSION SCOLAIRE DES MONTS-ET-MARÉES,1998-07-12,A,
07,065,COMMISSION SCOLAIRE DU PAYS-DES-BLEUETS,1998-07-12,A,
07,066,COMMISSION SCOLAIRE DE L'ÉNERGIE,1998-07-12,A,
07,067,COMMISSION SCOLAIRE PIERRE NEVEU,1998-07-12,A,
07,068,COMMISSION SCOLAIRE HARRICANA,1998-07-12,A,
07,069,CÉGEP DE L'ABITIBI-TÉMISCAMINGUE,1998-07-12,A,
07,070,UQAT,1998-07-12,A,
07,071,COMMISSION SCOLAIRE DE L'ESTUAIRE,1998-07-12,A,
07,072,CÉGEP DE BAIE-COMEAU,1998-07-12,A,
07,073,CÉGEP DE LA GASPÉSIE ET DES ÎLES,1998-07-12,A,
07,074,RÉGION ADMINISTRATIVE DE MONTRÉAL,1998-07-12,A,
