"Plan d’eau","Point d’échantillonage","Localisation","Longitude","Latitude"
"Bassin de La Prairie","BLAP-31R","Sous le pont Mercier, à 2 mètres de la rive de Montréal.","-73,6524195408177","45,4207922554623"
"Bassin de La Prairie","BLAP-34L","Du côté est de l'entrée du canal de l'Aqueduc de la ville de Montréal, à 1 mètre de la rive.","-73,6310730657282","45,4160694056471"
"Bassin de La Prairie","BLAP-38R","Dans le parc des rapides de Lachine, affluent nord du bassin artificiel, en face de la 8e Avenue, sous le premier ponceau.","-73,59296046923","45,4275065350059"
"Bassin de La Prairie","BLAP-48R","En aval des rapides du Sault Normand, prélevé depuis le pont de la Concorde, à environ 50 mètres de la rive de Montréal.","-73,5420559025735","45,5051493322"
"Émissaire de la STEP","EMIS-(-1)P","À 1 km en amont du point de rejet de la STEP-Montréal, sous la ligne électrique, à 300m de l'île au Veau (côté île aux Vaches).","-73,4747666669265","45,6567829741594"
"Émissaire de la STEP","EMIS-(-1)RS","À 1 km en amont du point de rejet, sous la ligne électrique, à 100m de la rive des îles de Varennes (côté rive sud), dans le chenal de la voie maritime (panache du CERS)","-73,4693896852094","45,6560334117911"
"Émissaire de la STEP","EMIS-0P","En aval de l'île aux Vaches, en bordure de la Voie maritime, au point de rejet des 'eaux traitées de la STEP-Montréal, près de la bouée M-144","-73,464316257236","45,6659506424019"
"Émissaire de la STEP","EMIS-16P","N  îles de Verchères à 1km mètres en amont du chenal Saint-Pierre, à 450 mètres de la rive de l'île Bouchard","-73,3904666666663","45,7827166666593"
"Émissaire de la STEP","EMIS-16RN","À 16 km en aval du point de rejet de la STEP-Montréal, au nord des îles de Verchères à 1km en amont du chenal Saint-Pierre, à 100 mètres de la rive nord.","-73,3947162997377","45,7868832471546"
"Émissaire de la STEP","EMIS-1P1","À 1,2 km en aval du point de rejet, à la hauteur du phare FG85, au centre du panache, à environ 50 m de la rive de l'île Sainte-Thérèse.","-73,4584292753754","45,6760409870629"
"Émissaire de la STEP","EMIS-26P","À 26 km en aval du point de rejet de la STEP-Montréal, en aval des îles de Verchères, dans le chenal des petites embarcations, près de la bouée MS29.","-73,2876396321475","45,8506312040564"
"Émissaire de la STEP","EMIS-26RS","En aval des îles de Verchères, à l'extérieur de la bordure sud de la voie maritime, à 10 mètres en aval de la bouée M51","-73,272273935794","45,8468307489781"
"Émissaire de la STEP","EMIS-30RN","À 30 km en aval du point de rejet de la STEP-Montréal, en aval des îles de Verchères, à la hauteur de la bouée MP41, à 350 mètres de la rive nord","-73,2745199617389","45,8770376921112"
"Émissaire de la STEP","EMIS-40P","À 40 km en aval du point de rejet de la STEP-Montréal, sous la ligne de transport d'électricité, en aval de Lanoraie, au centre du fleuve.","-73,1818702481625","45,9964161637459"
"Émissaire de la STEP","EMIS-40RN","À 40 km en aval du point de rejet de la STEP-Montréal, sous la ligne de transport d'électricité,  en aval de Lanoraie, à 250 mètres de la rive nord.","-73,1857331958679","45,997199886249"
"Émissaire de la STEP","EMIS-40RS","À 40 km en aval du point de rejet de la STEP-Montréal, sous la ligne de transport d'électricité, en aval de Lanoraie, à 250 mètres de la rive sud.","-73,1770839558883","45,9957833483906"
"Émissaire de la STEP","EMIS-4P1","À 4 km en aval du point de rejet de la STEP-Montréal, en amont de l'île Evers, extrémité ouest (côté île Sainte-Thérèse) du panache de la STEP-Montréal.","-73,4574166666666","45,6990999999927"
"Émissaire de la STEP","EMIS-4P2","À 4 km en aval du point de rejet de la STEP-Montréal, en amont de l'île Evers, au centre du panache de la STEP-Montréal.","-73,4558333383061","45,6986833337066"
"Émissaire de la STEP","EMIS-4RS","À 4 km en aval du point de rejet de la STEP-Montréal, en amont de l'île Evers, hors du panache du panache de la STEP-Montréal, dans la Voie maritime, près de la bouée M-129.","-73,447260011598","45,6960132018205"
"Émissaire de la STEP","EMIS-5.2P","À 5 km en aval du point de rejet de la STEP-Montréal, à la hauteur de l'extrémité amont de l'île Evers, près de la rive.","-73,4555991346248","45,7023228156104"
"Émissaire de la STEP","EMIS-6P1","À 6 km en aval du point de rejet de la STEP-Montréal, entre les îles Evers et à l'Àigle, à 50 m de la rive de l'île Evers.","-73,4542007387266","45,7072014911172"
"Émissaire de la STEP","EMIS-6P2","À 6 km en aval du point de rejet de la STEP-Montréal, entre les îles Evers et Deslauriers, à 30 mètres de la rive de l'île Evers.","-73,4493327911493","45,7079663297252"
"Émissaire de la STEP","EMIS-6RN","À 6 km en aval du point de rejet, entre la rive nord et l'île aux Bois Blanc, près bouée MV-19","-73,4658833236496","45,7146666700128"
"Émissaire de la STEP","EMIS-7RS","À 7 km en aval du point de rejet de la STEP-Montréal, à l'extrémité aval de l'île Deslauriers (en aval de la colonie de goélands).","-73,4407510197536","45,7162831731822"
"Émissaire de la STEP","EMIS-9.5P1","À 9,5 km en aval du point de rejet de la STEP-Montréal, dans la fosse du côté ouest (côté Repentigny) de la première île Robinet, en bordure de la rive.","-73,4321335488971","45,7360666094694"
"Émissaire de la STEP","EMIS-9.5P2","À 9,5 km en aval du point de rejet de la STEP-Montréal, du côté est (côté rive sud) de la première île Robinet, en bordure de la rive.","-73,4300500000167","45,7353499999864"
"Émissaire de la STEP","EMIS-9.5RN","En aval de OER-Repentigny au nord de EMIS-9.5P1","-73,4386832838667","45,7361499998338"
"Émissaire de la STEP","EMIS-9.5RS","À 9,5 km en aval du point de rejet de la STEP-Montréal, hors du panache, au nord de la Voie maritime, en aval de l'île Bellegarde.","-73,4208326405005","45,7341336416583"
"Émissaire de la STEP","EMIS-M78P1","Au sud de l'île Bouchard en aval de l'île aux boeufs, au large de la bouée MS68, près de la plage","-73,3181019921801","45,8145395799569"
"Émissaire de la STEP","EMIS-MA7","Près de la bouée MA-7, au centre du chenal des îles de Verchères","-73,3709166671404","45,7855833331189"
"Fleuve Saint-Laurent","FSL-49L","Côté Montréal, en aval du pont de la Concorde, à l'extrémité sud-est du parc de la pointe","-73,5422623808682","45,5079367502531"
