ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice_PCI,Etat_PCI,Indice_IRI,Etat_IRI
1500740,"100e, avenue","Marion, rue","Sainte-Maria-Goretti, terrasse",100.4893354,Rivière-des-Prairies-Pointe-aux-Trembles,9/16/2020,68,Bon,5.44000006,Moyen
1624431,"100e, avenue","Utilités publiques, rue","Marion, rue",68.72415041,Rivière-des-Prairies-Pointe-aux-Trembles,9/16/2020,75,Bon,4.55999994,Moyen
1500739,"100e, avenue","Bureau, rue","Utilités publiques, rue",64.69502458,Rivière-des-Prairies-Pointe-aux-Trembles,9/16/2020,66,Bon,5.30000019,Moyen
1605185,"10e, avenue","Saint-Joseph, boulevard","Saint-Louis, rue",204.2517852,Lachine,9/23/2020,94,Excellent,3.46000004,Bon
1605199,"10e, avenue","Saint-Louis, rue","Notre-Dame, rue",148.6345254,Lachine,9/23/2020,89,Excellent,4.36000013,Moyen
1605207,"10e, avenue","Notre-Dame, rue","William-MacDonald, rue",225.4303623,Lachine,9/23/2020,55,Moyen,5,Moyen
1605215,"10e, avenue","William-MacDonald, rue","Victoria, rue",36.22659877,Lachine,9/23/2020,36,Mauvais,11.94999981,Très mauvais
1605263,"10e, avenue","Victoria, rue","Saint-Antoine, rue",321.6713198,Lachine,9/23/2020,39,Mauvais,6.78000021,Mauvais
1605293,"10e, avenue","Saint-Antoine, rue","Provost, rue",204.8528553,Lachine,9/23/2020,93,Excellent,5.46999979,Moyen
1605312,"10e, avenue","Provost, rue","Sherbrooke, rue",334.0540457,Lachine,9/23/2020,30,Très mauvais,5.8499999,Mauvais
1070498,"10e, avenue","Deville, rue","Robert, boulevard",274.3496705,Villeray-Saint-Michel-Parc-Extension,11/9/2020,94,Excellent,1.50999999,Excellent
1070499,"10e, avenue","Robert, boulevard","Denis-Papin, rue",274.140504,Villeray-Saint-Michel-Parc-Extension,11/9/2020,70,Bon,1.10000002,Excellent
1622127,"11e, avenue","Jean-Brillant, avenue","9e, avenue",92.53140706,Pierrefonds-Roxboro,9/18/2020,94,Excellent,2.96000004,Bon
1621840,"11e, avenue","9e, avenue","9e, rue",144.5982151,Pierrefonds-Roxboro,9/18/2020,95,Excellent,3.9000001,Moyen
1621841,"11e, avenue","9e, rue","11e, rue",161.8593892,Pierrefonds-Roxboro,9/18/2020,92,Excellent,3.31999993,Bon
1621842,"11e, avenue","11e, rue","12e, rue",81.01854447,Pierrefonds-Roxboro,9/18/2020,86,Excellent,4.57999992,Moyen
1621843,"11e, avenue","12e, rue","13e, rue",81.1070318,Pierrefonds-Roxboro,9/18/2020,78,Bon,4.36000013,Moyen
1621844,"11e, avenue","13e, rue","14e, rue",81.81133641,Pierrefonds-Roxboro,9/18/2020,78,Bon,3.8499999,Moyen
1605304,"14e, avenue","Provost, rue","Sherbrooke, rue",331.6469623,Lachine,9/23/2020,49,Mauvais,4.69999981,Moyen
4000460,"14e, avenue","Sherbrooke, rue","Duff Court, rue",107.5006103,Lachine,9/23/2020,100,Excellent,2.29999995,Bon
1080469,"14e, avenue","Crémazie Est, boulevard","Jarry Est, rue",237.6204988,Villeray-Saint-Michel-Parc-Extension,11/9/2020,60,Moyen,2.52999997,Bon
1081103,"14e, avenue","Crémazie Est, boulevard","Crémazie Est, boulevard",51.0731984,Villeray-Saint-Michel-Parc-Extension,11/9/2020,74,Bon,5.63000011,Moyen
