NO_PERMISPUBLIC,NO_PERMISPARCEDIFICE,NO_ID_PRO,TITRE_PRODUCTION,ANNULATION,TYPE_EMPLACEMENT,EMPLACEMENT,RUE_DE,RUE_A,NOM_PARC,RAISON_OCCUPATION,DUREE_DE,DUREE_A,NOM_ARROND,X,Y,LATITUDE,LONGITUDE
,17170,24445,GÉNÉRAL 2019,No,parc,parvis et intérieur du chalet,,,Parc Mont-Royal,TOURNAGE - équipe réduite,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
,17308,24445,GÉNÉRAL 2019,No, ,"Trottoirs rue Jeanne-Mance entre l'avenue du Mont Royal Ouest et l'avenue Villeneuve Ouest, en face du 243 Mt Royal O - contingnence météo le 28/10/19",,,Terrain TROTTOIRS DES RUES,"Tournage équipe légère, installation d'éléments de décoration sur le trottoir, remises en état juste après le tournage.",,,Le Plateau-Mont-Royal,,,,
105246,,24445,Général --Face à Face 2019,No,rue,Alexandre-DeSève,Sainte-Catherine,Maisonneuve,,Obstruer une chaussée.,2019-10-02,2019-10-02,Ville-Marie,300551.95999,5042400.6,45.52151868547461,-73.55437934266465
,17126,24445,GÉNÉRAL 2019,No, ,"1. Aire de jeux  2. trottoir rue Mentana 3. trottoir rue de Brébeuf Tournage prévu le lundi 19 août, contingence météo le 20 août.",,,Parc Laurier et trottoirs autour,Tournage court-métrage étudiant (équipe 10 personnes),,,Indéfini,,,,
,16849,24445,GÉNÉRAL 2019,No,parc,Circulation et stationnement,,,Parc Mont-Royal,Repérage,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
102405,,24445,Grand Prix Judo de Montréal (Aréna Maurice Richard),No,avenue,Pierre-De Coubertin,Théodore,Viau,,,2019-07-04,2019-07-07,Mercier-Hochelaga-Maisonneuve,301173.49787259137,5046887.538529531,45.561897144130775,-73.5464564456594
,17116,24445,GÉNÉRAL 2019,No,parc,Près du chalet du belvédère Kondiaronk selon l'entente avec M.Mathieu Grenier régisseur 514-868-0845,,,Parc Mont-Royal,"Filmer une ""criée"" de 30 minutes pour un court-métrage documentaire. Équipe de 4 personnes, équipement léger.",,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
,17219,24445,GÉNÉRAL 2019,No,Trottoir,Trottoir devant les 3636 et 3632 rue Adam + trottoir du tunnel de Rouen (3060 rue de Rouen),,,Terrain TROTTOIRS DES RUES,Tournage d'un documentaire - équipe réduite,,,Mercier-Hochelaga-Maisonneuve,,,,
,16874,24445,GÉNÉRAL 2019,No,parc,Prises de vues autour de la Maison Smith.,,,Parc Mont-Royal,Tournage d'une entrevue à la Maison Smith (selon l'entente avec les Amis de la Montagne). Prises de vues des environs. Équipe réduite et équipement léger.,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
,16875,24445,GÉNÉRAL 2019,No, ,Entrevue dans le parc Émilie Gamelin (2 personnes) et prises de vues autour du métro Berri-UQAM,,,"Parc Trottoirs, parcs et espaces publics de Montréal",Tournage documentaire en équipe réduite et équipement léger.,,,Ville-Marie,,,,
,17239,24445,GÉNÉRAL 2019,No, ,En général dans le parc Maisonneuve,,,"Parc Trottoirs, parcs et espaces publics de Montréal",Filmer un personnage qui court pieds nus. Film étudiant. Équipe réduite et équipement léger.,,,Rosemont-La Petite-Patrie,,,,
,17019,24445,GÉNÉRAL 2019,No,parc,belvédère Kondiaronk : prestation musicale au piano public,,,Parc Mont-Royal,Tournage,,,Ville-Marie,297595.4662500005,5040160.590440773,45.50133809812691,-73.59219181094399
,16836,24445,GÉNÉRAL 2019,No,Aréna,"Sur la glace et autour, corridors et vestiaires : une équipe réduite filme un court métrage sur l'équipe de hockey sonore Les Hiboux",,,Édifice Francis-Bouillon,TOURNAGE TÉLÉVISUEL,,,Mercier-Hochelaga-Maisonneuve,,,,
,17082,24445,GÉNÉRAL 2019,No, ,"Autours de rue Marie-Morin, sur les trottoirs",,,Édifice TROTTOIRS DU VIEUX-MONTRÉAL,Tournage court-métrage,,,Ville-Marie,,,,
,17242,24445,GÉNÉRAL 2019,No,parc,"Skate parc, terrains de basketball et jeux pour enfants, périmètre de l'étang. Contigence météo le dimanche 6 octobre.",,,Parc Jarry,Tournage d'une vidéo promotionnelle pour Centraide (environ 3 heures de tournage),,,Villeray-Saint-Michel-Parc-Extension,294792.7376427217,5043937.74,45.53529183808908,-73.6281332585887
,17191,24445,GÉNÉRAL 2019,No, ,On the sidewalk in front of Oscar's old home 3021 Rue Delisle and 3007 Church.,,,Parc SIDEWALKS AND PUBLIC PLACES OF MONTRÉAL,Filming documentary report. Small crew of 15 persons.,,,Le Sud-Ouest,,,,
,17189,24445,GÉNÉRAL 2019,No, ,Sur les trottoirs autour du parc.,,,Parc Place du Canada et Square Dorchester,Vox pop équipe réduite et équipement léger.,,,Ville-Marie,,,,
,17118,24445,GÉNÉRAL 2019,No, ,Dans les sentiers du boisé,,,Parc Bois des Pères,"tournage d'un message publicitaire pour le NPD M.Singh. Petite équipe de 6 personnes, caméra à l'épaule, sans éclairage ni son",,,Rosemont-La Petite-Patrie,,,,
,17268,24445,GÉNÉRAL 2019,No,Bibliothèque,En général dans l'édifice selon l'entente avec Mme France Genest (514) 872-8231,,,Édifice Marc-Favreau,Tournage entrevue journalistique équipe de 3 personnes.,,,Rosemont-La Petite-Patrie,,,,
,17359,24445,GÉNÉRAL 2019,No, ,Belvédère Kondiaronk,,,"Parc du MtRoyal / trottoirs,parcs et lieux publics",Filmer le passage de Mercure devant le soleil avec 2 télescopes. Équipe réduite et équipement léger.,,,Ville-Marie,,,,
,16976,24445,GÉNÉRAL 2019,No, ,"Ruelle situé au nord de Mont-Royal, entre boul. Saint-Laurent et rue Clark",,,Terrain RUELLES DE MONTRÉAL,PHOTOGRAPHIES,,,Le Plateau-Mont-Royal,,,,
,16791,24463,Vox-pop Lumino,No, ,Square Dorchester et trottoirs environnants,,,Parc Square Dorchester,Tournage vox pop - petite équipe,,,Ville-Marie,,,,
