numero_entente,numero_appel_offre,numero_fournisseur,nom_fournisseur,statut_entente,date_debut_entente,date_fin_entente,description_entente,montant_total_convenu
"G939756","12269","64048","SENTINEL CANADA","Fermé",2014-09-14,2018-02-23,"MARO,A,FOURNITURE DE LUBRIFIANTS,HUILES,LIQUIDES ET GRAISSES POUR ÉQUIPEMENTS MOTORISÉS ET APPAREILS (INVENTAIRES)",158559.09
"G985421","12832","128077","GROUPE TRIUM INC.","Fermé",2014-09-14,2016-02-29,"VETR,Z,FOURNITURE ET LIVRAISON DE POLOS POUR LES COLS BLEUS",38167.75
"G847622","12533","566838","UNI-SELECT CANADA INC.","Fermé",2014-09-14,2016-04-17,"MARO,A,FEDERAL SIGNAL,FOURNITURE DE PIÈCES D'ÉCLAIRAGES,SIGNALISATIONS ET ACCESSOIRES DE MARQUE FEDERAL SIGNAL POUR VÉHICULES ET APPAREIL (INVENTAIRE)",38927.21
"G939438","12844","405668","GLOBOCAM (ANJOU) INC. - GLOBOCAM","Fermé",2014-09-14,2017-03-11,"MARO,A,FREIGHTLINER ET STERLING,FOURNITURE DE PIECES AUTHENTIQUES DE REMPLACEMENT POUR CAMION (INVENTAIRE)",22521.23
"G932677","13047","116146","WOLSELEY  CANADA INC.","Fermé",2014-09-14,2017-01-26,"TPAE,A,FOURNITURE DE SELLETTES DE SERVICE ET MANCHONS DE RÉPARATION",362031.08
"G939753","12269","116222","SAFETY-KLEEN CANADA INC.","Fermé",2014-09-14,2017-04-06,"MARO,A,VERT,FOURNITURE D'HUILES ET LUBRIFIANTS POUR ÉQUIPEMENTS MOTORISÉS (INVENTAIRE)",1047055.42
"G876547",,"127102","ANTONIO MOREAU (1984)LTEE","Fermé",2014-09-14,2016-01-19,"VETR,A,FOURNITURE DE BOTTES DE CAOUTCHOUC COBALT ET FEUTRES DE REMPLACEMENT",32776.87
"G867007","12884","127102","ANTONIO MOREAU (1984)LTEE","Fermé",2014-09-14,2016-01-19,"VETR,A,FOURNITURE DE BOTTES DE CAOUTCHOUC",28933.27
"G847647","11379","124333","G.A. BOULET INC.","Fermé",2014-09-14,2016-03-21,"VETR,Z,SIM,SOULIERS DE SORTIE",99377.51
"1002711","13735","135184","SURPRENANT ET FILS ENR","Fermé",2014-10-30,2017-10-29,"VETR,A,SIM,PANTALONS DE TRAVAIL (CARGO) ET BERMUDAS",1533434.26
"1003512","13215","115862","EQUIPEMENTS PLANNORD LTEE","Fermé",2014-11-11,2016-09-30,"MARO,A,PRINOTH,BOMBARDIER,PIECES AUTHENTIQUES DE REMPLACEMENT POUR TRACTEUR-CHENILLES (INVENTAIRE)",389680
"1003987","13274","137748","PSP","Fermé",2014-11-25,2016-11-07,"SESA,A,FOURNITURE ET LIVRAISON DE PRODUITS DE PREMIERS SOINS",40000
