no_civiq,Rue,Rue_De,Rue_A,Nom_parc,Sigle,Nom_arrond,Invent,Coord_X,Coord_Y,Injections,Longitude,Latitude
9805,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,292946.888,5046548.5,2018,-73.65182879,45.55874714
9825,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,292923.836,5046556.5,2018,-73.65212426,45.55881874
9810,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,292944.121,5046531.5,2018,-73.65186383,45.55859412
9905,"Sacré-Coeur, avenue du","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,292839.265,5046594,2018,-73.65320847,45.55915472
10432,"Lille, rue de","Fleury Est, rue","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,293044.306,5048354.5,2018,-73.65062438,45.57499972
10360,"Papineau, avenue","Fleury Est, rue","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,292753.585,5047616.394,2018,-73.65433115,45.56835306
9905,"Papineau, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293163.532,5047406.449,2018,-73.64907419,45.56647088
10330,"D'Iberville, rue","Fleury Est, rue","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,293238,5048431.5,2018,-73.64814443,45.57569583
10115,"Fabre, rue","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292969.342,5047326.5,2018,-73.65156000,45.56574820
9222,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",,FRAM,Ahuntsic-Cartierville,R,293512.156,5046045.5,2018,-73.64457658,45.55423038
9342,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",Limite,,FRAM,Ahuntsic-Cartierville,R,293365.125,5046119,2018,-73.64646149,45.55488936
1405,"Louvain Est, rue de","Antoine-Déat, rue","André-Grasset, avenue",,FRPE,Ahuntsic-Cartierville,R,293533.373,5046872.5,2018,-73.64432388,45.56167233
1444,"Louvain Est, rue de","Antoine-Déat, rue","Papineau, avenue / Voie latérale Ouest",,FRPE,Ahuntsic-Cartierville,R,293628.861,5046973.5,2018,-73.64310301,45.56258270
9362,"Joseph-Mélançon, avenue","Joseph-Mélançon, avenue",Limite,,FRAM,Ahuntsic-Cartierville,R,293347.9479,5046127.7287,2018,-73.64668171,45.55496762
1621,"François-H.-Prévost, rue","Ernest-Savignac, rue","Aurèle-Allard, rue",,FRAMAP,Ahuntsic-Cartierville,R,294668.75,5046282.5,2018,-73.62976768,45.55638077
8521,"Pierre-Dupaigne, rue","Jacques-Casault, rue","Pierre-Dupaigne, place",,FRPE,Ahuntsic-Cartierville,R,294739.063,5045912,2018,-73.62885945,45.55304791
10265,"Olympia, boulevard","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292591.125,5046888,2018,-73.65639429,45.56179592
10371,"Lille, rue de","Fleury Est, rue","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,293119.91,5048331,2018,-73.64965511,45.57478953
10265,"Olympia, boulevard","Sauriol Est, rue","Fleury Est, rue",,FRPE,Ahuntsic-Cartierville,R,292602.493,5046883.651,2018,-73.65624856,45.56175698
10635,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,293018.282,5048885,2018,-73.65097061,45.57977287
0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,293138.623,5048817.078,2018,-73.64942695,45.57916371
0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,293115.272,5048830.704,2018,-73.64972649,45.57928593
0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,293054.984,5048866.427,2018,-73.65049987,45.57960636
0,"Vianney, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,293154.186,5048807.821,2018,-73.64922731,45.57908068
10455,"Taché, rue","Taché, place","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,292502.287,5047315,2018,-73.65754303,45.56563663
10355,"Taché, rue","Taché, place","Taché, place",,FRPE,Ahuntsic-Cartierville,R,292591.9871,5047262.6285,2018,-73.65639260,45.56516695
10415,"Taché, rue","Taché, place","Taché, place",,FRPE,Ahuntsic-Cartierville,R,292536.754,5047294,2018,-73.65710096,45.56544827
0,"Taché, rue","Taché, place","Prieur Est, rue",,FRPE,Ahuntsic-Cartierville,R,292466.214,5047317,2018,-73.65800520,45.56565399
0,"Saint-Hubert, rue","Gouin Est, boulevard","Park Stanley, avenue",,FRAMAP,Ahuntsic-Cartierville,R,291659.539,5046553.5,2018,-73.66831876,45.55876903
10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291883.812,5046442.5,2018,-73.66544309,45.55777441
10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291881.111,5046442,2018,-73.66547767,45.55776986
10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291876.2682,5046443.2281,2018,-73.66553973,45.55778082
10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291878.5336,5046441.8765,2018,-73.66551068,45.55776870
10520,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291869.635,5046448,2018,-73.66562482,45.55782364
10587,"Saint-Hubert, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPEPA,Ahuntsic-Cartierville,R,291937.322,5046437.5,2018,-73.66475755,45.55773041
10415,"Saint-Hubert, rue","Fleury Est, rue","Prieur Est, rue",,FRPEPA,Ahuntsic-Cartierville,R,292155.109,5046346,2018,-73.66196557,45.55691105
4030,"Plouffe, rue","Luc-Rochefort, rue","Jean-Massé, rue",,FRPESU,Ahuntsic-Cartierville,R,289132.065,5043796.373,2018,-73.70060523,45.53390726
9865,"Saint-Hubert, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,292691.245,5046121,2018,-73.65509278,45.55489596
9705,"Saint-Hubert, rue",Viaduc,"Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292890.264,5046039.5,2018,-73.65254171,45.55416603
9831,"Saint-Hubert, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,292721.398,5046110.5,2018,-73.65470631,45.55480201
8988,"Saint-Hubert, rue","Émile-Journault, avenue","Legendre Est, rue",,FRPESU,Ahuntsic-Cartierville,R,293730.094,5045677,2018,-73.64177687,45.55091800
8996,"Saint-Hubert, rue","Émile-Journault, avenue","Legendre Est, rue",,FRPESU,Ahuntsic-Cartierville,R,293724.156,5045679.5,2018,-73.64185298,45.55094040
8800,"Saint-Hubert, rue","Marcel-Cadieux, rue","Émile-Journault, avenue",,FRPEMS,Ahuntsic-Cartierville,R,294021.041,5045559.037,2018,-73.63804800,45.54986109
8832,"Saint-Hubert, rue","Marcel-Cadieux, rue","Émile-Journault, avenue",,FRPE,Ahuntsic-Cartierville,R,293976.875,5045577,2018,-73.63861404,45.55002204
8712,"Saint-Hubert, rue","Crémazie Est, boulevard / Voie Nord","Marcel-Cadieux, rue",,FRPEMS,Ahuntsic-Cartierville,R,294177.156,5045496.5,2018,-73.63604726,45.54930076
10675,"De Saint-Firmin, rue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPEMS,Ahuntsic-Cartierville,R,292599.563,5048091,2018,-73.65631622,45.57262102
10000,"De Saint-Firmin, rue","Sauvé Est, rue","Sauriol Est, rue",,FRPE,Ahuntsic-Cartierville,R,293265.5,5047672,2018,-73.64777415,45.56886209
10680,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRAM,Ahuntsic-Cartierville,R,291867.194,5046634.5,2018,-73.66566102,45.55950178
10570,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292019.67,5046571,2018,-73.66370625,45.55893320
10652,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291898.965,5046621.5,2018,-73.66525371,45.55938539
10660,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291890.725,5046624.5,2018,-73.66535934,45.55941223
10624,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291934.77,5046606.5,2018,-73.66479468,45.55925108
10548,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292045.125,5046560,2018,-73.66337990,45.55883469
10560,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292032.475,5046565.5,2018,-73.66354208,45.55888394
10506,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292099.25,5046535.5,2018,-73.66268597,45.55861522
10642,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291908.968,5046617,2018,-73.66512546,45.55934508
10667,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291880.43,5046643,2018,-73.66549170,45.55957851
10635,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,291924.972,5046624,2018,-73.66492065,45.55940837
10521,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRAMMA,Ahuntsic-Cartierville,R,292082.056,5046559,2018,-73.66290682,45.55882636
10529,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292065.773,5046566,2018,-73.66311558,45.55888905
10513,"Saint-Charles, avenue","Prieur Est, rue","Henri-Bourassa Est, boulevard",,FRPE,Ahuntsic-Cartierville,R,292093.686,5046554.5,2018,-73.66275774,45.55878608
9905,"Saint-Charles, avenue","Sauvé Est, rue","Sauriol Est, rue",,FRAMAP,Ahuntsic-Cartierville,R,292680.599,5046306.5,2018,-73.65523373,45.55656497
9740,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292924.033,5046191,2018,-73.65211287,45.55552986
9796,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292842.726,5046225,2018,-73.65315511,45.55583441
9715,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292953.501,5046193,2018,-73.65173548,45.55554835
9745,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292923.609,5046205.5,2018,-73.65211865,45.55566032
9746,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292915.94,5046194.5,2018,-73.65221661,45.55556121
9762,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292895.26,5046203,2018,-73.65248170,45.55563734
9774,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292878.267,5046210,2018,-73.65269952,45.55570004
9797,"Saint-Charles, avenue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,292850.956,5046236.5,2018,-73.65304998,45.55593803
10510,"Séguin, rue","Prieur Est, rue","Struan, rue",,FRPE,Ahuntsic-Cartierville,R,292662.813,5047831,2018,-73.65549939,45.57028257
10510,"Séguin, rue","Prieur Est, rue","Struan, rue",,FRPE,Ahuntsic-Cartierville,R,292673.25,5047825.5,2018,-73.65536553,45.57023326
1797,"Sauvé Est, rue","Francheville, rue","Papineau, avenue",,FRAMKL,Ahuntsic-Cartierville,R,293248.281,5047262.5,2018,-73.64798507,45.56517700
1775,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPEMS,Ahuntsic-Cartierville,R,293221.898,5047195,2018,-73.64832146,45.56456917
1795,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPE,Ahuntsic-Cartierville,R,293233.424,5047227,2018,-73.64817456,45.56485731
1670,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,Ahuntsic-Cartierville,R,293171.0469,5047022.0306,2018,-73.64896877,45.56301190
1670,"Sauvé Est, rue","Curotte, avenue","Garnier, rue",,FRPEMS,Ahuntsic-Cartierville,R,293175.1396,5047033.2258,2018,-73.64891661,45.56311270
1755,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPE,Ahuntsic-Cartierville,R,293210.941,5047166.5,2018,-73.64846115,45.56431254
1765,"Sauvé Est, rue","Garnier, rue","Francheville, rue",,FRPEMS,Ahuntsic-Cartierville,R,293218.767,5047189,2018,-73.64836142,45.56451513
