detenteur,no permis
156560 Canada Inc. O/A Weed Man,2023-0173
178001 Canada inc. (Groupe Nicky),2023-0147
6358098 Canada inc. Golf Exécutif,2023-0154
9005-6664 Québec inc. (Éliminex 3000),2023-0146
9170-5921 Québec inc. (Vertdure et V Extermination West-Island),2023-0195
9187-4230 Québec inc. (Michel Plamondon),2023-0151
9227-5379 Qc inc - Ecobalance,2023-0192
9255-1852 Québec Inc (Faunex extermination),2023-0188
A à Z Services extermination Inc. ,2023-0217
ABC Gestion Parasitaire/ ABC Gestion Anti-Parasitaire Inc.,2023-0177
Abiosphère Extermination,2023-0166
AJS Extermination,2023-0145
Aménagement paysager Uni-vert (151960 Canada inc.),2023-0140
Arbrevert Bernard Morin,2023-0164
Arrelle Extermintation,2023-0184
Axtion Extermination (9323-0977 Québec Inc.),2023-0144
Bio-Contrôle Arboricole,2023-0132
Cambium Phyto Technologie,2023-0205
Club de golf  Elm Ridge,2023-0220
Club de Golf de l'Île de Montréal (2004) Inc.,2023-0163
Club de golf Meadowbrook,2023-0218
Club de golf méropolitain Anjou inc.,2023-0216
Club de golf Royal Montréal,2023-0142
Club de Golf Saint-Raphaël (1998) inc.,2023-0197
Comité Écologique du Grand Montréal,2023-0169
Compagnie d'Extermination Abell,2023-0123
Dana Smith Nettoyage Spécial,2023-0186
Daniel Bujold (Experasitaire),2023-0130
Del Degan, Massé et ass. inc (Groupe DDM),2023-0215
Développement Immobilis,2023-0124
EDB Extermination (9474-6880 Québec inc.),2023-0120
Effigis Géo-Solutions Inc.,2023-0170
EGP Extermination,2023-0214
Entrepreneur paysagiste Strathmore (1997) ltée,2023-0181
Entreprise Vert et Blanc SB,2023-0122
Entretien Arboricole Marc Côté,2023-0161
Entretien McGill inc.,2023-0129
Entretien Professionnel S.G. inc.,2023-0202
Expert Extermination,2023-0201
Experts verts,2023-0178
Exterminateurs Associés MG,2023-0150
Extermination 4 As ,2023-0182
Extermination Astro,2023-0125
Extermination Centrale (Central Extermination),2023-0139
Extermination complète Bugs Inc.,2023-0176
Extermination E.J.,2023-0221
Extermination Gagné Inc.,2023-0141
Extermination Inspex Inc.,2023-0204
Extermination Jocelyn Robert,2023-0212
Extermination Lasalle,2023-0219
Extermination SM,2023-0152
Extermination Techni-Bec,2023-0127
Gestion Parasitaire du Québec Inc.,2023-0191
Gilles Maltais,2023-0213
Groupe Arbo-ressources,2023-0159
Groupe C'est Vert,2023-0180
Groupe DP Extermination,2023-0128
Groupe Surprenant,2023-0135
Groupe Vivarium,2023-0153
Guillaume Grégoire (Grégoire Gestion Parasitaire),2023-0143
Insight Pet Solutions (permis 2022-0083),2023-0133
Jardin Idéal,2023-0210
Jonathan Gagnon Calderon/Embellissements Calderon,2023-0172
Les Entreprises Extermination S-D. Inc.,2023-0156
Les Entreprises M. Marion Inc.,2023-0198
Les entreprises Maheu Ltée - Gestion parasitaire,2023-0162
Les Entrreprises Marc Leduc Inc.,2023-0211
Les jardins Claude Théorêt enr./Théorêt et fils maître maraichers, inc.,2023-0207
Les Verdures Riopelle,2023-0187
M MTL  Extermination,2023-0149
M. Elias Saliba,2023-0190
Magdi Hanna,2023-0206
Maheu&Maheu Gestion parasitaire,2023-0157
Maverick Extermination,
MBM Extermination,2023-0175
Michael Sabourin,2023-0189
Mission Extermination,2023-0136
Monsieur Gazon,2023-0196
Nutrite Pelouse Idéale (9314-2123 Québec inc.),2023-0121
Oakes Entretien,2023-0167
Orkin Canada,2023-0168
Paysagement Communautaire/ 9095-6103 Québec Inc,2023-0193
Pelouse Herbu,2023-0137
Pépinière Jasmin ,2023-0160
Plan Extermination (Exterminatek),2023-0155
Pro-Green (9326-2384 Québec Inc.),2023-0194
RMB extermination inc,2023-0165
Service  d'entretien de pelouses Pousse vert nc.,2023-0134
Service d'Extermination Mont-Royal,2023-0131
Services Biopelouse/Hicham Jaouali,2023-0171
Services Bioverts/ Samir Hacene,2023-0179
Services des Espaces Verts (TRUGREEN),2023-0148
Services Écogazon inc.,2023-0183
Services et consultations Evergreen  inc.,2023-0203
Solution Cimex Inc.,2023-0185
Sylfor Inc.,2023-0209
Syndicat des Copropriétaires de Tropique Nord,2023-0208
Terminix Canada - Québec,2023-0174
Vanny Siv (Jesse et James Extermination),2023-0138
VerTdure (Laval),2023-0199
Verts Par Experts,2023-0126
Vextermination Laval,2023-0200
Vision Gazon,2023-0158
