detenteur,no_permis
Compagnie d'extermination Abell inc.,2022-0001
Les Entreprises d'Extermination Maheu Ltée,2022-0002
Les Entreprises Extermination S-D Inc.,2022-0003
Extermination Express inc,2022-0004
AJS Extermination inc.,2022-0005
Experts Verts,2022-0006
Vertdure,2022-0007
Vextermination,2022-0008
Terminix Canada,2022-0009
Weed Man,2022-0010
Groupe Yves Surprenant,2022-0011
Arbrevert Bernard Morin inc.,2022-0012
Astro Extermination,2022-0013
Abiosphère Extermination,2022-0014
M MTL Extermination inc.,2022-0015
Extermination Inspex inc.,2022-0016
Faunex,2022-0017
Oakes Entretien et Associés,2022-0018
Groupe Arbo-Ressources,2022-0019
2866-1767 Québec inc.,2022-0020
R.M.B. Extermination inc.,2022-0021
Verts par Experts Inc.,2022-0022
ABC Gestion Parasitaire,2022-0023
178001 Canada Inc. / Groupe Nicky,2022-0024
Extermination SM,2022-0025
Daniel Extermination,2022-0026
Entretien professionnel SG,2022-0027
Therma-Pro Solutions Inc.,2022-0028
Thibeault Daniel/Extermination L.P,2022-0029
Dana Smith Nettoyage Spécialisé Inc.,2022-0030
Entreprise Vert et Blanc SB inc.,2022-0031
Adalia Group inc.,2022-0032
Plan Extermination inc.,2022-0033
Les Services d'Extermination Mont-Royal inc.,2022-0034
9349-9283 Qc inc - Control X Pest Solutions,2022-0035
Extermination Centrale/134833 Canada Limitée,2022-0036
Les développements Immobilis,2022-0037
Extermination Lasalle Inc.,2022-0038
Les Verdures Riopelle/Sebastien Riopelle,2022-0039
Services Éco-Extermination Inc.,2022-0040
Magdi Hanna (Biocontrôle),2022-0041
Services Biovert,2022-0042
Groupe C'est Vert inc.,2022-0043
Michel Jubinville,2022-0044
Les Jardins Claude Théorêt Enrg,2022-0045
Les Entreprises M. Marion inc.,2022-0046
Yves Perreault/Extermination intégrée,2022-0047
Groupe Vivarium Inc.,2022-0048
Entrepreneur paysagiste Strathmore,2022-0049
Nutrite Pelouse Idéale,2022-0050
Club de Golf Métropolitain Anjou Inc.,2022-0051
Marc Marc Côté ou Entretien Arboricole Marc Côté,2022-0052
6358098 Canada inc. - Golf Exécutif Montréal,2022-0053
Extermination Gagné Inc.,2022-0054
151960 Canada Inc./Aménagement Paysager Uni-vert,2022-0055
Le Mûrier Inc.,2022-0056
Extermination 4 As inc.,2022-0057
Entretien McGill Inc.,2022-0058
Maheu & Maheu Inc.,2022-0059
Judelande Magloire,2022-0060
Daniel Bujold/Experasitaire,2022-0061
9326-2384 Québec Inc. (Pelouse Pro / Pro Green),2022-0062
Extermination Sam Bug,2022-0063
9285-4488 Québec inc. (M. Gazon),2022-0064
Entretien Chouinard Inc,2022-0065
A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A.A. A.A.A.A. Expert Extermination Inc./ Expert extermination inc,2022-0066
Extermination Falcon Inc,2022-0067
3090-3678 Quebec inc. - Arrosage Ultra Vert,2022-0068
Services ÉcoGazon Inc.,2022-0069
Exterminateurs Associés MG inc.,2022-0070
Parc Commémoratif de Montréal Inc.,2022-0071
Syndicat des copropriétaires des Tropiques Nord,2022-0072
Sylfor Inc.,2022-0073
Ecolab Co.,2022-0074
Gestion parasitaire du Québec Inc.,2022-0075
Extermination Complète Bugs Inc.,2022-0076
Extermination Techni-Bec Inc.,2022-0077
"Vanny, Siv (Jesse & James Extermination)",2022-0078
Club de Golf de l'île de Montréal (2004) Inc.,2022-0079
Les Services et Consultations Evergreen Inc.,2022-0080
Bio-Contrôle Arboricole,2022-0081
Entretien de pelouse Greensummer Inc.,2022-0082
Insight Pest Solutions QC Corp.,2022-0083
Vertdure West-Island,2022-0084
Effigis Géo-Solutions Inc.,2022-0085
Écobalance (9227-5379 QUÉBEC INC.),2022-0086
Elias Saliba-Entretien paysager Elias Saliba,2022-0087
Gilles Maltais,2022-0088
Jonathan Gagnon Calderon (Les Embellissements Calderon),2022-0089
Golf St-Raphaël,2022-0090
9005-6664 Québec Inc. - Eliminex 3000,2022-0091
Services d'entretien de pelouses Pousse Vert Inc.,2022-0092
Avantage Extermination,2022-0093
9323-0977 Québec Inc.,2022-0094
Omar Curiel (Budget Extermination),2022-0095
G.D.G. Environnement Ltée,2022-0096
Quadra Environnement Inc.,2022-0097
Extermination E. J.,2022-0098
Groupe B&C Extermination Inc.,2022-0099
Mission Extermination (9335-9404 Quebec inc),2022-0100
Club de golf Royal Montréal Ltée,2022-0101
Carlo Sauro,2022-0102
T3 Circle,2022-0103
Golf Elm Ridge,2022-0104
Jardin Idéal,2022-0105
Club de Golf Meadowbrook Ltée,2022-0106
Les Pépinières Jasmin,2022-0107
Institut de Recherche en Biologie Végétale (IRBV),2022-0108
Le Repos Saint-François d'Assise,2022-0109
9219-2301Qc Inc (Atomix Extermination),2022-0110
9095-6103 Inc. Paysagement Communautaire,2022-0111
Pelouse Herbu Inc.,2022-0112
MBM Gestion Parasitaire,2022-0113
Boisvert Gestion Parasitaire,2022-0114
ESPACESVERTS,2022-0115
Louis-Philippe Piché,2022-0116
Entreprises Del-Alpha Inc.,2022-0117
9454-9110 Québec Inc. (Ibrahim Ouedraogo),2022-0118
