Numero_Fournisseur,Nom_Fournisseur,Autre_Nom,Num_Entreprise_Quebec,Structure_Juridique,Nombre_Employes,Nombre_Employes_Montreal,Politique_Dans_Dev_Durable,Politique_Approv_Responsable,Entreprise_Start_Up,Fournisseur_RTU,Entreprise_Economie_Sociale,Lieu_Arrondissement,Lieu_Ville,Lieu_Etat_Province,Lieu_Pays,Lieu_Zone_Achat
"121442","FORMULES MUNICIPALES ET COMMERCIALES INC."," ","1146334520","*Société par actions/Corporations/Compagnie","28",,"O","N","N","N","N",,"SAINT-HUBERT","QC","CA","Québec hors Conseil d'agglomération"
"106557","GARAGE P. VENNE INC.",,"1143979681","*Société par actions/Corporations/Compagnie","29","2","O","O","N","N","N",,"REPENTIGNY","QUEBEC","CA","Québec hors Conseil d'agglomération"
"149530","CLAUDE C. DE LERY COMMUNICATION ET GESTION CONSEIL",,,"*Entreprise individuelle / Travailleur autonome","1",,"N","N","N","N","N",,"ST-SAUVEUR","QC","CA","Québec hors Conseil d'agglomération"
"149582","PAYSAGISTE ROYAL SUPREME INC.",,"1148238588","*Société par actions/Corporations/Compagnie","10","10","N","N","N","N","N","Rivière-des-Prairies–Pointe-aux-Trembles","MONTREAL","QC","CA","Place d'affaires à Montréal"
"149742","TELE-EGOUT INC","NEQ 1143811660","1143811660","*Société par actions/Corporations/Compagnie","7","2","N","N","N","N","N",,"LAVAL","QC","CA","Québec hors Conseil d'agglomération"
"149621","ENVIRONNEMENT P.S.L. INC.",,"1141339110","*Société par actions/Corporations/Compagnie","40",,"N","N","N","N","N",,"DELSON","QC","CA","Québec hors Conseil d'agglomération"
"149949","ISABEL COULOMBE",,"0000000NA","*Entreprise individuelle / Travailleur autonome","1",,"N","N","N","N","N",,"BOUCHERVILLE","QC","CA","Québec hors Conseil d'agglomération"
"121778","COOP INTERFACE","COOPERATIVE DE TRAVAIL INTERFACE","1148084917","*Coopérative","5","5","N","N","N","N","N","Le Plateau-Mont-Royal","MONTREAL","QC","CA","Place d'affaires à Montréal"
"123831","GATEWAY TICKETING SYSTEMS INC.",,"000000NON","*Société par actions/Corporations/Compagnie","99","0","N","N","N","N","N",,"CALGARY","AB","CA","Canada mais hors Québec"
"126180","REFRIGERATION YVAN ALLISON","9076-6759 QUEBEC INC.","1148513634","*Société par actions/Corporations/Compagnie","18","6","O","N","N","N","N",,"VAUDREUIL-DORION","QC","CA","Québec hors Conseil d'agglomération"
