Numero_Fournisseur,Nom_Fournisseur,Autre_Nom,Num_Entreprise_Quebec,Structure_Juridique,Nombre_Employes,Nombre_Employes_Montreal,Politique_Dans_Dev_Durable,Politique_Approv_Responsable,Entreprise_Start_Up,Fournisseur_RTU,Entreprise_Economie_Sociale,Lieu_Arrondissement,Lieu_Ville,Lieu_Etat_Province,Lieu_Pays,Lieu_Zone_Achat
"121442","FORMULES MUNICIPALES ET COMMERCIALES INC."," ","1146334520","*Société par actions/Corporations/Compagnie","28",,"O","N","N","N","N",,"SAINT-HUBERT","QC","CA","Québec hors Conseil d'agglomération"
"106557","GARAGE P. VENNE INC.",,"1143979681","*Société par actions/Corporations/Compagnie","29","2","O","O","N","N","N",,"REPENTIGNY","QUEBEC","CA","Québec hors Conseil d'agglomération"
"149530","CLAUDE C. DE LERY COMMUNICATION ET GESTION CONSEIL",,,"*Entreprise individuelle / Travailleur autonome","1",,"N","N","N","N","N",,"ST-SAUVEUR","QC","CA","Québec hors Conseil d'agglomération"
"149582","PAYSAGISTE ROYAL SUPREME INC.",,"1148238588","*Société par actions/Corporations/Compagnie","10","10","N","N","N","N","N","Rivière-des-Prairies–Pointe-aux-Trembles","MONTREAL","QC","CA","Place d'affaires à Montréal"
"149742","TELE-EGOUT INC","NEQ 1143811660","1143811660","*Société par actions/Corporations/Compagnie","7","2","N","N","N","N","N",,"LAVAL","QC","CA","Québec hors Conseil d'agglomération"
"126180","REFRIGERATION YVAN ALLISON","9076-6759 QUEBEC INC.","1148513634","*Société par actions/Corporations/Compagnie","18","6","O","N","N","N","N",,"VAUDREUIL-DORION","QC","CA","Québec hors Conseil d'agglomération"
"145002","EXPEDITIONS SUR LES RAPIDES DE LACHINE LIMITEE"," ","1143588219","*Société par actions/Corporations/Compagnie","25","25","N","N","N","N","N","Ville-Marie","MONTREAL","QC","CA","Place d'affaires à Montréal"
"145031","SOUDURE ST-MICHEL INC.",,"1142878298","*Société par actions/Corporations/Compagnie",,,"N","N","N","N","N",,"L'ASSOMPTION","QC","CA","Québec hors Conseil d'agglomération"
"119309","9028-3870 QUEBEC  INC.",,"1145275542","*Société par actions/Corporations/Compagnie","20","20","N","N","N","N","N","Anjou","ANJOU","QC","CA","Place d'affaires à Montréal"
"11759","A.C.D.O. ASSOCIATION CANADIENNE DES DONS D'ORGANES",,"1144648574","*Organisme à  but non lucratif",,,"N","N","N","N","N",,"ST-JEAN-SUR-RICHELIEU","QC","CA","Québec hors Conseil d'agglomération"
