OBJECTID,ARRONDISSEMENT,NBR_PLA,X,Y,ID_STA,JURIDICTION,EMPLACEMENT,LOCATION,HEURES,HOURS,BOROUGH,NBR_PLA_I,Note_FR,Note_EN,Longitude,Latitude
1,LaSalle,150,292122,5032097.01861536,1,Municipale,"55, av. Dupras","55, av. Dupras",23h à 7h,11 p.m to 7 a.m,LaSalle,150,,,-73.66202325,45.42869228
2,Le Plateau-Mont-Royal,90,299335,5043043.01538533,2,Municipale,"3815, av. Calixa-Lavallée","3815, av. Calixa-Lavallée",22h à 7h,10 p.m to 7 a.m,Le Plateau-Mont-Royal,90,,,-73.56996486,45.52728302
3,Le Plateau-Mont-Royal,70,299138,5043732.02190475,3,Municipale,"4375, rue Cartier","4375, rue Cartier",22h à 7h,10 p.m to 7 a.m,Le Plateau-Mont-Royal,70,,,-73.5724947,45.53348133
4,Mercier - Hochelaga-Maisonneuve,485,300900,5047006.01798932,4,Municipale,"3000, rue Viau","3000, rue Viau",20h à 8h,8 p.m to 8 a.m,Mercier - Hochelaga-Maisonneuve,485,,,-73.54996124,45.56295403
5,Outremont,21,295683,5042541.0169204,5,Municipale,"Opposé du 940, av. Outremont","In face of 940, av. Outremont",21h à 7h,9 p.m to 7 a.m,Outremont,21,,,-73.61670853,45.52272763
6,Outremont,9,296066,5042596.02223083,6,Municipale,"Nord du 779, av. de l'Épée","North of 779, av. de l'Épée",21h à 7h,9 p.m to 7 a.m,Outremont,9,,,-73.61180673,45.52322744
7,Outremont,9,295917,5042529.01576176,7,Municipale,"Sud du 832, av. Bloomfield","South of 832, av. Bloomfield",21h à 7h,9 p.m to 7 a.m,Outremont,9,,,-73.61371288,45.52262267
8,Outremont,13,296348,5042413.01456255,8,Municipale,Sud de l'avenue de l'Épée,South of avenue de l'Épée,21h à 7h,9 p.m to 7 a.m,Outremont,13,,,-73.60819366,45.52158413
9,Outremont,15,296314,5042382.02157036,9,Municipale,"Nord du 620, av. de l'Épée","North of 620, av. de l'Épée",21h à 7h,9 p.m to 7 a.m,Outremont,15,,,-73.60862835,45.52130485
10,Outremont,10,296282,5042299.01355644,10,Municipale,"Sud du 628, av. Bloomfield","South of 628, av. Bloomfield",21h à 7h,9 p.m to 7 a.m,Outremont,10,,,-73.60903653,45.52055751
11,Outremont,18,296183,5042105.01482703,11,Municipale,"Ouest du 1335, av. Bernard","West of 1335, av. Bernard",21h à 7h,9 p.m to 7 a.m,Outremont,18,,,-73.61030037,45.5188106
12,Outremont,19,297242,5041977.02247014,12,Municipale,"Ouest du 451, av. Edouard-Charles","West of 451, av. Edouard-Charles",21h à 7h,9 p.m to 7 a.m,Outremont,19,,,-73.59674295,45.51767118
13,Outremont,10,297156,5042026.01720029,13,Municipale,"Sud du 5126, av. Durocher","South of 5126, av. Durocher",21h à 7h,9 p.m to 7 a.m,Outremont,10,,,-73.59784463,45.51811117
14,Saint-Léonard,40,298223,5050187.01509541,14,Municipale,Côté sud à l'ouest du Boul. Langelier,"South side, West of Boul. Langelier",18h à 7h,6 p.m to 7 a.m,Saint-Léonard,40,,,-73.5842968,45.59155749
15,Saint-Léonard,84,297474,5049141.01411032,15,Municipale,Côté nord à l'ouest de la rue Du Cap,"North side, West of rue Du Cap",18h à 7h,6 p.m to 7 a.m,Saint-Léonard,84,,,-73.59388064,45.58213771
16,Saint-Léonard,32,298232,5048974.01798785,16,Municipale,Rue De Lisieux,Rue De Lisieux,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,32,,,-73.58416514,45.58064265
17,Saint-Léonard,50,298268,5049103.02044226,17,Municipale,Boul. Lacordaire et rue Jean-Talon,Boul. Lacordaire and rue Jean-Talon,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,50,,,-73.58370542,45.58180377
18,Saint-Léonard,100,297318,5049643.02257621,18,Municipale,Boul. Lacordaire entre Des Galets et Robert,Boul. Lacordaire between Des Galets and Robert,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,100,,,-73.59588739,45.58665328
19,Saint-Léonard,49,297553,5049464.01529414,19,Municipale,Par boul. Lacordaire ou par la rue Collerette,By boul. Lacordaire or rue Collerette,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,49,,,-73.59287322,45.58504507
20,Saint-Léonard,31,296640,5050129.01949628,20,Municipale,Entre les boul. Lacordaire et Viau,Between boul. Lacordaire and Viau,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,31,,,-73.60458456,45.59101882
21,Saint-Léonard,16,296083,5049305.0199441,21,Municipale,Côté est au sud du boul. Lavoisier,"East side, North of boul. Lavoisier",18h à 7h,6 p.m to 7 a.m,Saint-Léonard,12,,,-73.61170865,45.58359748
22,Saint-Léonard,9,298323,5049963.02347037,22,Municipale,Entre les rues de la Salette et Louis-Vanier,Between rue de la Salette and Louis-Vanier,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,9,,,-73.58301204,45.58954281
23,Saint-Léonard,91,298243,5049911.0184496,23,Municipale,Coin boul. Métropolitain et rue Louis-Vanier,Corner boul. Métroplitain and rue Louis-Vanier,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,91,,,-73.58403663,45.58907415
24,Le Sud-Ouest,735,296781,5033939.01644914,24,Stationnement de Montréal,"Parc Angrignon, sur le boul. des Trinitaires au nord du boul. De La Vérendrye à l'angle de la rue Lacroix","Parc Angrignon, boul. des Trinitaires, North of boul. De La Vérendrye, at the corner of rue Lacroix",18h à 7h,6 p.m to 7 a.m,Le Sud-Ouest,735,,,-73.60251243,45.44533649
25,Rosemont - La Petite-Patrie,31,296871,5044018.01951609,25,Stationnement de Montréal,Rue Saint-André entre la rue Beaubien et la rue Bellechasse,Rue Saint-André between rue Beaubien and rue Bellechasse,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,31,Sauf places réservées,Except reserved spaces,-73.60152485,45.53603275
26,Rosemont - La Petite-Patrie,23,296785,5044126.01994288,26,Stationnement de Montréal,Rue Beaubien entre la rue Saint-André et la rue Boyer,Rue Beaubien between rue Saint-André and rue Boyer,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,23,Sauf places réservées,Except reserved spaces,-73.60262777,45.53700359
27,Rosemont - La Petite-Patrie,27,298943,5045468.01950485,27,Stationnement de Montréal,8e Avenue entre la rue Dandurand et la rue Masson,8e Avenue between rue Dandurand and rue Masson,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,27,,,-73.57501214,45.54910087
28,Rosemont - La Petite-Patrie,100,296600,5044226.01959725,28,Stationnement de Montréal,Rue Boyer entre la rue Beaubien et la rue Saint-Zotique,Rue Boyer between rue Beaubien and rue Saint-Zotique,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,100,,,-73.6049981,45.53790128
29,Rosemont - La Petite-Patrie,20,295923,5044319.01857574,29,Stationnement de Montréal,Rue Saint-Vallier entre la rue Jean-Talon et la rue Bélanger,Rue Saint-Vallier between rue Jean-Talon and rue Bélanger,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,20,,,-73.61366851,45.53872983
30,Ville-Marie,61,299418,5040876.01617462,30,Stationnement de Montréal,De Maisonneuve entre Bleury et Jeanne-Mance,De Maisonneuve between Bleury and Jeanne-Mance,21h à 7h,9 p.m to 7 a.m,Ville-Marie,61,,,-73.5688785,45.50778413
31,Ville-Marie,121,296908,5039858.01789303,31,Stationnement de Montréal,Remembrance sur le Mont-Royal,Remembrance on Mount Royal,21h à 7h,9 p.m to 7 a.m,Ville-Marie,121,,,-73.600984,45.49859986
32,Ville-Marie,435,297426,5040202.02110447,32,Stationnement de Montréal,Remembrance sur le Mont-Royal (Maison Smith),Remembrance on Mount Royal (Smith House),21h à 7h,9 p.m to 7 a.m,Ville-Marie,435,,,-73.59436121,45.50170098
33,Saint-Léonard,134,297347,5048196.02287712,33,Municipale,Coin boul. Métropolitain et rue Colbert,Corner boul. Métroplitain and rue Colbert,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,134,,,-73.59549379,45.57363305
34,Saint-Léonard,16,297200,5050581.02313451,34,Municipale,Côté sud entre les boul. Lacordaire et Langelier,South side between boul. Lacordaire and Langelier,18h à 7h,6 p.m to 7 a.m,Saint-Léonard,16,,,-73.59741422,45.59509238
35,Rosemont - La Petite-Patrie,19,296976,5043948.02275833,35,Stationnement de Montréal,Entre la rue Beaubien Est et la rue Bellechasse,between rue Beaubien Est and rue Bellechasse,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,19,,,-73.60017919,45.53540405
36,Rosemont - La Petite-Patrie,15,297150,5043470.01660972,36,Stationnement de Montréal,Boulevard Rosemont entre la rue Saint-Denis et la rue Saint-Vallier,Boulevard Rosemont between rue Saint-Denis and rue Saint-Vallier,21h à 7h,9 p.m to 7 a.m,Rosemont - La Petite-Patrie,15,Côté ouest seulement. Section horaire,West side only. Hourly spaces,-73.59794397,45.53110477
37,LaSalle,130,294688,5031275.01925628,37,Municipale,"707, 75e Avenue","707, 75e Avenue",23h à 7h,11 p.m to 7 a.m,LaSalle,130,Section horaire,Hourly spaces,-73.62921364,45.4213373
38,Outremont,7,296080,5042616.01416093,38,Municipale,"Nord du 780, av. Querbes","North of 780, av. Querbes",21h à 7h,9 p.m to 7 a.m,Outremont,7,,,-73.61162787,45.5234075
