Numero_secteur,Nom_secteur,Numero_categorie_emplois,Nom_categorie_emplois,Numero_corps_emplois,Titre_corps_emplois,Numero_classe,Titre_classe,Numero_echelon,Date_application,Type_taux,Taux_$ 
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Minimum,2019-04-01,Annuel,122843
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Maximum,2019-04-01,Annuel,157239
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Minimum,2016-04-01,Annuel,114010
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Maximum,2016-04-01,Annuel,148130
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Minimum,2017-04-01,Annuel,119518
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Maximum,2017-04-01,Annuel,152983
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Minimum,2018-04-01,Annuel,121908
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Maximum,2018-04-01,Annuel,156043
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Minimum,2015-03-31,Annuel,112325
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,1,,Maximum,2015-03-31,Annuel,145941
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Minimum,2019-04-01,Annuel,109779
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Maximum,2019-04-01,Annuel,140517
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Minimum,2016-04-01,Annuel,107662
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Maximum,2016-04-01,Annuel,131073
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Minimum,2017-04-01,Annuel,105756
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Maximum,2017-04-01,Annuel,135368
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Minimum,2018-04-01,Annuel,107871
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Maximum,2018-04-01,Annuel,138075
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Minimum,2015-03-31,Annuel,106071
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,2,,Maximum,2015-03-31,Annuel,129136
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Minimum,2019-04-01,Annuel,98105
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Maximum,2019-04-01,Annuel,125574
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Minimum,2016-04-01,Annuel,96084
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Maximum,2016-04-01,Annuel,116973
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Minimum,2017-04-01,Annuel,94379
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Maximum,2017-04-01,Annuel,120805
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Minimum,2018-04-01,Annuel,96267
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Maximum,2018-04-01,Annuel,123221
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Minimum,2015-03-31,Annuel,94664
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,3,,Maximum,2015-03-31,Annuel,115244
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,4,,Minimum,2019-04-01,Annuel,87671
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,4,,Maximum,2019-04-01,Annuel,112219
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,4,,Minimum,2016-04-01,Annuel,85743
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,4,,Maximum,2016-04-01,Annuel,104388
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,4,,Minimum,2017-04-01,Annuel,84225
1,Fonction publique,10,Cadres,630,PERSONNEL D'ENCADREMENT,4,,Maximum,2017-04-01,Annuel,107808
