Numéro,Département/Collection,Collection  ,Catégorie,Objet,Artiste,Titre,Date,Lieu de production,Culture,Matériaux,Dimensions,Nombre objets,Sujet,description,Lien web vers image
CE.2008.01,Art ancien (des origines à 1900),Collection d'étude,Photographie,Carte cabinet,"Mallette, Napoléon P.",Portrait d'homme,vers 1900,"Montréal (Québec), Canada",Canadienne; Québécoise,Épreuve à la gélatine argentique,"16,7 x 10,8 cm (carton); 14,1 x 10 cm (image)",1,Portrait,"Costumes civils accessoires cravate, vêtements chemise gilet redingote; Personnages groupes humains jeune homme, portrait en buste de trois quarts, personnages allégoriques au verso personnifiant la Peinture (palette) et la Gloire (couronne de laurier); Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/CE.2008.01_IN1.jpg
CE.2009.02,Art ancien (des origines à 1900),Collection d'étude,Photographie,Photographie,Studio Notman,"La Résidence de Napoléon Bourassa située aux 92-94, rue Saint-Denis, à Montréal",1917,"Montréal (Québec), Canada",Canadienne; Québécoise,Épreuve à la gélatine argentique,"20 x 24,5 cm",1,Architecture,"Architecture et génie aménagements extérieurs poteau électrique, détails architectures façades fenêtres frontons impostes porche portes balcon rampe volets toitures cheminée corniche pignons, résidentielle maison de type « conciergerie » bâtie par et pour Napoléon Bourassa (artiste peintre, sculpteur, etc.) avec son atelier à l’arrière, travaux publics trottoir, ville; Plantes arbres feuillus; Objets façonnés représentation objets d'art reliefs groupe allégorique illustrant La Peinture et la Sculpture (avec un profil de Louis-Joseph Papineau), sculpté par Louis-Philippe Hébert d’après ses dessins; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/CE.2009.02_IN1.jpg
1934.101,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Caron, Paul","Vieil Hôtel Rasco, rue Saint-Paul à Montréal",1929,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"76,5 x 102,6 cm",1,Scène urbaine,"Costumes civils accessoires chaussures bottes couvre-chefs chapeaux, vêtements jupe de dessus manteaux; Architecture et génie aménagements extérieurs borne-fontaine, détails architecturaux façades fenêtres portes fondation pierres d'angle entablement toitures cheminée lucarnes, commerciale et industrielle hôtel Rasco boutique et magasin, résidentielle maison, travaux publics rue Saint-Paul, ville; Transports terrestres voitures à traction animale traîneaux; Personnages groupes humains hommes femmes; Animaux mammifères chevaux avec couvertures; Géographie physique phénomènes naturels neige, saison : hiver; Objets façonnés contenants panier sacs; Outils et équipement instruments aratoires attelages d'animaux; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.101_IN1.JPG
1934.102,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Caron, Paul","Maisons rue Saint-Vincent, Montréal",vers 1928,"Montréal (Québec), Canada",Canadienne; Québécoise,Aquarelle sur papier,"36,5 x 50 cm",1,Architecture; Scène urbaine,"Costumes civils accessoires couvre-chefs chapeaux, vêtements pantalons vestes robe; Architecture et génie détails architecturaux fenêtres façades cheminées murs coupe-feu portes escalier galerie, résidentielle tambour maisons en rangée, travaux publics rue Saint-Vincent, ville; Transports terrestres voitures à bras brouettes; Personnages groupes humains hommes femme; Plantes produits végétaux bois; Activités et événements transports chargement déchargement; Géographie physique phénomènes naturels nuages; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.102_IN1.JPG
1934.103,Art moderne (1900-1950),Collection permanente,Dessin,Dessin,"Caron, Paul",Maisons rue Sainte-Catherine à Montréal,vers 1928,"Montréal (Québec), Canada",Canadienne; Québécoise,Aquarelle sur papier,35 x 50 cm,1,Scène urbaine,"Costumes civils accessoires chaussures bottes couvre-chefs chapeaux, vêtements jupes pantalon, de dessus manteaux; Architecture et génie aménagements extérieurs borne-fontaine, détails architecturaux façades fenêtres portes toiture cheminée lucarnes pignons, commerciale et industrielle boutiques et magasins, résidentielle maison, travaux publics rue Sainte-Catherine, ville; Personnages groupes humains homme femmes; Activités et événements, récréatives promenade à pied faire les courses; Géographie physique phénomènes naturels neige fumée, saison : hiver; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.103_IN1.JPG
1934.114,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Cullen, Maurice",Le Port de Montréal,1915,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,115 x 171 cm,1,Paysage; Scène urbaine,"Architecture et génie détails architecturaux façades toitures cheminées coupoles clochers tours, commerciale et industrielle entrepôts élévateurs à grains, religieuse églises, résidentielle maisons édifices, travaux publics port quai, ville; Transports maritimes bateaux; Géographie physique accidents géographiques montagnes rives roches, phénomènes aquatiques fleuve Saint-Laurent, phénomènes naturels atmosphère de crépuscule nuages fumée; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.114_IN1.JPG
1934.151,Art moderne (1900-1950),Collection permanente,Estampe,Estampe,"Gagnon, Clarence","Jardins du Grand Séminaire, Montréal",1917 (daté de façon erronée 1909),"Montréal (Québec), Canada",Canadienne; Québécoise; Française,Eau-forte et pointe sèche,"23 x 28,3 cm (papier); 19,2 x 24,1 cm (image)",1,Paysage,"Architecture et génie aménagements extérieurs jardins avec plan d'eau, détails architecturaux façades fenêtres porche portes escaliers, toiture lucarnes mansarde, religieuse Grand Séminaire; Personnages groupes humains hommes, métiers et professions membres du clergé ecclésiastiques prêtres; Plantes arbres feuillus; Objets façonnés mobilier meuble banc; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.151_IN1.JPG
1934.233,Art ancien (des origines à 1900),Collection permanente,Peinture,Peinture,"Hamel, Eugène",Esquisse pour « La Visite de Jacques Cartier à Hochelaga »,1885-1886,"Québec (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"35,2 x 77 cm",1,Histoire,"Costumes civils accessoires baudrier couvre-chefs toques fraises, caprices corporels barbes moustaches, vêtements haut-de-chausses pagnes culottes, de dessus capes, bijoux et ornements parure de tête plumes; Architecture et génie résidentielle tentes, ville; Transports terrestres voiture à bras chaise à porteur; Personnages historiques Jacques Cartier métiers et professions marin navigateur français malouin explorateur découvreur du Canada (1534-1535), groupes humains hommes, groupes ethniques Amérindiens ou Indiens d'Amérique; Animaux mammifères chien produits animaux peau d'animal ours; Plantes herbes et graminées, arbres feuillus; Activités et événements voyages arrivée; Géographie physique accidents géographiques cap, phénomènes naturels nuages; Objets façonnés armement à main épée fourneau flèche carquois, mobilier literie couvertures, contenants coffre; Outils et équipement forestier hache; Localisation : Hochelaga ou Montréal, Québec, Canada; Thème : Histoire et historiographie de la Nouvelle-France",http://horaire.mnbaq.org/app/webroot/hackathon/1934.233_IN1.JPG
1934.249,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Johnstone, John Young","Indienne au marché Bonsecours, Montréal",1916,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"64,5 x 38,4 cm",1,Scène de genre,"Costumes civils vêtements de dessus couverture; Architecture et génie détails architecturaux mur extérieur façade entrée, travaux publics marché Bonsecours; Personnages groupes humains femme, groupes ethniques Amérindienne ou Indienne d'Amérique; Activités et événements personnelles mendier; Objets façonnés contenants panier; Société et vie sociale statut social insertion sociale marginale mendiante, condition socio-économique pauvreté mendicité misère; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.249_IN1.JPG
1934.25,Art moderne (1900-1950),Collection permanente,Peinture,Peinture,"Johnstone, John Young","Arrière-cour d'une vieille maison de la rue Saint-Vincent, Montréal",1919 ou 1920,"Montréal (Québec), Canada",Canadienne; Québécoise,Huile sur toile,"50,3 x 61 cm",1,Paysage,"Architecture et génie aménagements extérieurs arrière-cour poteaux remise, détails architecturaux cheminées façades fenêtres murs coupe-feu escalier galerie porte entrée voûtée rampes toitures appentis lucarnes pignons, architecture résidentielle maisons en rangée, ville; Plantes arbres feuillus; Géographie physique phénomènes naturels glaçons neige, saison : hiver; Localisation : Montréal, Québec, Canada",http://horaire.mnbaq.org/app/webroot/hackathon/1934.250_IN1.JPG
