"Prénom ","Nom","Genre","Rôles ","Responsabilités","Arrondissement","Nom du district","Nom du parti","Adresse ligne 1 (Hôtel de Ville)","Adresse ligne 2 (Hôtel de Ville)","Localité (Hôtel de Ville)","Province (Hôtel de Ville)","Code postal (Hôtel de Ville)","Adresse ligne 1 (Arrondissement)","Adresse ligne 2 (Arrondissement)","Localité (Arrondissement)","Province (Arrondissement)","Code postal (Arrondissement)","Téléphone (Hôtel de Ville)","Téléphone (Arrondissement)","Télécopieur","Courriel","URL d'une photo","URL source","Poste"
"Manon","Barbe","F","Mairesse d'arrondissement; Présidente d'assemblée du conseil d'agglomération; Membre du conseil d'agglomération; Leader de l'Équipe Barbe Team Pro action LaSalle; Membre de la Commission sur l'inspecteur général; Membre de la Commission sur le schéma d'aménagement et de développement de Montréal",,"LaSalle",,"Équipe Barbe Team",,,,,,"55, avenue Dupras",,"LaSalle","QC","H8R 4A8",,"514 367-6206","514 367-6600","mbarbe@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_barbe_manon.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240760","05,00"
"Mario","Battista","M","Conseiller d'arrondissement ",,"Saint-Léonard","Saint-Léonard-Ouest","Équipe Denis Coderre pour Montréal",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","QC","H1R 3B1",,"514 328-8410","514 328-8419","mbattista@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_battista_mario.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=122561570","15,21"
"Gilles","Beaudry","M","Conseiller d'arrondissement   ",,"Anjou","l'Ouest","Équipe Anjou",,,,,,"7701, boulevard Louis-H. Lafontaine",,"Anjou","QC","H1K 4B9",,"514 493-8019","514 493-8013","gillesbeaudry@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_beaudry_gilles.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142309843","02,10"
"Dimitrios (Jim)","Beis","M","Maire d'arrondissement; Membre du comité exécutif; Membre du conseil d'agglomération","Approvisionnement; Sports et loisirs; Communautés d'origines diverses","Pierrefonds-Roxboro",,"Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.110","Montréal","QC","H2Y 1C6","13665, boulevard de Pierrefonds",,"Pierrefonds","QC","H9A 2Z4","514-872-0722","514 624-1400",,"dimitrios.beis@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_beis_dimitrios.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=119609587","10,00"
"Frantz","Benjamin","M","Conseiller de la ville; Président du conseil municipal; Président de la Commission de la présidence du conseil",,"Villeray–Saint-Michel–Parc-Extension","Saint-Michel","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 1.114","Montréal","QC","H2Y 1C6",,,,,,"514 872-0077","514 872-7800","514 872-2402","frantz.benjamin@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_benjamin_frantz.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=121929610","19,10"
"Richard","Bergeron","M","Conseiller de la ville; Membre du comité exécutif; Membre du conseil d'agglomération; Vice-président de la Commission sur l'inspecteur général","Stratégie pour le centre-ville","Ville-Marie","Saint-Jacques","Équipe Denis Coderre pour Montréal","275, rue Notre-Dame Est","bureau 2.118","Montréal","QC","H2Y 1C6",,,,,,"514 872-1116","514 868-5178","514 872-8347","richardbergeron@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_bergeron_richard.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142240790","18,20"
"Michèle D.","Biron","F","Conseillère d'arrondissement; Présidente de la Commission sur la culture, le patrimoine et les sports",,"Saint-Laurent","Norman-McLaren","Équipe Denis Coderre pour Montréal",,,,,,"777, boulevard Marcel-Laurin",,"Saint-Laurent","QC","H4M 2M7",,"514 855-6000 poste 4018","514 855-6049","michelebiron@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_biron_michele.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239417","14,21"
"Michel","Bissonnet","M","Maire d'arrondissement; Président de la Commission sur les transports et les travaux publics",,"Saint-Léonard",,"Équipe Denis Coderre pour Montréal",,,,,,"8400, boulevard Lacordaire",,"Saint-Léonard","QC","H1R 3B1",,"514 328-8410","514 328-8413","michel.bissonnet@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_michel_bissonnet.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=125471626","15,00"
"Christine","Black","F","Mairesse d'arrondissement",,"Montréal-Nord",,"Équipe Denis Coderre pour Montréal",,,,,,"4243, rue de Charleroi",,"Montréal-Nord","QC","H1H 5R5",,"514 328-4000 poste 5570",,"christine.black@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_christine_black.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142447931","08,00"
"Nancy","Blanchet","F","Conseillère d'arrondissement",,"LaSalle","Sault-Saint-Louis (siège 1)","Équipe Barbe Team",,,,,,"55, avenue Dupras",,"LaSalle","QC","H8R 4A8",,"514 367-6206","514 367-6600","nancy.blanchet@ville.montreal.qc.ca","http://ville.montreal.qc.ca/pls/portal/docs/PAGE/COLLECTIONS_GENERALES/MEDIA/Images/Public/mi_blanchet_nancy.jpg","http://ville.montreal.qc.ca/portal/page?_pageid=5798,85809754&_dad=portal&_schema=PORTAL&id=142239443","05,11"
