ï»¿connaissance_langues,sexe,n_2016,%_2016,n_2017,%_2017,n_2018,%_2018,n_2019,%_2019,n_2020,%_2020
FranÃ§ais seulement,Femmes,7 461,28,6 408,25,6 247,25,5 292,26.1,3 840,30.2
FranÃ§ais seulement,Hommes,6 415,24.8,5 776,22.8,5 377,22,4 734,24.1,3 340,27.2
FranÃ§ais et anglais,Femmes,7 273,27.3,6 618,25.8,6 108,24.5,4 681,23.1,3 822,30
FranÃ§ais et anglais,Hommes,7 865,30.4,7 246,28.6,6 710,27.5,5 164,26.3,4 092,33.4
Connaissant le franÃ§ais,Femmes,14 734,55.3,13 026,50.7,12 355,49.5,9 973,49.3,7 662,60.2
Connaissant le franÃ§ais,Hommes,14 280,55.2,13 022,51.3,12 087,49.5,9 898,50.3,7 432,60.6
Anglais seulement,Femmes,5 837,21.9,7 009,27.3,7 252,29.1,5 888,29.1,3 040,23.9
Anglais seulement,Hommes,5 755,22.3,7 115,28,7 458,30.5,5 930,30.1,3 010,24.5
Ni franÃ§ais ni anglais,Femmes,6 069,22.8,5 644,22,5 336,21.4,4 379,21.6,2 029,15.9
Ni franÃ§ais ni anglais,Hommes,5 820,22.5,5 241,20.7,4 888,20,3 844,19.5,1 824,14.9
Non disponible,Femmes,405,1.5,665,2.5,894,3.5,340,1.7,124,1
Non disponible,Hommes,347,1.3,678,2.6,853,3.4,313,1.6,102,0.8
Ensemble de l'immigration,Femmes,27 045,,26 344,,25 837,,20 580,,12 855,
Ensemble de l'immigration,Hommes,26 202,,26 056,,25 286,,19 985,,12 368,
