ï»¿sexe,niveau_competences_CNP,n_2017,n_2018,n_2019,n_2020,n_2021,%_2021
Femmes,0 - Gestion,444,399,332,168,227,1.2
Femmes,A - Professionnel,3978,3553,2621,1141,1238,6.7
Femmes,B - Technique et paraprofessionnel,1110,1049,851,543,1282,6.9
Femmes,C - IntermÃ©diaire,367,316,253,130,651,3.5
Femmes,D - ÃlÃ©mentaire et manÅuvre,20,26,X,X,67,0.4
Femmes,Entrepreneurs et investisseurs,271,268,219,74,125,0.7
Femmes,Nouveaux travailleurs ,10471,10880,8051,6611,14808,80.2
Femmes,Travailleurs non classÃ©s ailleurs,15,12,X,X,65,0.4
Hommes,0 - Gestion,768,695,640,318,419,2.3
Hommes,A - Professionnel,3891,3678,2534,1277,2203,11.9
Hommes,B - Technique et paraprofessionnel,1775,1724,1325,876,1835,9.9
Hommes,C - IntermÃ©diaire,429,347,275,124,583,3.1
Hommes,D - ÃlÃ©mentaire et manÅuvre,29,25,16,6,135,0.7
Hommes,Entrepreneurs et investisseurs,1033,978,752,260,392,2.1
Hommes,Nouveaux travailleurs ,9203,9333,6894,5702,12971,69.8
Hommes,Travailleurs non classÃ©s ailleurs,33,32,29,33,51,0.3
Total,0 - Gestion,1 212,1 094,972,486,646,1.7
Total,A - Professionnel,7 869,7 231,5 155,2 418,3 441,9.3
Total,B - Technique et paraprofessionnel,2 885,2 773,2 176,1 419,3 117,8.4
Total,C - IntermÃ©diaire,796,663,528,254,1 234,3.3
Total,D - ÃlÃ©mentaire et manÅuvre,49,51,27,10,202,0.5
Total,Entrepreneurs et investisseurs,1 304,1 246,971,334,517,1.4
Total,Nouveaux travailleurs ,19 674,20 213,14 945,12 313,27 779,75
Total,Travailleurs non classÃ©s ailleurs,48,44,52,65,116,0.3
